ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-061	神代	神話時代	不明	-	タケミナカタの初登場(古事記のみ)。大国主の子、ヌナカワヒメ所生説	神話エピソード	国譲り、ヌナカワヒメ系譜	諏訪大社	タケミナカタ、大国主、ヌナカワヒメ	-	-	-	-	出雲・高志(越)	-	-	古事記	神話	C	1	古事記=大国主の子 / 書紀本文・一書には登場せず / 諏訪在来神とタケミナカタ習合説	高志—出雲の系譜的接続	諏訪—出雲の祭祀ネットワーク起源	出雲祭祀の地方拡散	大国主の子、母はヌナカワヒメとされる	-	-	書紀の欠如は中央王権神話の編集による説あり
IZM-062	神代	神話時代	不明	-	タケミカヅチに力競べを挑むが、相手の腕を握ると氷柱・剣に変じ、逆に自身の腕を握られて投げ飛ばされる	神話エピソード	力競べ、相撲の起源	-	タケミナカタ、タケミカヅチ	-	-	-	-	出雲(稲佐の浜)	-	-	古事記	神話	C	0	-	力比べ、武勇の対比、敗北	相撲・武道の神話的起源	地方神の中央武神への屈服	-	-	相撲の起源神話の一つ	古事記独特の挿話、書紀に対応なし
IZM-063	神代	神話時代	不明	-	信濃国諏訪湖まで追われ、「この地を出ない」と誓って降伏。諏訪に鎮座	神話エピソード	諏訪退避	諏訪大社	タケミナカタ、八坂刀売命(妃)	-	-	-	-	諏訪(信濃国)	-	-	古事記	神話	C	0	諏訪退避は神話的設定 / 史実的には別系統の在来神話を吸収	地方退避、聖地化、敗者の英雄化	諏訪大社の起源	出雲祭祀から信濃への展開	タケミナカタ系=諏訪神党(諏訪氏)祖神	-	諏訪信仰の起源	「諏訪を出ない」=諏訪鎮座神格の根拠
IZM-064	古代	創建年代不明	不明	-	諏訪大社上社本宮(諏訪市)。ご神体は守屋山。本殿を持たない	神社創建	諏訪信仰	諏訪大社上社本宮	タケミナカタ	-	-	諏訪氏(大祝家)	諏訪氏、守矢氏	信濃(諏訪市)	守屋山	-	諏訪大社社伝、延喜式神名帳	社伝、神社縁起	B	1	タケミナカタ祭祀化以前の在来山岳信仰説	山岳信仰、磐座信仰	諏訪四宮制の中心	-	諏訪氏(神氏)が大祝として祭祀統括	-	武家(源氏・武田・徳川)信仰、軍神化	本殿無し=古代祭祀形態の保存
IZM-065	古代	創建年代不明	不明	-	諏訪大社上社前宮(茅野市)。神体山祭祀の最古層を残すとされる	神社創建	諏訪信仰、ミシャグジ祭祀	諏訪大社上社前宮	タケミナカタ、八坂刀売命	-	-	諏訪氏、守矢氏	諏訪氏、守矢氏	信濃(茅野市)	-	-	諏訪大社社伝	社伝、神社縁起	B	2	タケミナカタ祭祀の最古鎮座地説 / 守矢氏の本拠地	最古層神事の保存、ミシャグジとの結節	諏訪祭祀の本源	-	-	前宮神事の独自性	守矢家の本拠	守矢家文書(現代研究)が古層を伝える
IZM-066	古代	創建年代不明	不明	-	諏訪大社下社春宮・秋宮(下諏訪町)。八坂刀売命を主祭神とする	神社創建	諏訪信仰	諏訪大社下社春宮、下社秋宮	八坂刀売命、タケミナカタ	-	-	金刺氏(下社大祝家)	金刺氏	信濃(下諏訪町)	-	-	諏訪大社社伝	社伝、神社縁起	B	1	タケミナカタの妃神 / 下社の在来女神	女神祭祀、上下二元構造	諏訪四宮制の下宮	金刺氏(科野国造家系)による下社祭祀	八坂刀売命=タケミナカタ妃	-	四宮間の遷座(春宮↔秋宮、半年毎)	下社は古代信濃国造家(金刺氏)祭祀
IZM-067	縄文〜現代	縄文期〜	BCE 数千年〜CE	-	守矢氏(神長官)とミシャグジ信仰。タケミナカタ来訪以前の縄文系土着信仰	祭祀	諏訪在来信仰	諏訪大社上社前宮	ミシャグジ、洩矢神	守矢氏歴代神長官	-	諏訪氏、守矢氏	守矢氏	信濃(諏訪)	守矢家関連祭祀遺構	石棒、磐座	守矢家文書、古田武彦・原田勝広ほか研究	地方伝承、現代研究	B	3	縄文系祭祀の継続説 / 後世の再編説	樹石信仰、蛇神、産霊	諏訪在来祭祀の主軸	タケミナカタ vs 洩矢神戦争(在来神 vs 新来神)	守矢氏=洩矢神後裔、77代続いた神長官家	諏訪盆地の縄文遺跡群	民俗学的に縄文期信仰の生証拠とされる	守矢神長官家は明治期まで存続
IZM-068	古代以降	古代〜現代	-	-	御柱祭(式年造営御柱大祭、寅・申年)。山中から樅の大木を切り出し、四宮それぞれに4本立てる	祭祀	諏訪信仰	諏訪大社四宮	タケミナカタ、ミシャグジ	-	-	-	-	信濃(諏訪)	-	樅の木	諏訪大社社伝	社伝、地方伝承	B	1	縄文期の樹木信仰起源説 / 平安期成立説	樹木霊、再生、結界	式年造営の核心儀礼	諏訪共同体結束の核	-	-	諏訪盆地全域を巻き込む現代最大規模祭祀	木落とし・川越し等の危険儀礼を含む
IZM-069	古代以降	古代〜江戸期	-	-	御頭祭(酉の祭、4月15日)。鹿頭75を神饌として奉献(現在は剥製で代替)	祭祀	諏訪信仰、狩猟祭祀	諏訪大社上社前宮	タケミナカタ、ミシャグジ	大祝	-	諏訪氏、守矢氏	諏訪氏	信濃(諏訪)	-	-	守矢家文書、菅江真澄『すわのうみ』	地方伝承、近世資料	B	2	縄文狩猟祭祀の継続説 / 後世形成説	狩猟、生贄、再生	諏訪祭祀の縄文性象徴	-	-	-	民俗学・神話学で頻繁に言及	75は実数 / 象徴数 議論あり
IZM-070	古代以降	古代〜現代	-	-	蛙狩神事(元日)。諏訪大社上社で蛙を捕えて神饌とする	祭祀	諏訪信仰	諏訪大社上社本宮	タケミナカタ	-	-	諏訪氏	諏訪氏	信濃(諏訪)	-	-	諏訪大社社伝	社伝	B	2	生贄起源説 / 豊穣儀礼説	蛙=水神・豊穣	狩猟祭祀の縄文系継続	-	-	-	動物供犠論争の対象に	近年は動物愛護の観点から論議
