myth_id	canonical_name	region	related_shrines	related_clans	related_deities	summary	motif_category	source_type	source_reference	historical_interpretation	ritual_meaning	political_meaning	notes
MYTH-001	国引き神話	出雲(意宇郡)	SHR-001	CLN-001	DEI-024	八束水臣津野命が新羅・北門・高志から土地を綱で引き寄せ出雲国を造る	国土創成/海洋	風土記	出雲国風土記意宇郡条	出雲が新羅・隠岐・高志と結ぶ広域海上ネットワークの神話化	出雲創成の根拠神話	地方独自の創世観	記紀には欠落、出雲独自神話の最重要例
MYTH-002	国譲り神話(出雲視点)	出雲(杵築)	SHR-001	CLN-001	DEI-001|DEI-013	アメノホヒが大国主を慰撫し御子神を皇都守護に配置(神賀詞)	王権/服属	正史	出雲国造神賀詞|続日本紀霊亀2年	祭祀権朝貢の神話化	出雲祭祀の朝廷化	地方視点での再解釈	記紀の懐柔的描写と対比
MYTH-003	八束水臣津野命の神話的位置	出雲	-	-	DEI-024	出雲創成神。記紀にはなく風土記独自の在来神	国土創成	風土記	出雲国風土記	在来神を国引き神話の主役に据えた地方視点	出雲在来祭祀の本源	中央神話化以前の独立神格	「やつかみずおみつぬ」と読む
MYTH-004	ヤマタノオロチ神話(出雲版)	出雲(肥河上・鳥髪)	SHR-025|SHR-024	-	DEI-002|DEI-021	スサノオが八岐大蛇を退治しクシナダを救う(風土記には欠如)	蛇神/英雄/製鉄?	神話	古事記|日本書紀	斐伊川氾濫擬人化説/製鉄民征服説/部族抗争説	出雲祭祀の核心物語	地方在地勢力制圧の神話化	風土記の欠落は重要
MYTH-005	スサノオの新羅曽尸茂梨経由	出雲・新羅	-	-	DEI-002	スサノオが新羅曽尸茂梨を経由して出雲に降臨(書紀一書)	渡来神	神話	日本書紀神代上一書	古代の朝鮮半島-出雲交流の反映	渡来祭祀の起源	出雲の国際性	古事記には欠落
MYTH-006	出雲振根説話	出雲	SHR-001	CLN-001	-	崇神朝に出雲振根が神宝献上を巡り弟飯入根を殺害、討伐される	王権/服属	正史	日本書紀崇神紀60年条	6世紀のヤマト勢力の出雲服属の神話化(L2)	出雲祭祀権の中央化	出雲のヤマト服属	古事記には欠落
MYTH-007	大国主の根の国訪問	出雲	-	-	DEI-001|DEI-002|DEI-023	大国主が根の堅州国でスサノオの試練を受けスセリビメと結ばれる	冥界訪問/通過儀礼	神話	古事記	冥界訪問譚の原型、王権三品(剣・弓・琴)獲得	大国主の祭祀王化	出雲祭祀権の継承	書紀本文には欠落
MYTH-008	神在月神話	出雲	SHR-001|SHR-023|SHR-028	-	DEI-001|DEI-025	旧暦10月に全国の神々が出雲に集まる伝	全国祭祀	社伝	出雲大社神事記|佐太神社社伝	全国祭祀の出雲統合の演出	神在祭(神有月)の核	出雲祭祀の全国中心化	「神無月=出雲不在」の語源
MYTH-009	出雲大社高層神殿伝	出雲(杵築)	SHR-001	CLN-001	DEI-001	古代の出雲大社は32丈/16丈の高層神殿だったとの伝(『口遊』)	王権/建築	近代以前資料	源為憲『口遊』(970)	2000年心御柱発見で48m級裏付け(L2)	出雲祭祀の建築的優越	日本第一の宗教建築	IZM-119連結
MYTH-010	大国主の隠れ(幽冥主宰)	出雲	SHR-001	-	DEI-001	大国主は国譲り後に幽冥(死後世界)を主宰	冥界/王権	神話	古事記|日本書紀	平田篤胤の幽冥論で深化	幽世主宰の祭祀	顕世皇統/幽世大国主の二項対立	近代縁結び信仰の起源
