master_id	canonical_name	prefecture	address	current_coordinates	current_accuracy	rank_ancient	rank_modern	status
SHR-001	出雲大社	島根県	出雲市大社町杵築東195	35.4019,132.6855	approximate	名神大社|出雲国造神賀詞奏上社	官幣大社|別表神社	VERIFY(approximate)
SHR-002	皇大神宮	三重県	伊勢市宇治館町1	34.4549,136.7256	approximate	名神大社|二十二社	官幣大社|神宮(本宗)	VERIFY(approximate)
SHR-003	豊受大神宮	三重県	伊勢市豊川町279	34.4870,136.7042	approximate	名神大社	官幣大社|神宮	VERIFY(approximate)
SHR-004	熊野大社	島根県	松江市八雲町熊野2451	35.3892,133.0500	approximate	名神大社|出雲国一宮	国幣大社|別表神社	VERIFY(approximate)
SHR-005	熊野本宮大社	和歌山県	田辺市本宮町本宮1110	33.8403,135.7728	approximate	名神大社	官幣大社|別表神社	VERIFY(approximate)
SHR-006	諏訪大社	長野県	諏訪市・茅野市・下諏訪町(四宮)	35.9985,138.1238	approximate	名神大社|信濃国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-007	鹿島神宮	茨城県	鹿嶋市宮中2306-1	35.9682,140.6315	approximate	名神大社|常陸国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-008	香取神宮	千葉県	香取市香取1697-1	35.8870,140.5279	approximate	名神大社|下総国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-009	宗像大社	福岡県	宗像市田島2331(辺津宮)	33.8328,130.5145	approximate	名神大社|筑前国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-010	大神神社	奈良県	桜井市三輪1422	34.5285,135.8531	approximate	名神大社|大和国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-011	石上神宮	奈良県	天理市布留町384	34.5979,135.8513	approximate	名神大社	官幣大社|別表神社	VERIFY(approximate)
SHR-012	春日大社	奈良県	奈良市春日野町160	34.6817,135.8483	approximate	名神大社|二十二社	官幣大社|別表神社	VERIFY(approximate)
