ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-016	神代	神話時代	不明	-	イザナギの禊で鼻から化生(古事記)。書紀では月読命と同時化生または誓約から	神話エピソード	イザナギ禊、三貴子誕生	-	スサノオ、イザナギ、アマテラス、ツクヨミ	-	-	-	-	神代(神話時代)	-	-	古事記、日本書紀	神話	C	0	古事記=禊鼻、書紀本文=禊、書紀一書=複数異伝	暴神・嵐神・両義神	三貴子の神格分担(高天原・夜・海原)	-	アマテラスの弟、皇統との対峙者	-	祇園信仰(牛頭天王習合)、八坂神社へ	海原統治を命じられたが従わず追放される伏線
IZM-017	神代	神話時代	不明	-	スサノオがアマテラスを訪問。誓約(ウケヒ)で潔白証明、宗像三女神と五男神誕生	神話エピソード	誓約、宗像三女神誕生	宗像大社	スサノオ、アマテラス、宗像三女神、五男神	-	-	-	宗像氏	高天原・宗像	沖ノ島祭祀遺跡(関連)	-	古事記、日本書紀	神話	C	0	物実の所有・男女判定基準について古事記と書紀で異同	男女・善悪の対比、誓約による神々生成	出雲・宗像・天孫系の結節点	宗像三女神の海上交通祭祀権を皇統側に取り込む構造	五男神(オシホミミ等)が皇統につながる	沖ノ島祭祀遺物群(間接)	宗像信仰、出雲—宗像連結の起点	出雲神話と宗像神話の最初の接点
IZM-018	神代	神話時代	不明	-	田の畔毀ち、機織女殺し、天斑駒の逆剥ぎ。アマテラス天岩戸籠もりの直接原因	神話エピソード	天岩戸神話の発端、スサノオ追放	-	スサノオ、アマテラス	-	-	-	-	高天原	-	-	古事記、日本書紀	神話	C	0	動機諸説(母恋慕/根の国行き前の挨拶/嫉妬)	嵐神の破壊性、農耕祭祀への侵犯	神聖と穢れの境界	アマテラス神格の絶対化のための否定的他者	天岩戸後の追放→出雲降臨へ	-	天岩戸神話、神話的悪・贖罪観	死の起源(機織女の死)としても読まれる
IZM-019	神代	神話時代	不明	-	髭・手足の爪を切られ追放され、出雲国の肥河上の鳥髪に降臨	神話エピソード	出雲神話の幕開け	須佐神社、須我神社	スサノオ	-	-	-	-	出雲(肥河=斐伊川上流、鳥髪=現・島根県奥出雲町鳥上)	-	-	古事記、日本書紀	神話	C	0	書紀一書では新羅曽尸茂梨経由で出雲降臨(渡来神説の根拠)	追放神の地方降臨、文化英雄の到来	出雲を神話的中心に置く構造の起点	高天原系神話に出雲を組み込む	スサノオを出雲神話の祖に位置づけ	-	出雲を聖地化、新羅渡来説は近代以降の論争源	斐伊川流域は鉄産地
IZM-020	神代	神話時代	不明	-	スサノオが八岐大蛇を討伐し、櫛名田比売(クシナダヒメ)を救う	神話エピソード	ヤマタノオロチ神話	須佐神社、八重垣神社	スサノオ、クシナダヒメ	アシナヅチ、テナヅチ	-	-	-	出雲(肥河上)	-	-	古事記、日本書紀	神話	C	0	オロチ=斐伊川氾濫擬人化説 / 製鉄民征服説 / 渡来部族抗争説	蛇神=水神、英雄の怪物退治、文化英雄譚	出雲祭祀の核心物語	在地勢力の制圧の神話化	アシナヅチ・テナヅチ系統がクシナダ→大国主世代に接続	斐伊川流域の鉄器・砂鉄文化(間接的)	神楽、能、近世神話絵画の主要題材	製鉄説は仮説レベル3〜4(本表は仮説レベル0で記述、製鉄説は別途IZM-061等で扱う)
IZM-021	神代	神話時代	不明	-	ヤマタノオロチの尾から「天叢雲剣(草薙剣)」が出現。スサノオがアマテラスに献上	神話エピソード	三種の神器、草薙剣縁起	熱田神宮(関連)、石上神宮(関連)	スサノオ、アマテラス	-	ヤマトタケル(後世)	尾張氏(熱田)	-	出雲・尾張	-	-	古事記、日本書紀	神話	C	0	草薙剣=出雲産鉄剣説 / 後世の神器神話化説	王権の剣、出雲から皇統への王権移譲	三種の神器の起源	出雲の王権的シンボルが皇統へ移管される構造の象徴	草薙剣は熱田神宮の神体に	-	三種の神器思想、熱田神宮信仰、ヤマトタケル神話	国譲り神話の前段としても機能
IZM-022	神代	神話時代	不明	-	クシナダヒメと結婚し、出雲国須賀の地に宮を建て「八雲立つ出雲八重垣…」を詠む	神話エピソード	出雲神話、和歌の起源	須我神社(雲南市大東町須賀)	スサノオ、クシナダヒメ	-	-	-	-	出雲(雲南市大東町須賀)	-	-	古事記、日本書紀、出雲国風土記	神話	C	0	「八雲立つ」を出雲国号の起源とする伝承 / 単に枕詞とする説	婚姻・新生・文化(歌)の起源	須我神社の由緒	-	クシナダ系子孫(オオナムチ=大国主に接続)	-	「日本初の和歌」とされ、日本文学史上の起点	須我神社は「日本初之宮」を称する
IZM-023	神代	神話時代	不明	-	スサノオとクシナダの子孫(古事記:八島士奴美神→…→大国主)。書紀では大国主との関係に異伝	系譜	出雲神話の系譜	-	スサノオ、クシナダヒメ、大国主	八島士奴美神、布波能母遅久奴須奴神 等	-	-	-	出雲	-	-	古事記、日本書紀	神話、系譜資料	C	0	大国主=スサノオの六世孫(古事記) / 子(書紀一書) / 別系統(書紀本文の薄記述)	-	出雲祭神の系譜的統合	-	出雲神話の中軸系譜、スサノオ→大国主の連結	-	中世以降の系譜整理(先代旧事本紀ほか)に影響	書紀の異伝多数を併記する必要
IZM-024	奈良	天平5年(733)成立。神話時代を描く	CE 733	天平5年	出雲国風土記ではヤマタノオロチ譚が欠落。スサノオは在地神として穏やかに描写	神話エピソード	出雲国風土記神話	須佐神社(神門郡)、八雲山	スサノオ	-	-	-	-	出雲(神門郡須佐郷ほか)	-	-	出雲国風土記	風土記	C	1	風土記が記紀神話を意図的に異化説 / 在地伝承反映説 / 編纂方針差説	国土巡行神、命名神	風土記神社399社の重要主祭神	中央神話化以前の出雲在来スサノオ像	-	-	記紀と風土記のスサノオ像の差は近代神話学の主要論点	風土記でスサノオは「神須佐能袁命」表記
IZM-025	古代以前〜現代	創建年代不明(社伝は神代)	不明	-	出雲市佐田町須佐に鎮座。スサノオ終焉伝承地。出雲国風土記「須佐郷」に対応	神社創建	スサノオ国土巡行	須佐神社	スサノオ、稲田比売命、足摩槌命、手摩槌命	-	-	-	須佐氏(社家)	出雲(出雲市佐田町須佐)	-	-	出雲国風土記、延喜式神名帳	風土記、神社縁起	B	0	出雲一宮を主張する有力候補(熊野・杵築と並ぶ)	スサノオ「自分の名を留めおく」と命名	出雲西部のスサノオ祭祀拠点	-	須佐家による継承	-	中世以降の出雲信仰圏の中核	風土記「神須佐能袁命」自身による命名地
IZM-026	古代以前〜現代	創建年代不明(社伝は神代)	不明	-	松江市佐草町に鎮座。スサノオ・クシナダの婚姻地、八重垣造営伝承	神社創建	ヤマタノオロチ退治後の婚姻	八重垣神社	スサノオ、稲田姫命	-	-	-	-	出雲(松江市佐草町)	-	-	出雲国風土記、社伝	風土記、社伝	C	1	須我宮 vs 八重垣宮 — 婚姻地の比定をめぐり諸説	婚姻、結界、八重の垣	縁結び信仰の中核	-	-	-	「鏡の池」占い、現代の縁結び信仰	風土記では「佐草社」として登載
IZM-027	古代以前〜現代	創建年代不明	不明	-	松江市鹿島町に鎮座。佐太大神(猿田彦と同神視)。神在祭の重要拠点	神社創建	加賀の潜戸神話(風土記)	佐太神社	佐太大神(猿田彦命と同神視)、伊弉諾、伊弉冉ほか	-	-	-	朝山氏(社家)	出雲(松江市鹿島町佐陀宮内)	加賀の潜戸(伝承地)	-	出雲国風土記、社伝	風土記、社伝	B	1	佐太大神=猿田彦同体説 / 別神説	道の神、岩戸生まれ	出雲三大社(出雲大社・熊野大社・佐太神社)の一とされる	-	-	-	神在祭(神有月)の中心、佐陀神能(国指定重要無形民俗文化財)	スサノオを直接の主祭神とはしないが、神在祭スサノオ来訪伝承で連結
IZM-028	古代以前〜現代	創建年代不明	不明	-	雲南市大東町須賀に鎮座。スサノオの須賀宮の地と伝わる	神社創建	八雲立つ歌、須賀宮造営	須我神社	スサノオ、稲田姫命、清之湯山主三名狭漏彦八島野命(子)	-	-	-	-	出雲(雲南市大東町須賀)	-	-	古事記、出雲国風土記、社伝	神話、風土記、社伝	C	1	須我神社=八重垣神社 婚姻地論争	「日本初之宮」を称する	和歌発祥地、新婚生活の聖地	-	スサノオの子を合祀	-	「日本初の和歌」起源伝承	須賀=「すがすがしい」の語源とする伝
IZM-029	鎌倉〜近世	中世(鎌倉〜江戸)	CE 1200-1700	鎌倉〜江戸	出雲大社(杵築大社)主祭神がスサノオであるとされた時期がある	祭祀	出雲祭神論争	出雲大社	大国主、スサノオ	-	-	出雲国造家	千家氏、北島氏	出雲	-	-	中世神道書(『塩冶系図』『出雲国造家文書』類)	中世神道	B	1	一貫して大国主が祭神説 / 中世にスサノオへ交代後復帰説	-	主祭神認識の変動	鎌倉以降の祇園信仰・牛頭天王信仰の浸透	-	-	近世国学(本居・平田)による大国主への回帰・確定	千家氏・北島氏の由来書にも記述差。Issue #9 でも詳述
IZM-030	古代〜現代	神話成立以降	不明	-	スサノオは暴神/英雄/祖神/疫神(牛頭天王)の重層的神格を有する	祭祀	-	出雲系・八坂(祇園)系	スサノオ	-	-	-	-	全国	-	-	中世以降諸書、近代研究	中世神道、近代研究	B	2	単一神の重層展開 / 異なる神格の習合 / 渡来神(新羅)系統説	暴神、英雄神、疫病神、海原の神、根の国の神	祇園祭(八坂神社)等を通じ全国祭祀化	中世以降、王権神話を超えた庶民信仰へ	出雲系氏族の祖神	-	八坂神社、津島神社、氷川神社など全国展開	牛頭天王習合は平安末以降
