master_id	canonical_name	canonical_reading	aliases	clan_type	ancestor_deity_id	related_shrine_ids	related_region_ids	peak_period	notes
CLN-021	阿曇氏	あづみし	安曇連|安曇宿禰|安曇朝臣	地方豪族/海人氏族	綿津見三神|安曇磯良	SHR-079	筑前志賀島|信濃安曇野	古墳〜奈良	新撰姓氏録「綿積豊玉彦命の子穂高見命の後」。北部九州本拠だが信濃安曇野へ内陸移住。神功皇后伝承で活躍
CLN-022	秦氏	はたし	秦造|秦忌寸|秦宿禰	中央豪族/渡来氏族/技術氏族	秦始皇帝後裔(伝)	SHR-035|SHR-034	山城(京都)	古墳〜平安	応神朝渡来説(書紀)、新撰姓氏録「秦の始皇帝後裔」。伏見稲荷・松尾大社祭祀。治水・織物・酒造・製鉄
CLN-023	卜部氏	うらべし	占部|卜部宿禰	祭祀氏族	-	-	伊豆|対馬|壱岐	平安〜中世	朝廷亀卜祭祀。後の吉田神道家(吉田卜部)。神祇官陰陽道
CLN-024	葛城氏	かずらきし	葛城臣	中央豪族	武内宿禰系	-	大和(葛城)	古墳	古墳期〜飛鳥期の大豪族。葛城襲津彦。神功皇后〜仁徳期に最盛
CLN-025	紀伊国造	きいのくにのみやつこ	紀直|紀国造	地方豪族	天道根命	SHR-097|SHR-098	紀伊	古墳〜奈良	日前神宮・国懸神宮祭祀。紀氏(中央)とは別系統
CLN-026	吉備氏	きびし	吉備臣|吉備上下道氏	地方豪族	吉備津彦命	-	備前|備中|備後	古墳	岡山地方の大豪族。温羅退治伝の主体。古代の独自王権
CLN-027	安倍氏	あべし	阿倍臣|阿倍朝臣	中央豪族	大彦命(孝元天皇皇子)	-	大和→陸奥	飛鳥〜平安	皇別氏族。安倍貞任伝承(東北)とは別系
CLN-028	海部氏	あまべし	海部直|海部宿禰	地方豪族/海人氏族	彦火明命	SHR-085|SHR-086|SHR-087	丹後	古墳〜奈良	籠神社祭祀世襲。海部氏系図(国宝)で系譜古代まで。日本海ルート
CLN-029	住吉氏	すみよしし	津守氏|津守宿禰	祭祀氏族/海人氏族	住吉三神	SHR-015|SHR-080	摂津住吉	古墳〜奈良	住吉大社祭祀世襲。神功皇后伝承の中軸。住吉三神=航海守護神
CLN-030	尾張氏	おわりし	尾張連|尾張宿禰	地方豪族	天火明命	SHR-126|SHR-125	尾張	古墳〜奈良	熱田神宮祭祀。草薙剣の継承。海部氏と同祖伝
CLN-031	多氏	おおし	太氏|多朝臣	中央豪族	神八井耳命(神武皇子)	-	大和	飛鳥〜平安	皇別氏族。太安万侶(古事記編者)を輩出
CLN-032	春日氏	かすがし	春日臣|春日朝臣	中央豪族	和珥氏系	-	大和(春日)	古墳〜飛鳥	和珥氏系の地方豪族。中臣氏とは別系
CLN-033	漢氏	あやし	東漢氏|倭漢直|坂上大宿禰	中央豪族/渡来氏族	阿知使主	-	大和檜隈	古墳〜平安	軍事・武器製造。坂上田村麻呂を輩出
CLN-034	西文氏	かわちのふみし	西史氏|文宿禰	中央豪族/渡来氏族/技術氏族	王仁博士	-	河内	古墳〜奈良	文書・記録職。論語伝来伝
CLN-035	高麗氏	こまし	狛氏|高麗朝臣	中央豪族/渡来氏族	高句麗系	-	武蔵高麗郡	奈良	高句麗系渡来。武蔵高麗郡(現埼玉県日高市)
CLN-036	阿蘇氏	あそし	阿蘇国造|阿蘇宿禰	地方豪族/祭祀氏族	健磐龍命	SHR-059|SHR-060|SHR-061	肥後阿蘇	古墳〜現代	阿蘇神社社家、現代まで継続。火山祭祀の主体
CLN-037	隼人	はやと	阿多隼人|大隅隼人	地方部族	海幸彦末裔(伝)	-	薩摩|大隅	古墳〜奈良	南九州在地集団。隼人楯・隼人舞、朝廷儀礼に動員
CLN-038	蝦夷諸氏	えみししょし	安倍|清原|藤原(奥州)	地方部族	-	-	陸奥|出羽	平安〜鎌倉	阿弖流為、安倍貞任、奥州藤原氏。対ヤマト王権の地方勢力
CLN-039	出羽氏	でわし	出羽国造	地方豪族	-	-	出羽	古墳〜奈良	出羽国造、東北の地方豪族
CLN-040	鴨県主	かものあがたぬし	山城賀茂氏(別系)	地方豪族/祭祀氏族	賀茂建角身命	SHR-013|SHR-014	山城	古墳〜現代	賀茂氏(CLN-014)を二系統に分離した山城系。神武道案内八咫烏
