relation_id	source_id	source_type	relation_type	target_id	target_type	confidence_level	hypothesis_layer	temporal_scope	valid_from	valid_until	source_reference	notes
RLN-000001	DEI-001	deity	primary_deity_of	SHR-001	shrine	A	L0	document	-	-	古事記|延喜式	大国主→出雲大社
RLN-000002	DEI-002	deity	secondary_deity_of	SHR-002	shrine	B	L1	document	-	-	古事記|延喜式	スサノオ
RLN-000003	DEI-003	deity	primary_deity_of	SHR-002	shrine	A	L0	document	-	-	古事記|皇大神宮儀式帳	アマテラス→内宮
RLN-000004	DEI-081	deity	primary_deity_of	SHR-003	shrine	A	L0	document	-	-	止由気宮儀式帳	豊受→外宮
RLN-000005	DEI-010	deity	primary_deity_of	SHR-039	shrine	A	L0	document	-	-	諏訪大社社伝	タケミナカタ→諏訪上社本宮
RLN-000006	DEI-029	deity	primary_deity_of	SHR-018	shrine	A	L0	document	-	-	諏訪大社社伝	八坂刀売→下社秋宮
RLN-000007	DEI-011	deity	primary_deity_of	SHR-007	shrine	A	L0	document	-	-	常陸国風土記|延喜式	タケミカヅチ→鹿島
RLN-000008	DEI-012	deity	primary_deity_of	SHR-008	shrine	A	L0	document	-	-	延喜式	経津主→香取
RLN-000009	DEI-017	deity	primary_deity_of	SHR-077	shrine	A	L0	document	-	-	古事記|発掘調査	田心姫→沖津宮
RLN-000010	DEI-018	deity	primary_deity_of	SHR-078	shrine	A	L0	document	-	-	古事記	湍津姫→中津宮
RLN-000011	DEI-019	deity	primary_deity_of	SHR-009	shrine	A	L0	document	-	-	古事記|延喜式	市杵島姫→辺津宮
RLN-000012	DEI-014	deity	primary_deity_of	SHR-010	shrine	A	L0	document	-	-	古事記|書紀崇神紀	大物主→大神神社
RLN-000013	DEI-181	deity	primary_deity_of	SHR-016	shrine	A	L0	document	-	-	宇佐宮御託宣集	八幡神→宇佐
RLN-000014	DEI-194	deity	primary_deity_of	SHR-005	shrine	A	L0	document	-	-	熊野本宮社伝	家都美御子→本宮
RLN-000015	DEI-192	deity	primary_deity_of	SHR-090	shrine	A	L0	document	-	-	熊野速玉社伝	速玉→速玉大社
RLN-000016	DEI-193	deity	primary_deity_of	SHR-091	shrine	A	L0	document	-	-	熊野那智社伝	夫須美→那智
