shrine_id	canonical_name	old_names	region	main_deity	founder_legend	syncretism	current_status	notes
SHU-001	羽黒山出羽神社	羽黒権現	出羽(山形)	伊氐波神|稲倉魂命	蜂子皇子	観音(本地)	出羽神社として存続	出羽三山中心、SHR-114連結
SHU-002	月山神社	月山権現	出羽(山形)	月読命	蜂子皇子	阿弥陀(本地)	月山神社として存続	死後世界、SHR-113連結
SHU-003	湯殿山神社	湯殿権現	出羽(山形)	大山祇神	弘法大師(伝)	大日(本地)	湯殿山神社として存続	即身仏、SHR-115連結
SHU-004	白山比咩神社	白山権現	加賀(石川)	白山比咩大神(ククリヒメ)	泰澄	十一面観音(本地)	白山比咩神社として存続	全国白山神社2700+の総本宮
SHU-005	雄山神社	立山権現	越中(富山)	伊邪那岐神	佐伯有頼	阿弥陀(本地)	雄山神社として存続	立山地獄信仰
SHU-006	戸隠神社	戸隠権現	信濃(長野)	天手力雄命	学問行者(伝)	阿弥陀・観音・地蔵(本地)	戸隠神社として存続	戸隠九頭龍信仰
SHU-007	富士山本宮浅間大社	浅間大菩薩	駿河(静岡)	木花咲耶姫	-	大日(本地)	浅間大社として存続	富士信仰総本宮、富士講
SHU-008	北口本宮冨士浅間神社	-	甲斐(山梨)	木花咲耶姫	-	大日(本地)	浅間神社として存続	富士登山口、富士講
SHU-009	金峯山寺	蔵王権現本山	大和(奈良)	蔵王権現	役小角	釈迦・観音・弥勒(本地)	寺院として存続	修験道発祥地
SHU-010	吉野水分神社	子守権現	大和(奈良)	天之水分神	-	-	神社として存続	吉野山中
SHU-011	熊野本宮大社	熊野坐神社|本宮	紀伊(和歌山)	家都美御子大神	-	阿弥陀(本地)	大社として存続	SHR-005連結
SHU-012	熊野速玉大社	熊野速玉|新宮	紀伊(和歌山)	熊野速玉大神	-	薬師(本地)	大社として存続	SHR-090連結
SHU-013	熊野那智大社	熊野権現|那智	紀伊(和歌山)	熊野夫須美大神	-	千手観音(本地)	大社として存続	SHR-091連結
SHU-014	日吉大社	日吉山王権現	近江(滋賀)	大山咋神|大己貴神	-	釈迦・薬師等(本地)	日吉大社として存続	山王神道、延暦寺別当
SHU-015	英彦山神宮	彦山権現	豊前(福岡)	天忍骨命	-	阿弥陀(本地)	神宮として存続	九州修験中心、SHR-076連結
SHU-016	求菩提山	-	豊前(福岡)	國常立尊	猛覚魔卜仙(伝)	-	衰退	豊前修験
SHU-017	御嶽神社	御嶽大神	信濃(長野)	国常立尊|大己貴|少彦名	武尊命(伝)	-	御嶽神社として存続	近世御嶽講、御嶽教
SHU-018	大山阿夫利神社	阿夫利大神|石尊大権現	相模(神奈川)	大山祇大神	-	不動明王(本地)	神社として存続	近世大山詣、SHR-057連結
SHU-019	伯耆大山(大山寺)	大山智明大権現	伯耆(鳥取)	大山祇命	金蓮(伝)	地蔵(本地)	大山寺・大神山神社	出雲大社の北方山岳
SHU-020	羽黒山五重塔	-	出羽(山形)	-	平将門(伝)	-	国宝として存続	羽黒山修験の象徴
SHU-021	善光寺	-	信濃(長野)	阿弥陀如来	本田善光(伝)	(神仏分離せず混在)	寺院として存続	無宗派、神仏習合の特異例
SHU-022	四国八十八ヶ所	-	四国全域	-	弘法大師	-	寺院として存続	真言修験+在地神々の習合
SHU-023	高野山金剛峯寺	-	紀伊(和歌山)	-	弘法大師(空海)	高野明神(丹生都比売)	寺院として存続	真言山岳、丹生都比売との習合
SHU-024	比叡山延暦寺	-	近江・山城	-	最澄	日吉山王(大山咋)	寺院として存続	天台山岳、日吉大社との関係
SHU-025	霊山(伊勢)	伊勢神宮神宮寺跡	伊勢(三重)	-	-	-	遺構のみ	平安期に廃止された神宮寺
