shrine_id	canonical_name	old_names	region	main_deity	associated_clans	founding_tradition	shrine_history	ritual_features	syncretism_history	related_myths	source_reference	source_reliability	notes
SHR-029	玉作湯神社	-	出雲(松江市玉湯町)	櫛明玉命	玉作部|忌部氏	玉作部の祖神を祀る	古代から皇室御用の勾玉を生産	玉造の祭祀	-	IZM-143	出雲国風土記|社伝	primary+official	花仙山産瑪瑙の出土多数
SHR-030	韓竈神社	-	出雲(出雲市唐川町、鰐淵山中)	DEI-002	-	古社、鰐淵寺周辺の山中に鎮座	「韓」の名で渡来神信仰の傍証	山中の磐座祭祀	-	IZM-145|MYTH-005	出雲国風土記|社伝	primary+official	スサノオ新羅由来説の傍証
SHR-031	多賀神社	-	近江(多賀町)	DEI-005|DEI-006	-	イザナギ・イザナミを祀る古社	古代から畿内の有力社、お多賀さん	-	-	-	延喜式|社伝	primary+official	近江多賀大社、伊勢神宮との関係伝
SHR-032	出雲大神宮	元出雲(社伝)	丹波(亀岡市)	DEI-001	-	出雲大社より古いとの社伝(元出雲)	延喜式神名帳所載	-	-	IZM-148|MYTH-093	延喜式|社伝	official	「元出雲」を称する論争(L1-L2)
SHR-033	物部神社	-	石見(島根県大田市)	DEI-012(布都御魂的)	CLN-009	物部氏祖神祭祀の地方拠点	石見国一宮	-	-	-	延喜式|社伝	official	石見国の物部氏祭祀
SHR-034	御井神社	-	出雲(出雲市)	-	-	大国主の井戸神話	式内社	井戸神事	-	-	出雲国風土記	primary	延喜式神名帳所載
SHR-035	多伎神社	-	出雲(出雲市多伎町)	-	-	古社	式内社	-	-	-	出雲国風土記|延喜式	primary	多伎の地名由来
SHR-036	多久神社	-	出雲(松江市)	-	-	古社	式内社	-	-	-	出雲国風土記|延喜式	primary	式内社
SHR-037	富神社	-	出雲(出雲市)	-	-	古社	式内社	-	-	-	出雲国風土記|延喜式	primary	式内社
SHR-038	久武神社	-	出雲(松江市)	-	-	古社	式内社	-	-	-	出雲国風土記|延喜式	primary	式内社
SHR-039	諏訪大社上社本宮	諏訪神社上社本宮	諏訪(諏訪市)	DEI-010	CLN-017	タケミナカタが諏訪に鎮座	平安期から信濃国一宮	本殿無し、ご神体は守屋山	諏訪大明神(中世)	MYTH-014|MYTH-016	諏訪大社社伝	official	四宮の中心、諏訪氏大祝家
SHR-040	諏訪大社上社前宮	-	諏訪(茅野市)	DEI-010	CLN-017|CLN-018	タケミナカタ最古鎮座地伝	最古層神事の保存	神体山祭祀の最古層、守矢氏祭祀	-	MYTH-015|MYTH-019	諏訪大社社伝	official	守矢家本拠
SHR-041	諏訪大社下社春宮	-	諏訪(下諏訪町)	DEI-029|DEI-010	CLN-019	八坂刀売を祀る	春宮と秋宮で半年遷座	四宮の下宮	諏訪大明神	MYTH-020	諏訪大社社伝	official	金刺氏(科野国造系)祭祀
SHR-042	諏訪大社下社秋宮	-	諏訪(下諏訪町)	DEI-029|DEI-010	CLN-019	八坂刀売を祀る	秋宮と春宮で半年遷座	四宮の下宮	諏訪大明神	MYTH-020	諏訪大社社伝	official	同上
SHR-043	八剣神社	-	諏訪(諏訪市小和田)	DEI-010	CLN-017	諏訪湖畔の御渡判定社	諏訪湖御渡神事の核	御渡神事	-	MYTH-024|MYTH-102	諏訪大社社伝	official	冬季の御渡判定
SHR-044	御射山神社	-	諏訪(原村)	DEI-010	CLN-017	諏訪明神の狩りの神事の地	古代の御射山祭(8月)	狩猟神事	-	MYTH-017	諏訪大社社伝	official	古代狩猟祭祀の継承
SHR-045	守屋神社	-	諏訪(伊那市)	洩矢神	CLN-018	洩矢神を祀る	守矢氏祖神祭祀	縄文系祭祀の継承	-	MYTH-015	守矢家文書|社伝	local_tradition	タケミナカタに敗れた在来神
SHR-046	葛井神社	-	諏訪(茅野市)	-	CLN-018	守矢氏関連の古社	諏訪七不思議の地	-	-	MYTH-023	諏訪大社社伝	official	七不思議の一
SHR-047	武居夷社	-	諏訪(諏訪市)	武居夷神	CLN-018	守矢氏系の古社	-	縄文系祭祀	-	-	守矢家文書	local_tradition	守矢氏神長官祭祀
SHR-048	御頭御社宮司総社	-	諏訪(茅野市)	ミシャグジ	CLN-018	全国御社宮司神社の総本社	縄文系信仰の中心	ミシャグジ祭祀	-	MYTH-019	守矢家文書|社伝	local_tradition	ミシャグジ信仰の中核
SHR-049	真澄神社	-	諏訪(諏訪市)	-	-	諏訪明神巡幸の伝承地	-	-	-	-	諏訪大社社伝	official	真澄の鏡伝承
SHR-050	千野神社	-	諏訪(諏訪市)	-	-	諏訪明神関連の古社	-	-	-	-	諏訪大社社伝	official	諏訪信仰圏の摂社
SHR-051	大洗磯前神社	-	常陸(大洗町)	大己貴命|少彦名命	-	斉衡3年(856)創建伝、大己貴・少彦名が降臨	平安期の古社、酒列磯前と一対	海岸祭祀、神磯の鳥居	-	MYTH-093	文徳実録|社伝	primary+official	出雲系と海洋祭祀の融合
SHR-052	酒列磯前神社	-	常陸(ひたちなか市)	少彦名命|大己貴命	-	大洗磯前と同時期	大洗磯前と一対の古社	-	-	MYTH-093	文徳実録|社伝	primary+official	常陸の出雲系祭祀
SHR-053	静神社	-	常陸(那珂市)	建葉槌命	-	常陸国二宮	古代の織物神	-	-	-	延喜式|社伝	primary+official	倭文神(しずり)の祭祀
SHR-054	玉前神社	-	上総(一宮町)	玉依姫命	-	上総国一宮	玉依姫を祀る古社	-	-	MYTH-042	延喜式|社伝	primary+official	皇統母神祭祀
SHR-055	鎮守府八幡宮	-	陸奥(奥州市)	八幡神	-	征夷大将軍坂上田村麻呂創建伝	鎮守府が置かれた地	-	-	MYTH-083|MYTH-098	地方伝承|社伝	local_tradition+official	北方軍事祭祀
SHR-056	大国魂神社	-	武蔵(府中市)	大国魂大神	-	大化改新後に創建伝	武蔵総社	-	-	-	武蔵国総社縁起	official	六所宮形式の総社
SHR-057	大山阿夫利神社	-	相模(伊勢原市)	大山祇神|大雷神	-	崇神朝創建伝	大山(雨降山)信仰	山岳信仰	大山寺との習合	-	延喜式|社伝	official	近世講社「大山詣」
SHR-058	寒川神社	-	相模(寒川町)	寒川比古命|寒川比女命	-	相模国一宮	古代から関東の有力社	-	-	-	延喜式|社伝	official	八方除の神
SHR-059	阿蘇神社	-	肥後(阿蘇)	健磐龍命|阿蘇都比咩命	CLN-036	崇神朝に阿蘇国造創建	肥後国一宮	阿蘇火山祭祀	-	MYTH-068|MYTH-069	延喜式|社伝	official+local	阿蘇氏の本拠社
SHR-060	国造神社	-	肥後(阿蘇)	阿蘇都比古	CLN-036	阿蘇北宮	阿蘇神社の北宮	-	-	MYTH-068	阿蘇神社社伝	local	阿蘇都比古祭祀
SHR-061	草部吉見神社	-	肥後(阿蘇)	國龍命	CLN-036	阿蘇南宮	阿蘇神社系の南宮	-	-	-	阿蘇神社社伝	local	阿蘇三社の一
SHR-062	高千穂神社	-	日向(高千穂)	高千穂皇神	-	崇神朝創建伝	高千穂郷総社	岩戸神楽	-	MYTH-067|MYTH-078	地方伝承|社伝	official+local	天孫降臨伝承地
SHR-063	槵触神社	-	日向(高千穂)	ニニギ	-	天孫降臨の地	-	-	-	MYTH-067	地方伝承	local	「クシフル」=高千穂の中心
SHR-064	天岩戸神社	-	日向(高千穂)	天照大神	-	天岩戸神話の地	-	岩戸神楽	-	MYTH-078	地方伝承	local	天安河原伝承
SHR-065	鵜戸神宮	-	日向(日南市)	鵜葺草葺不合命	-	崇神朝創建伝	日向の海宮神話の地	海岸の岩窟祭祀	-	MYTH-073	地方伝承|社伝	official	豊玉姫出産の地
SHR-066	都萬神社	-	日向(西都市)	木花咲耶姫	-	日向の古社	日向国総社	-	-	MYTH-067	延喜式|社伝	official	コノハナサクヤ祭祀
SHR-067	霧島神宮	-	大隅(霧島市)	ニニギ	-	欽明天皇朝創建伝	霧島連山の山岳信仰	山岳祭祀、修験	-	MYTH-067	地方伝承|社伝	official+local	霧島山(高千穂峰説の代表)
SHR-068	鹿児島神宮	-	大隅(霧島市)	彦穂穂出見尊(山幸彦)	-	大隅国一宮	山幸彦祭祀	-	-	MYTH-041	延喜式|社伝	official	大隅一宮、山幸彦本陣
SHR-069	枚聞神社	-	薩摩(指宿市)	大日孁貴命	-	薩摩国一宮	太陽神祭祀	-	-	-	延喜式|社伝	official	薩摩一宮
SHR-070	開聞神社	-	薩摩(指宿市)	-	-	-	開聞岳信仰	山岳信仰	-	-	-	local	開聞岳神
SHR-071	八幡奈多宮	-	豊後(杵築市)	八幡神	-	宇佐神宮の元社	八幡顕現の地	-	-	MYTH-071	地方伝承|社伝	local	宇佐八幡宮以前の祭祀地伝
SHR-072	太宰府天満宮	-	筑前(太宰府)	菅原道真	CLN-006	延喜3年(903)菅原道真死去後創建	全国天満宮の総本社	天神祭、御霊信仰	-	MYTH-100	諸記録	primary+official	御霊信仰の代表
SHR-073	香椎宮	-	筑前(福岡市)	仲哀天皇|神功皇后	-	古代の神功皇后伝承の地	香椎廟と称された	-	-	MYTH-039	延喜式|社伝	primary+official	古代の特別社
SHR-074	筥崎宮	-	筑前(福岡市)	八幡神	-	延喜21年(921)創建	博多の海神八幡	-	-	MYTH-098	諸記録	primary+official	元寇の神威伝
SHR-075	宝満宮竈門神社	-	筑前(太宰府)	玉依姫命	-	大宰府の鎮守	宝満山修験	山岳修験	-	MYTH-042	地方伝承|社伝	local	宝満山(三郡山)山岳信仰
SHR-076	英彦山神宮	-	豊前(添田町)	天忍骨命	-	古代の修験霊場	日本三大修験場	山岳修験、神仏習合	-	-	地方伝承|修験道書	local+official	求菩提山と並ぶ豊前修験
SHR-077	沖津宮(沖ノ島)	沖ノ島祭祀	筑前(沖ノ島)	田心姫命	CLN-016	古墳期から国家祭祀	「海の正倉院」、国宝祭祀遺物群	古代海上祭祀	-	MYTH-037	考古学|社伝	primary+academic	2017年世界遺産登録、SHR-009 子社
SHR-078	中津宮(大島)	-	筑前(大島)	湍津姫命	CLN-016	古社	大島での祭祀	-	-	MYTH-037	社伝	official	SHR-009 子社
SHR-079	志賀海神社	-	筑前(志賀島)	綿津見三神	CLN-021	阿曇氏の本拠社	海人族阿曇氏の総本社	山誉祭、君が代の元歌	-	MYTH-040|MYTH-045	社伝	official+local	阿曇磯良祭祀
SHR-080	住吉神社(博多)	-	筑前(福岡市)	住吉三神	CLN-029	筑前の住吉三神祭祀	博多の海神祭祀	-	-	MYTH-043|MYTH-044	社伝	official	日本三大住吉の一
SHR-081	宇美八幡宮	-	筑前(宇美町)	応神天皇	-	神功皇后が応神を産んだ地	八幡神誕生地伝	-	-	MYTH-072	地方伝承|社伝	local+official	安産信仰
SHR-082	海神神社	-	対馬	綿津見神	CLN-021	対馬の海神祭祀	対馬国一宮	-	-	-	延喜式|社伝	official	対馬の海上祭祀
SHR-083	和多都美神社	-	対馬	彦火火出見尊|豊玉姫	-	対馬の海宮神話	豊玉姫宮の伝	海岸の磯祭祀	-	MYTH-042	社伝	official	海中鳥居が有名
SHR-084	和多都美神社(壱岐)	-	壱岐	-	-	壱岐の海神祭祀	壱岐国一宮	-	-	-	延喜式	official	壱岐対馬の海神
SHR-085	籠神社	-	丹後(宮津市)	彦火明命	CLN-028	元伊勢、海部氏の祭祀	丹後国一宮、海部氏系図(国宝)	-	-	MYTH-046	延喜式|社伝	primary+official	伊勢以前の祭祀地伝
SHR-086	真名井神社	-	丹後(宮津市)	豊受大神	CLN-028	籠神社の奥宮	元伊勢豊受神	-	-	MYTH-046	籠神社社伝	official	豊受大神の元宮
SHR-087	海部神社	-	丹後	-	CLN-028	海部氏祭祀	丹後の海人族	-	-	-	社伝	local	海部氏祖神
SHR-088	諸羽神社	-	山城(京都)	-	-	古社	-	-	-	-	延喜式	official	式内社
SHR-089	海神社	-	摂津(神戸市)	綿津見神	-	古代の海神祭祀	式内社	-	-	-	延喜式|社伝	official	瀬戸内の海神
SHR-090	熊野速玉大社	-	紀伊(新宮市)	熊野速玉大神|熊野夫須美大神	-	熊野三山の一	和歌山県新宮市	神倉神社の旧宮	熊野権現信仰	MYTH-052|MYTH-057	社伝	official	新宮、熊野三山
SHR-091	熊野那智大社	-	紀伊(那智勝浦町)	熊野夫須美大神	-	熊野三山の一	那智の滝祭祀	滝信仰	熊野権現	MYTH-052|MYTH-055	社伝	official	那智の滝で滝行
SHR-092	神倉神社	-	紀伊(新宮市)	高倉下命	-	熊野速玉の元宮	ゴトビキ岩信仰	磐座祭祀	-	MYTH-049	社伝	local	熊野最古の祭祀地
SHR-093	飛瀧神社	-	紀伊(那智勝浦町)	-	-	那智の滝そのもの	那智の滝信仰	滝信仰	-	MYTH-055	社伝	official	滝そのものを神体
SHR-094	玉置神社	-	紀伊(十津川村)	国常立尊ほか	-	熊野奥之院	十津川の山中	山岳信仰	熊野権現	-	地方伝承|社伝	local	熊野詣の終点
SHR-095	八咫烏神社	-	大和(宇陀市)	賀茂建角身命	CLN-014	八咫烏伝承の地	-	-	-	MYTH-050|MYTH-066	社伝	local	神武東征の地
SHR-096	丹生都比売神社	-	紀伊(かつらぎ町)	丹生都比売大神	-	紀伊一宮(紀伊一宮論争)	高野山との関係	高野山真言宗との習合	-	-	延喜式|社伝	official	空海以来の関係
SHR-097	日前神宮	-	紀伊(和歌山市)	日前大神	CLN-025	紀伊一宮	紀伊国造祭祀	-	-	-	延喜式|社伝	official	紀伊国造祭祀
SHR-098	國懸神宮	-	紀伊(和歌山市)	國懸大神	CLN-025	紀伊一宮	日前神宮と並立	-	-	-	延喜式|社伝	official	日前と一対
SHR-099	伊太祁曽神社	-	紀伊(和歌山市)	五十猛命	-	紀伊の木の神	紀伊一宮(複数論)	-	-	-	延喜式|社伝	official	木の神祭祀
SHR-100	狭井神社	-	大和(桜井市)	大物主荒魂	CLN-015	大神神社摂社	大物主の荒魂	薬の神事(神薬)	-	MYTH-058	大神神社社伝	official	大物主荒魂祭祀
SHR-101	大直禰子神社	-	大和(桜井市)	大田田根子	CLN-015	大神神社末社、大田田根子の社	-	-	-	MYTH-059	大神神社社伝	official	祟り鎮めの中心人物
SHR-102	檜原神社	-	大和(桜井市)	天照大神	-	元伊勢候補地	倭笠縫邑伝	-	-	MYTH-046	延喜式	official	元伊勢の畿内候補
SHR-103	廣瀬大社	-	大和(河合町)	若宇加能売命	-	大和の水神	龍田大社と一対	水神祭祀	-	-	延喜式|社伝	primary+official	大和の水神
SHR-104	龍田大社	-	大和(三郷町)	天御柱命	-	大和の風神	廣瀬大社と一対	風神祭祀	-	-	延喜式|社伝	primary+official	風神
SHR-105	葛城高鴨神社	迦毛大御神社	大和(御所市)	阿遅鉏高日子根神	CLN-014	葛城賀茂氏祖神祭祀	全国賀茂神社の元宮	-	-	-	延喜式|社伝	primary+official	アヂスキ祖神(出雲系)
SHR-106	鴨都波神社	-	大和(御所市)	事代主命	CLN-014	葛城鴨氏の本拠	-	-	-	-	延喜式|社伝	official	コトシロヌシ祭祀
SHR-107	高天彦神社	-	大和(御所市)	高皇産霊神	-	葛城の古社	式内大社	-	-	-	延喜式|社伝	primary+official	タカミムスビ祭祀
SHR-108	塩竈神社	-	陸奥(塩竈市)	塩土老翁神	-	陸奥国一宮	古代の塩の神	製塩祭祀	-	-	地方伝承|社伝	official+local	古代海人族祭祀
SHR-109	志波彦神社	-	陸奥(塩竈市)	志波彦大神	-	延喜式名神大社	塩竈神社境内	-	-	-	延喜式|社伝	primary+official	陸奥古社
SHR-110	大崎八幡宮	-	陸奥(仙台市)	八幡神	-	伊達政宗が再建	国宝社殿(慶長12年)	-	-	-	近世記録	official	桃山様式の傑作
SHR-111	駒形神社	-	陸中(奥州市)	天照大神ほか駒形大神	-	陸中国一宮	馬の神	-	-	MYTH-088	延喜式|社伝	official	馬産地の祭祀
SHR-112	鳥海山大物忌神社	-	出羽(遊佐町)	大物忌神	-	出羽国一宮	鳥海山(2236m)祭祀	山岳信仰、修験	山岳修験	MYTH-087	延喜式|社伝	official+local	鳥海山修験
SHR-113	月山神社	-	出羽(出羽三山)	月読命	-	出羽三山の一	月山(1984m)	山岳修験、死後世界	出羽修験	MYTH-085	社伝	official+local	出羽三山中心
SHR-114	出羽神社	-	出羽(出羽三山、羽黒)	伊氐波神|稲倉魂命	-	羽黒山修験の中心	出羽三山中心	山岳修験	羽黒修験	MYTH-084	社伝	official+local	出羽三山統括
SHR-115	湯殿山神社	-	出羽(出羽三山)	大山祇神ほか	-	出羽三山の一	湯殿山修験	山岳修験、即身仏	湯殿山修験	MYTH-086	社伝	official+local	即身仏文化
SHR-116	早池峰神社	-	陸中(花巻市)	瀬織津姫命	-	早池峰山(1917m)山岳信仰	柳田國男『遠野物語』	山岳信仰	-	MYTH-089	社伝|民俗	local+folklore	瀬織津姫=祓神
SHR-117	岩木山神社	-	陸奥(津軽)	顕国魂神(大国主)|多都比姫命	-	津軽国一宮	岩木山(1625m)山岳信仰	山岳信仰	-	-	地方伝承|社伝	official+local	津軽の山岳信仰
SHR-118	都々古別神社(馬場)	-	陸奥(棚倉町)	味耜高彦根命	-	陸奥国一宮(複数候補の一)	-	-	-	-	延喜式|社伝	primary+official	陸奥三都々古別の一
SHR-119	都々古別神社(八槻)	-	陸奥(棚倉町)	味耜高彦根命	-	陸奥国一宮(複数候補の一)	-	-	-	-	延喜式|社伝	primary+official	陸奥三都々古別の一
SHR-120	伊佐須美神社	-	陸奥岩代(会津美里町)	伊弉諾尊|伊弉冉尊	-	陸奥岩代国一宮	会津の古社	-	-	-	延喜式|社伝	primary+official	会津の総社的存在
SHR-121	射水神社	-	越中(高岡市)	瓊瓊杵尊	-	越中国一宮	北陸の古社	-	-	-	延喜式|社伝	primary+official	北陸の天孫祭祀
SHR-122	氣多神社	-	越中(高岡市)	大己貴命	-	越中国一宮	北陸の出雲系祭祀	-	-	-	延喜式|社伝	primary+official	能登気多大社の系統
SHR-123	彌彦神社	-	越後(弥彦村)	天香山命	-	越後国一宮	弥彦山(634m)山岳信仰	山岳信仰	-	-	延喜式|社伝	primary+official	越後の総鎮守
SHR-124	砥鹿神社	-	三河(豊川市)	大己貴命	-	三河国一宮	大己貴命を祀る	-	-	-	延喜式|社伝	primary+official	三河の出雲系
SHR-125	真清田神社	-	尾張(一宮市)	天火明命	CLN-030	尾張国一宮	尾張氏祖神	-	-	-	延喜式|社伝	primary+official	尾張氏の本拠社
SHR-126	熱田神宮	-	尾張(名古屋市)	熱田大神(草薙剣)	CLN-030	草薙剣を祀る	日本武尊伝承の地	草薙剣の神事	-	MYTH-016相当	日本書紀|社伝	primary+official	三種神器の一を祀る
SHR-127	伊雑宮	-	志摩(志摩市)	天照大神御魂	-	伊勢神宮別宮	皇大神宮別宮	-	-	-	伊勢神宮社伝	primary+official	元伊勢候補の一
SHR-128	瀧原宮	-	伊勢(度会郡)	天照大神御魂	-	伊勢神宮別宮	皇大神宮別宮	-	-	-	伊勢神宮社伝	primary+official	元伊勢候補の一
SHR-129	元伊勢内宮皇大神社	-	丹後	天照大神	-	元伊勢候補	元伊勢三社	-	-	MYTH-046	地方伝承|社伝	local+official	丹後元伊勢
SHR-130	檜原神社	-	大和(桜井市三輪)	天照大神	-	倭笠縫邑伝	元伊勢候補(畿内)	-	-	MYTH-046	延喜式	official	大神神社境外摂社
