network_id	network_name	node_type	node_label	region	primary_deity_or_motif	primary_clan	related_shrines	period	source_reference	confidence_level	hypothesis_layer	notes
NW-MA-001	海上ネットワーク	hub	沖ノ島	筑前(玄界灘)	MOTIF-048|DEI-017	CLN-016	SHR-077	古墳〜平安	発掘調査|世界遺産	A	L0	国家祭祀の海上拠点、4-9世紀の段階変遷
NW-MA-002	海上ネットワーク	hub	中津宮	筑前(大島)	MOTIF-044|DEI-018	CLN-016	SHR-078	古墳〜現代	古事記|書紀	A	L0	-
NW-MA-003	海上ネットワーク	hub	辺津宮	筑前(田島)	MOTIF-044|DEI-019	CLN-016	SHR-009	古墳〜現代	古事記|書紀	A	L0	宗像本社
NW-MA-004	海上ネットワーク	hub	志賀海神社	筑前(志賀島)	MOTIF-042|MOTIF-046	CLN-021	SHR-079	古墳〜現代	古事記|筑前国風土記逸文	A	L0	阿曇族の本拠地
NW-MA-005	海上ネットワーク	hub	住吉大社	摂津	MOTIF-043	CLN-029	SHR-015	古墳〜現代	古事記|諸記録	A	L0	禊から誕生、対朝鮮航海守護
NW-MA-006	海上ネットワーク	hub	住吉神社	筑前	MOTIF-043	CLN-029	SHR-080	古墳〜現代	諸記録	A	L0	-
NW-MA-007	海上ネットワーク	hub	籠神社	丹後	MOTIF-051	CLN-028	SHR-085	古墳〜現代	籠神社社伝|海部氏系図	A	L0	元伊勢候補(L2)、海部氏祭祀
NW-MA-008	海上ネットワーク	hub	穂高神社	信濃(安曇野)	MOTIF-052	CLN-021	-	古代〜現代	諸記録	B	L1	阿曇族の信濃移住先
NW-MA-009	海上ネットワーク	hub	熱田神宮	尾張	MOTIF-085	CLN-030	SHR-126	古墳〜現代	書紀|諸記録	A	L0	草薙剣の祭祀地、尾張海陸豪族
NW-MA-010	海上ネットワーク	hub	鹿児島神宮	大隅	MOTIF-049|MOTIF-053	CLN-037	-	古代〜現代	書紀|諸記録	B	L1	隼人の海神祭祀、隼人塚
NW-MA-011	海上ネットワーク	route	玄界灘海路	玄界灘	-	CLN-016|CLN-021	SHR-077|SHR-078|SHR-009	古墳〜中世	発掘調査	A	L0	対朝鮮半島・対大陸航路
NW-MA-012	海上ネットワーク	route	瀬戸内海路	瀬戸内	-	CLN-021|CLN-029	-	古墳〜現代	諸記録	A	L0	筑前↔摂津
NW-MA-013	海上ネットワーク	route	日本海岸線	日本海全域	-	CLN-001	-	弥生〜現代	諸記録	B	L1	出雲海蛇神在月との連環
NW-MA-014	海上ネットワーク	route	対朝鮮半島航路	玄界灘〜釜山	-	CLN-016|CLN-029	SHR-077	古墳〜中世	発掘|書紀	A	L0	国家対外祭祀の海上ロジ
NW-MA-015	海上ネットワーク	route	補陀落渡海航路	紀伊那智〜南海	-	-	SHR-093	平安〜江戸	諸記録	A	L0	即身渡海、修験的航海
NW-MA-016	海上ネットワーク	myth	誓約段	-	MOTIF-044	-	-	神話時代	古事記|書紀	A	L0	アマテラス・スサノオの誓約で三女神誕生
NW-MA-017	海上ネットワーク	myth	海宮訪問	日向対馬	MOTIF-041	-	SHR-068	神話時代	古事記|書紀	A	L0	山幸彦の海神宮訪問
NW-MA-018	海上ネットワーク	myth	神功皇后三韓征討	筑紫	MOTIF-010	CLN-021|CLN-029	SHR-073	書紀記述	書紀	C	L2	伝承的征討譚
NW-MA-019	海上ネットワーク	clan	阿曇氏	筑前→信濃	-	CLN-021	SHR-079	古代〜中世	新撰姓氏録	A	L0	-
NW-MA-020	海上ネットワーク	clan	住吉氏	摂津・筑前	-	CLN-029	SHR-015|SHR-080	古代〜中世	諸記録	A	L0	-
