entity_id	version_id	epoch	epoch_start	epoch_end	physical_continuity	ritual_continuity	institutional_continuity	narrative_continuity	location_continuity	rupture_score	reinterpretation_intensity	revival_status	source_reference	inference_type	notes
SHR-002	V01	古代-上代	BCE 5(伝)	7C	inferred	inferred	mythic	mythic	exact	low	low	original	倭姫命世記|考古学	inferential	倭姫命御杖代巡幸の伝承期。考古学的に内宮地は不変
SHR-002	V02	律令期	7C	1185	maintained	maintained	official(神祇官・延喜式)	official_canon	exact	low	low	original	延喜式|続日本紀|神宮儀式帳	source_backed	式年遷宮第1回 690、神宮制度確立。22 社制度下で本宗
SHR-002	V03	中世	1185	1573	partial_rebuild	broken→reconstructed	partial(武家庇護)	syncretic(神仏習合)	exact	high	medium	reconstructed	続史愚抄|神宮儀式帳	source_backed	BRK-006 1462-1585 式年遷宮 123 年中絶。神仏習合下で内宮寺併設
SHR-002	V04	近世	1573	1868	rebuilt(信長後援)	restored	traditional(寺社奉行)	pilgrimage_centric	exact	medium	revived	low	続史愚抄|お蔭参り記録	source_backed	1585 式年遷宮復活。お蔭参り (江戸庶民) で国民化、伊勢御師組織発達
SHR-002	V05	近代	1868	1945	rebuilt	maintained	national_shinto(官幣大社)	state_canonical	exact	medium	reconstructed	low	官報|明治政府記録	source_backed	BRK-017 神宮寺廃止、純粋神道化。BRK-027 伊勢御師組織消滅 (1871)。神宮 (本宗) 制度
SHR-002	V06	現代	1945	present	maintained	maintained	shrine_association(神社本庁)	cultural+heritage	exact	low	maintained	low	GHQ 神道指令|神社本庁記録	source_backed	BRK-004 神道指令で国家神道解体。神社本庁傘下、ツーリズム化
SHR-001	V01	古代-上代	BCE	8C	inferred	inferred	legendary	mythic	exact	medium	high	original	古事記|出雲国造神賀詞|考古学	inferential	国譲り神話の中核。古代高層神殿伝承 (48m 級)、IZM-119/125 出土
SHR-001	V02	律令期	8C	1185	inferred	maintained	official(出雲国造神賀詞)	state_canonical	exact	low	low	original	延喜式|続日本紀|神賀詞記録	source_backed	神賀詞奏上 26 例 (霊亀 2-寛弘 2)、名神大社、出雲国造祭祀権制度化
SHR-001	V03	中世	1185	1573	rebuilt(度重なる倒壊)	maintained	partial(武家庇護)	syncretic	exact	high	reconstructed	low	出雲国造家文書	source_backed	BRK-007 中世本殿倒壊・再建反復。1248 年大規模再建
SHR-001	V04	近世	1573	1868	rebuilt(1744 現本殿)	maintained	traditional(寺社奉行+国造家)	traditional	exact	low	revived	low	出雲国造家文書	source_backed	1744 年現本殿造営、千家・北島両家分割管理体制確立
SHR-001	V05	近代	1868	1945	maintained	maintained	national_shinto(官幣大社)	state_canonical	exact	low	maintained	low	官報|出雲大社旧記	source_backed	1871 改称、官幣大社。神宮寺は元来なし、神仏分離影響軽微
SHR-001	V06	現代	1945	present	maintained	maintained	shrine_association	cultural+international	exact	low	maintained	low	神社本庁記録	source_backed	出雲大社教 (戦後)、千家・北島祭祀継承 84 代、国宝指定
SHR-006	V01	縄文-弥生(L3 仮説)	先史	古代	inferred	inferred	prehistoric	mythic	exact	medium	high	original	諏訪大明神画詞|考古学	speculative	守矢氏 (洩矢神) 在地祭祀の縄文残存仮説 L3。タケミナカタ進入以前
SHR-006	V02	古代	古代	1185	inferred	maintained	prehistoric+official	syncretic	exact	low	medium	original	諏訪大明神画詞|延喜式	inferential	タケミナカタ祭祀導入 (国譲り神話接続)、守矢氏との重層構造。式内社
