ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-117	神代	神話時代	不明	-	大国主の隠れに際し「天日隅宮」造営。タカミムスビが宮を造り、アメノホヒを祭祀者と定める	神話エピソード	国譲り、出雲大社創建	出雲大社	大国主、アメノホヒ	-	-	出雲国造	出雲臣	出雲(杵築)	-	-	古事記、日本書紀	神話、社伝	C	0	書紀一書では「天孫の住む宮殿のような壮大な宮」表現	高層神殿、天と地の媒介	出雲祭祀の起源	国譲りの代償としての社殿	アメノホヒ→出雲国造祭祀	-	出雲大社祭祀の根拠神話	IZM-056と同事象、別観点
IZM-118	古代	古代	-	-	古代の名称は「杵築(きづき)大社」。「出雲大社」呼称は明治期に確定	神社創建	-	出雲大社	大国主	-	-	-	-	出雲(出雲郡杵築郷)	-	-	出雲国風土記、延喜式神名帳	風土記、正史	A	0	-	-	-	-	-	-	-	「杵築」は風土記・延喜式に明記
IZM-119	平安	平安期	CE 970年代	天禄〜永延年間	源為憲『口遊』(970年)に「雲太、和二、京三」の記述。出雲大社が東大寺大仏殿(15丈)・大極殿より高い「日本第一の建物」	神社創建	-	出雲大社	大国主	-	-	-	-	出雲	-	-	源為憲『口遊』	近代以前資料	B	1	32丈(約96m)説 / 16丈(約48m)説 / 8丈(約24m)説	高層神殿、神威の物理的表現	日本最大級の宗教建築	出雲祭祀の建築的優越	-	-	高層神殿伝承の文献的根拠	「雲太=出雲大社、和二=東大寺、京三=大極殿」
IZM-120	平安	平安〜鎌倉期	CE 1031-1248	長元〜宝治年間	出雲大社本殿の倒壊・修造記録が頻発(7回以上)	政治事件	-	出雲大社	-	-	-	-	-	出雲	-	-	『百錬抄』、『中右記』、千家文書	近代以前資料、社伝	A	0	-	-	-	-	-	-	高層神殿の物理的不安定性を物語る	倒壊頻度は他大社と比べ突出
IZM-121	平安	平安〜鎌倉	CE 1031-1248	-	「出雲大社造営宣旨」など朝廷主導の修造制度	政治事件	-	出雲大社	-	-	-	-	-	出雲	-	-	続日本後紀、千家文書	正史、社伝	A	0	-	-	国家関与による出雲大社の格	出雲祭祀への朝廷的支援	-	-	-	60年に一度遷宮の慣習はこの頃形成
IZM-122	古代以前〜現代	不明	-	-	神魂神社(松江市)の本殿は最古級の大社造(国宝、室町期建築)。出雲大社本殿の様式祖型を伝える	神社創建	-	神魂神社	伊弉冉尊	-	-	出雲国造	出雲臣	出雲(松江市大庭町)	-	-	神魂神社社伝	社伝	B	1	大社造の祖型は神魂神社 / 出雲大社が祖型	-	大社造の建築様式	出雲国造の祭祀本拠	-	神魂神社本殿(国宝、現存最古の大社造)	大社造の標準形成	IZM-076(意宇本拠)と接続
IZM-123	鎌倉	治承〜嘉禄年間	CE 1180-1226	治承4〜嘉禄2年	治承4年(1180)倒壊、嘉禄2年(1226)に造営の記録	政治事件	-	出雲大社	-	-	-	出雲国造	千家、北島	出雲	-	-	千家家文書、北島家文書	社伝、中世神道	A	0	-	-	武家社会下での出雲大社造営	武家政権への出雲大社の関与	-	-	-	鎌倉幕府の関与あり
IZM-124	中世	鎌倉〜室町	CE 1200-1500	鎌倉〜室町	中世における祭神認識:祇園信仰・牛頭天王信仰の浸透により、主祭神がスサノオとされた時期がある	祭祀	出雲祭神論争	出雲大社	大国主、スサノオ	-	-	出雲国造	千家、北島	出雲	-	-	中世神道書(『塩冶系図』『出雲国造家文書』類)	中世神道	B	1	一貫して大国主が祭神説 / 中世にスサノオへ交代後復帰説	-	主祭神認識の変動	祇園信仰の地方浸透	-	-	近世国学(本居・平田)による大国主への回帰	IZM-029と同論点、本表で深掘り
IZM-125	平成	平成12年(2000)	CE 2000	平成12年	出雲大社境内発掘で巨大柱根(直径約1.35mの杉3本を束ねた直径約3mの柱)が発見	考古遺跡	-	出雲大社	-	-	-	-	-	出雲	出雲大社境内	心御柱・宇豆柱	島根県教育委員会発掘報告(2000-2001)	考古学	A	0	-	-	古代高層神殿説の物理的裏付け	出雲大社祭祀の規模感	-	心御柱(中心)、宇豆柱(前面)	高層神殿伝承の科学的根拠	13世紀代の遷宮時の柱と推定
IZM-126	古代	古代社殿の復元論	-	-	古代の出雲大社本殿は、心御柱発見と「金輪御造営差図」(平安〜鎌倉期写)を組み合わせ、48m級高層説が有力化	神社創建	-	出雲大社	-	-	-	-	-	出雲	-	-	福山敏男ほか復元研究	現代研究	B	2	48m説 / 96m説 / 24m説	高層神殿、引橋(参道)が長大	-	古代出雲祭祀の規模	-	心御柱、金輪御造営差図	古代神社建築史の最重要復元例	断定可能なのは48m級まで
