ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-046	神代	神話時代	不明	-	高天原(タカミムスビ・アマテラス)が葦原中国の平定を議す。葦原中国は大国主が支配	神話エピソード	国譲り神話	-	アマテラス、タカミムスビ、大国主	-	-	-	-	高天原・葦原中国	-	-	古事記、日本書紀	神話	C	0	古事記=アマテラス主導 / 書紀本文=タカミムスビ主導	王権交渉の発端、天孫降臨の前段	皇統祭祀の源	出雲祭祀権の中央への取り込みのモチーフ	皇統神話と出雲神話の接合点	-	日本王権神話の中軸	書紀の主導神の差は古層の高木神信仰の痕跡説あり
IZM-047	神代	神話時代	不明	-	アメノホヒ派遣。大国主に懐柔され3年復命せず。出雲国造の祖神とされる	神話エピソード	国譲り、出雲国造の祖	出雲大社(摂社含む)	アメノホヒ、大国主	-	-	出雲国造(後世)	出雲臣、土師氏	高天原・出雲	-	-	古事記、日本書紀、出雲国造神賀詞	神話、系譜資料	C	0	書紀一書では大背飯三熊之大人(子)を派遣、これも復命せず	懐柔・帰順、政治的妥協	出雲国造祭祀の正統性	使者が現地に同化する=出雲統治の難しさ	アメノホヒ→出雲国造、土師氏、菅原氏に系譜	-	出雲国造家の血統根拠、菅原道真の遠祖	国造神賀詞では「天穂日命」が主役で扱いが大幅に肯定的
IZM-048	神代	神話時代	不明	-	アメノワカヒコ派遣。シタテルヒメ(大国主の娘)と結婚し復命せず8年	神話エピソード	国譲り、アメノワカヒコ神話	-	アメノワカヒコ、シタテルヒメ、大国主	-	-	-	-	高天原・葦原中国	-	-	古事記、日本書紀	神話	C	0	書紀一書では復命せず期間や妻名に異伝	使者の現地化、二度目の失敗	-	高天原系神格の地方同化	シタテルヒメは大国主の娘、アヂスキタカヒコネの妹	-	-	-
IZM-049	神代	神話時代	不明	-	アメノワカヒコ、葦原中国を奪取しようと野心を抱く	神話エピソード	アメノワカヒコ神話	-	アメノワカヒコ、シタテルヒメ	-	-	-	-	葦原中国	-	-	古事記、日本書紀	神話	C	0	-	背信、野心、誘惑	-	高天原系統の裏切り、出雲側との婚姻による同化	-	-	-	書紀ではより明示的に背信を描く
IZM-050	神代	神話時代	不明	-	雉鳴女が様子を伺いに派遣されるも、アメノワカヒコが射殺。返し矢が天上に達しタカミムスビが投げ返してアメノワカヒコ死亡	神話エピソード	雉鳴女、返し矢	-	アメノワカヒコ、雉鳴女、タカミムスビ	-	-	-	-	高天原・葦原中国	-	-	古事記、日本書紀	神話	C	0	-	因果応報、矢の呪力	-	高天原による背信者処断	-	-	「雉の使い」「返し矢恐るべし」諺の起源	矢の起源神話の一つ
IZM-051	神代	神話時代	不明	-	アメノワカヒコの葬送に親友アヂスキタカヒコネ(大国主の子)が訪れ、生前の似姿に喪屋を蹴り壊す	神話エピソード	アメノワカヒコ葬送、アヂスキタカヒコネ	迦毛大御神社(高鴨神社)	アヂスキタカヒコネ、シタテルヒメ、アメノワカヒコ	-	-	葛城賀茂氏	賀茂氏	葛城・高天原・葦原中国	-	-	古事記、日本書紀	神話	C	0	喪屋が美濃国藍見河に飛び落ちて喪山となる伝	兄弟・葬送、霊魂、似姿	アヂスキタカヒコネ祭祀(葛城)の起源	出雲—葛城賀茂氏の連結	大国主の子、シタテルヒメの兄、賀茂氏祖神	喪山伝承地(美濃)	賀茂氏祭祀、迦毛大御神(高鴨神社)	大国主の子神が大和賀茂氏祖神として展開
IZM-052	神代	神話時代	不明	-	タケミカヅチ(古事記)/フツヌシ(書紀本文主役)派遣。アメノトリフネが副使	神話エピソード	国譲り使者派遣	鹿島神宮、香取神宮	タケミカヅチ、フツヌシ、アメノトリフネ	-	-	物部氏(フツヌシ系)、中臣氏(タケミカヅチ系)	物部氏、中臣氏	高天原・出雲	-	-	古事記、日本書紀	神話	C	1	古事記=タケミカヅチ主役 / 書紀本文=フツヌシ主役 / 中臣・物部の祖神争い	武神、剣神	国家神祭祀(鹿島・香取)の起源	中臣(藤原)・物部の祭祀権争いの神話的反映	タケミカヅチ→中臣氏、フツヌシ→物部氏(石上)	-	鹿島・香取信仰、藤原氏氏神	日本書紀では中臣氏に有利な書き換えの可能性指摘される
IZM-053	神代	神話時代	不明	-	出雲国伊耶佐(稲佐)の小浜に降り、十掬剣を逆さに刺し、剣の切先に座って大国主に詰問	神話エピソード	稲佐の浜の交渉	稲佐の浜(出雲市大社町)、屏風岩	タケミカヅチ、フツヌシ、大国主	-	-	-	-	出雲(稲佐の浜)	-	-	古事記、日本書紀	神話	C	0	書紀一書では交渉場所・所作に異伝	武威示威、剣の聖性	国譲りの中心地	使者の威圧と平和的妥協の混在	-	稲佐の浜の聖地化	国譲り神話の核、出雲大社神迎神事と接続	「神迎の神事」は現代も稲佐の浜で挙行
IZM-054	神代	神話時代	不明	-	大国主は子のコトシロヌシに諾否を委ねる。コトシロヌシは美保ヶ崎で釣魚中、承諾し青柴垣に隠れる	神話エピソード	コトシロヌシの服従	美保神社	コトシロヌシ、大国主	-	-	-	-	出雲(美保関)	-	-	古事記、日本書紀	神話	C	0	書紀本文では先に長子に問う / 古事記では順番異なる	託宣神、青柴垣の聖性	美保神社祭祀の核心	出雲祭祀権の段階的譲渡	コトシロヌシ=大国主の長子格	-	美保神社の青柴垣神事(4月)、諸手船神事(12月)	「事を知る」=託宣の神格を反映
IZM-055	神代	神話時代	不明	-	タケミナカタ(大国主の子)が反対し力競べを挑むが敗退、諏訪へ退避(詳細は Issue #5)	神話エピソード	タケミナカタ抵抗、国譲り	諏訪大社	タケミナカタ、タケミカヅチ	-	-	-	-	出雲・諏訪	-	-	古事記	神話	C	0	古事記のみ。書紀本文・一書には欠落	抵抗・退避、力競べ(相撲の起源)	諏訪信仰の起源	地方への神格疎開	タケミナカタ=大国主の子(古事記)	-	諏訪大社上社・下社、相撲の神話的起源	書紀の欠落は王権中心の編集の痕跡説あり
IZM-056	神代	神話時代	不明	-	大国主が国譲りの条件として「天日隅宮(高天原に届く高層神殿)」造営を要求	神話エピソード	国譲り、出雲大社造営伝承	出雲大社	大国主、タカミムスビ	-	-	-	-	出雲(杵築)	出雲大社境内	-	古事記、日本書紀	神話、社伝	C	0	書紀一書では「天孫の住む宮殿のような壮大な宮」表現	高層神殿、天と地の媒介	出雲大社祭祀の起源	祭祀権譲渡の代償としての社殿	大国主が国造に祭祀されることの神話的根拠	2000年心御柱発見(古代の高層性裏付け)	出雲大社の高層神殿伝承の根拠	2000年に巨大柱根(径3m級)が発見されIZM-009 関連
IZM-057	神代	神話時代	不明	-	大国主は隠れ(神去り)、見えない世界(幽事)を主宰することとなる	神話エピソード	大国主の隠れ	出雲大社	大国主	-	-	-	-	出雲	-	-	古事記、日本書紀	神話	C	0	書紀一書では「百足らず八十坰手に隠れぬ」表現	幽冥主宰、見えない世界の主	大国主が現世から幽世へ移管	王権の二重構造(顕世=皇統、幽世=出雲)	-	-	平田篤胤の幽冥論、現代の縁結び信仰	「現世はアマテラス、幽世は大国主」の二項対立構造の起源
IZM-058	神代	神話時代	不明	-	多芸志の小浜で饗応の宮を建て、クシヤタマが膳夫(料理人)となる	神話エピソード	饗応	-	大国主、クシヤタマ	-	-	-	-	出雲(多芸志の小浜)	-	-	古事記	神話	C	0	-	饗応・和解	大社神饌の起源	平和的解決の演出	-	-	出雲大社の神饌儀礼	書紀には欠如、古事記独自記述
IZM-059	神代〜奈良	霊亀2年(716)以降の奏上	CE 716以降	霊亀2年〜	出雲国造神賀詞:出雲国造交代時に奏上。アメノホヒを忠臣として描き、国譲り神話を出雲側視点で再構成	神話エピソード	国譲り、出雲国造祭祀	出雲大社	アメノホヒ、フツヌシ、コトシロヌシ、大国主	出雲国造果安、広島	元正天皇、聖武天皇 等	出雲国造	出雲臣	出雲・大和(朝廷)	-	-	続日本紀、延喜式	正史、社伝	A	0	記紀との差:アメノホヒが復命せず帰順した記述を肯定的に書き換え	祭祀統合の再演、地方からの忠誠表明	出雲祭祀権の中央への朝貢的従属	出雲国造の地位確認の儀礼	アメノホヒ→出雲国造の系譜的正統性	-	出雲国造家の存続根拠	続日本紀に複数回の奏上記録あり
