theme_id	canonical_name	region	category	summary	representative_examples	source_reliability	modern_research	notes
THM-001	ミシャグジ	諏訪|全国	縄文系/在来神	樹石を依代とする縄文系土着信仰、御社宮司神社の祭神	諏訪上社前宮|御頭御社宮司総社|全国の御社宮司神社	local_tradition+folklore	守矢家文書|柳田國男|原田勝広	諏訪在来祭祀の主軸、L3
THM-002	洩矢神	諏訪	在来神/敗者神	タケミナカタに敗れた諏訪在来神、守矢氏祖神	守屋神社(諏訪伊那)|諏訪上社前宮	local_tradition	守矢家文書	諏訪二重信仰の核
THM-003	アラハバキ	東北|関東	縄文系/客人神	荒覇吐神、客人神(まろうどがみ)、アイヌ系・縄文系説あり	門客人神社(各地)|アラハバキ祠	local_tradition+speculative	諸民俗資料|高橋富雄	東北の在来神格、L3-L4
THM-004	土蜘蛛	全国	先住民族	古代の在地集団、ヤマトに従わない者の蔑称	八十健兄弟|大和の土蜘蛛|筑紫国の土蜘蛛	primary	諸風土記|書紀	縄文系・先住民の歴史記憶
THM-005	荒神	全国	在来神/家神	三宝荒神、火の神・台所神、地方信仰の中核	家庭の荒神棚|荒神社(全国)|備中荒神	local_tradition+folklore	柳田國男	「荒ぶる神」=人格化以前の力の象徴
THM-006	金属神(金山彦・金山姫)	美濃|出雲	製鉄/金属	金属を司る神々、鍛冶守護	南宮大社(美濃)|金屋子神社(出雲)	primary+official	近代研究	製鉄民の祭祀対象
THM-007	海蛇神(セグロウミヘビ)	出雲|宗像	海洋/蛇神	海蛇を神の使いとする信仰、神在祭で出雲大社に登場	出雲大社の神迎神事	local_tradition+folklore	諸民俗資料	日本海の冬の漂着海蛇を神格化
THM-008	山の神(マタギ)	東北|信濃|諏訪	狩猟/山岳	狩猟者の守護神、女神とする伝多い	マタギの信仰|諏訪明神(狩猟神)	folklore	諏訪大明神絵詞|柳田國男	狩猟祭祀の女神信仰
THM-009	水神(竜神・河童)	全国	水神/精霊	水の力を象徴する神格、龍蛇神格化	諏訪湖龍神|九頭龍|河童伝承	local_tradition+folklore	柳田國男『山島民譚集』	全国の水辺信仰
THM-010	道祖神(塞の神)	全国	境界/旅の神	村境の石神、悪霊を防ぐ	全国の道祖神石	folklore	諸民俗資料	庚申・地蔵との習合
THM-011	御霊信仰	京都|関東	怨霊/鎮魂	非業の死者を神として祀る	菅原道真|平将門|崇徳上皇	primary+official	山田雄司『御霊信仰』	平安末以降の重要信仰
THM-012	御釜神	出羽	-	釜を御神体とする神	出羽の御釜神社	local_tradition	-	-
THM-013	龍蛇神	諏訪|出雲|全国	蛇神/水神	龍と蛇の融合神格、水神信仰の根幹	諏訪湖御渡|出雲の竜蛇神事|三輪山	local_tradition+folklore	諸民俗	全国蛇神信仰の基層
THM-014	神剣信仰	全国	王権/武神	草薙剣・布都御魂・天叢雲剣	熱田神宮|石上神宮|出雲	primary	日本書紀	皇統の三種神器
THM-015	神鏡信仰	全国	王権/太陽神	八咫鏡(伊勢)、皇統の三種神器	伊勢神宮|日前国懸	primary	日本書紀	皇統正統化の象徴
THM-016	勾玉信仰	全国	王権/玉作	八尺瓊勾玉(三種神器の一)、出雲の玉作部	玉作湯神社|花仙山	primary+academic	考古学	古代王権の象徴物
THM-017	神木信仰	全国	樹木/聖性	神宿る樹木、御神木	諏訪御柱|大三輪山|天香具山	local_tradition+folklore	諸民俗	御神木信仰
THM-018	磐座信仰	全国	岩石/聖性	神霊が降臨する岩、巨石信仰	神倉神社のゴトビキ岩|花の窟	local_tradition+academic	諸考古学	最古層の神聖空間
THM-019	神体山	全国	山岳/聖性	山自体を神体とする	三輪山|守屋山|富士山	primary+local	諸社伝	大神神社・諏訪大社の本殿無し形式
THM-020	山岳修験	全国	修験道	山中での修行と神仏習合	出羽三山|白山|大峰|熊野	primary+official	五来重|宮家準	SHU-001〜025連結
THM-021	熊野信仰	紀伊|全国	修験/浄土	熊野権現信仰、補陀落渡海	熊野三山|全国熊野神社	primary+official	諸学術研究	平安院政期に最盛
THM-022	海洋民族	北部九州|瀬戸内	海人族	阿曇・住吉・宗像・海部の総称	志賀海|住吉|沖ノ島|籠神社	primary+academic	谷川健一|義江彰夫	古代国際交易の主体
THM-023	渡来人	山城|河内|畿内	渡来	秦・漢・西文・百済王の渡来氏族	伏見稲荷|松尾|韓神社	primary+academic	諸学術研究	古代日本の技術導入
THM-024	太陽信仰	伊勢|全国	太陽神	アマテラス、伊勢神宮、太陽=皇祖神	伊勢神宮|枚聞神社	primary	諸研究	皇統の中軸
THM-025	月信仰	伊勢別宮|出雲	月神	ツクヨミ、月夜見尊、月山	月読宮(伊勢別宮)|月山神社	primary+local	諸研究	太陽神に比べ希薄
THM-026	星信仰	-	星宿/北極星	妙見信仰、北辰信仰	妙見神社|秩父神社	folklore+local	諸民俗	中世以降の中国系信仰
THM-027	神婚	三輪|全国	異類婚	人と神との婚姻譚、三輪山型・蛇婿型	三輪山型神婚|海宮神話	primary+folklore	柳田國男	全国の異類婚姻譚の祖型
THM-028	生贄	諏訪|九州	生贄/供犠	動物・人身の供犠	諏訪御頭祭(鹿頭)|宇佐の人身御供伝	local_tradition+folklore	諸民俗	縄文〜弥生の供犠の名残
THM-029	常世国	全国	異界/海上	海の彼方の理想郷	スクナビコナ常世帰還|ウラシマ	primary+folklore	古事記|風土記	海洋民の他界観
THM-030	死者の国(黄泉)	出雲|全国	冥界	地下の冥界、黄泉国	黄泉比良坂(揖夜)|月山	primary	古事記	イザナギの黄泉訪問
THM-031	巨人	出雲	巨人神	国引きの八束水臣津野命、ダイダラボッチ	八束水臣津野|諸地のダイダラボッチ	primary+folklore	出雲国風土記|諸民俗	地形の人格化
THM-032	山人	東北|諏訪	山中異類	山中の異形の人々、天狗・山童	諸地の山人伝承|遠野	folklore	柳田國男『山人考』	山岳の異界存在
THM-033	巫女	全国	祭祀女	神懸かり、神託を伝える	卑弥呼|斎宮|物忌	primary+folklore	諸研究	古代祭祀の中心
THM-034	火山神	阿蘇|霧島|諏訪	火山	火山活動を神格化	健磐龍命(阿蘇)|霧島|大山祇	local+primary	阿蘇神社等	九州・諏訪火山祭祀
THM-035	製鉄神	出雲|吉備	製鉄	製鉄の守護神	金屋子神(出雲)|金山彦(美濃)	local+primary	諸研究	鉄作りの祭祀
THM-036	神在祭(神有月)	出雲	全国祭祀	全国の神々が出雲に集まる伝	出雲大社|佐太神社|万九千神社	local+official	出雲大社神事記	旧暦10月の出雲信仰
THM-037	神迎神事	出雲	祭祀	稲佐の浜で神々を迎える	出雲大社神迎神事	local+official	出雲大社神事記	龍蛇神(セグロウミヘビ)を迎える
THM-038	御渡(おみわたり)	諏訪	氷/占い	諏訪湖の氷の裂け方で吉凶占	八剣神社の御渡判定	local_tradition+folklore	諸地方民俗	諏訪湖凍結現象の祭祀化
THM-039	御柱祭	諏訪|全国	樹木/再生	山中から樅の大木を切り出し四宮に立てる	諏訪大社御柱祭	local+official	諏訪大社社伝	縄文期樹木信仰起源説(L3)
THM-040	御頭祭	諏訪	狩猟/供犠	鹿頭75を神饌として奉献	諏訪上社前宮御頭祭	local+folklore	守矢家文書|菅江真澄	縄文狩猟祭祀継続説(L3)
THM-041	田の神	全国	農耕	稲作守護神、季節で山と田を往復	全国の田の神信仰	folklore	柳田國男	日本農耕祭祀の基層
THM-042	祖霊信仰(マレビト)	全国	祖霊/客神	先祖の霊が時を定めて訪れる	折口信夫『古代研究』	folklore	折口信夫	日本祖霊信仰の構造
THM-043	漁撈祭祀	海岸全域	漁業	漁の安全と豊漁を祈る	船霊信仰|恵比須講	local+folklore	諸民俗	全国漁村の祭祀
THM-044	落人伝承	山間部全国	移住/落人	平家落人など、敗残者の隠棲伝	平家の落人村|大塔宮落人	folklore+local	諸地方伝承	山間部の口碑
THM-045	怨霊化伝承	全国	御霊	非業の死者の怨霊化	大江山酒呑童子|平将門	folklore+primary	諸研究	御霊信仰の前段
THM-046	縄文海進記憶仮説	全国	地理記憶	縄文期海面上昇の神話的記憶説	HYP-001	speculative	大胆仮説	L5、検証困難
THM-047	翡翠ロード	出雲|諏訪|越	交易	糸魚川産翡翠の流通ネットワーク	HYP-006|IZM-013|IZM-072	academic+local	寺村光晴|藤田富士夫	L3
THM-048	製鉄民征服譚説	出雲	製鉄/征服	ヤマタノオロチ=製鉄渡来民説	HYP-002	speculative+academic	谷川健一	L4
THM-049	神奈備山(かんなび)	全国	山岳神	神奈備=神聖な山	三輪山|諏訪守屋山|香具山	primary+local	諸研究	最古層の山岳信仰
THM-050	神籬(ひもろぎ)	全国	祭祀施設	臨時的な神聖空間、磐座と並ぶ	諸社の神籬	primary+folklore	諸研究	最古の祭祀形態
THM-051	禁忌・タブー	全国	-	女人禁制、不浄、忌避	大峰山女人禁制|月経忌避	local+folklore	諸民俗	古代から近代まで継続
THM-052	神楽	出雲|九州|全国	神事/芸能	神を迎え楽しませる神事	出雲神楽|高千穂神楽|岩戸神楽	local+folklore	諸研究	地方神楽の多様性
THM-053	夜祭	諏訪|秩父	-	夜間に行う特殊神事	諏訪御渡神事|秩父夜祭	local+folklore	諸研究	古代祭祀の名残
THM-054	湯立神事	全国	-	熱湯を撒き祓い清める	霜月祭|湯立神楽	local+folklore	諸民俗	全国の湯立て神事
THM-055	火渡り	修験霊場	修験	焚き火の上を渡る修行	大峰山|出羽三山	local+modern	諸修験	現代修験の主要儀礼
THM-056	温羅伝承	吉備	製鉄/異類	吉備津彦命と温羅(渡来製鉄民?)	吉備津神社	primary+local	諸研究	温羅=渡来人説
THM-057	ヤマトタケル草薙剣	尾張	武神/剣	草薙剣の継承伝承	熱田神宮|尾張氏	primary	古事記|書紀	皇統と尾張氏の結節
THM-058	大物忌神(鳥海山)	出羽	山岳神	出羽国一宮、山岳神	鳥海山大物忌神社	primary+local	諸研究	北方山岳信仰
THM-059	諏訪の鉄輪伝承	諏訪	製鉄/敗者	タケミナカタ vs 洩矢神の戦いで鉄輪と藤が用いられる	守矢家文書	local_tradition	守矢家文書	製鉄民移動の傍証(L3)
THM-060	出雲の銅鐸祭祀の終焉	出雲	祭祀転換	弥生→古墳の祭祀転換	IZM-009|IZM-098	academic	佐原真	国譲り神話との対応説(L2)
THM-061	八岐大蛇=斐伊川氾濫説	出雲	自然災害	八岐大蛇は斐伊川氾濫の擬人化	HYP-002の別解釈	academic	諸研究	製鉄説と並立
THM-062	出雲—諏訪同盟	出雲|諏訪	政治/宗教	ヌナカワ婚姻—タケミナカタ諏訪移動の連結	MYTH-104	academic+folklore	諸研究	翡翠ロード仮説と並行(L2)
