node_id	node_type	prefix	master_file	定義	主たる用途	必須カラム	任意カラム	関連可能node_type	例
N01	deity	DEI	deity_master.tsv	神格として認識される存在(神話的・祭祀的・歴史的)	全ての祭神・神話登場神を一元管理。神仏習合は別エンティティの syncretized_with 関係で表現	master_id|canonical_name|canonical_reading|category|gender|main_text_appearance	aliases|aliases_reading|parent_deity_ids|consort_deity_ids|syncretism|regional_variant|related_shrine_ids|related_myth_ids|merged_into|notes	deity|shrine|clan|myth_episode|ritual|title	大国主、スサノオ、アマテラス
N02	shrine	SHR	shrine_master.tsv	物理的に存在する祭祀施設	改称・別称・社格変遷を統合	master_id|canonical_name|canonical_reading|prefecture|address|main_deity_ids	old_names|alternative_names|coordinates|secondary_deity_ids|related_clan_ids|shrine_rank_ancient|shrine_rank_modern|founding_legend|founding_year_estimated|parent_shrine_id|notes	deity|clan|region|ritual|myth_episode|shrine	出雲大社、熊野大社、伊勢神宮
N03	clan	CLN	clan_master.tsv	氏(うじ)単位の血縁・擬制血縁集団	改姓・カバネ・分家を統合	master_id|canonical_name|canonical_reading|clan_type	aliases|ancestor_deity_id|related_shrine_ids|related_region_ids|related_emperor_ids|peak_period|notes	deity|shrine|region|emperor|event	出雲国造、藤原氏、物部氏
N04	emperor	EMP	emperor_master.tsv	天皇および皇族	系譜・治世・関連神社の集約	master_id|canonical_name|canonical_reading|reign_period|generation	aliases|parent_emperor_id|spouse_ids|related_shrine_ids|related_clan_ids|historicity_level|notes	emperor|deity|clan|event|shrine	神武天皇、崇神天皇、元正天皇
N05	myth_episode	MYTH	myth_episode_master.tsv	神話の独立した一場面・物語単位	同一エピソードを複数文献で異伝併記する基点	master_id|canonical_name|canonical_reading|mythic_time|primary_text_ids	aliases|participating_deity_ids|location_region_ids|variants|notes	deity|text|ritual|myth_episode|hypothesis	国譲り神話、ヤマタノオロチ退治、因幡白兎
N06	event	EVT	event_master.tsv	史料的に記録された(または推定される)事件・出来事	歴史事象の集約	master_id|canonical_name|estimated_historical_time|document_written_time|source_reliability	aliases|participating_clan_ids|participating_emperor_ids|location_region_ids|source_text_ids|notes	clan|emperor|region|text|shrine|event	神賀詞奏上(716)、寛文遷宮(1667)、平成大遷宮(2013)
N07	archaeological_site	SITE	site_master.tsv	物理的な遺跡(住居・墳墓・祭祀遺構)	遺跡の集約	master_id|canonical_name|prefecture|coordinates|era	aliases|discovery_year|primary_findings|related_artifact_ids|related_region_ids|cultural_context|notes	artifact|region|myth_episode|hypothesis	加茂岩倉遺跡、荒神谷遺跡、纒向遺跡
N08	artifact	ART	artifact_master.tsv	出土遺物・考古資料(個体または類型)	神話モチーフと物質遺物を結ぶ	master_id|canonical_name|type|found_at_site_id	aliases|era|material|current_location|designation|notes	archaeological_site|myth_episode|deity|hypothesis	銅鐸39口(加茂岩倉)、銅剣358本(荒神谷)、心御柱
N09	ritual	RIT	ritual_master.tsv	定期的・儀礼的に行われる祭祀	祭祀の集約	master_id|canonical_name|host_shrine_id|schedule	aliases|participating_deity_ids|origin_myth_id|historical_origin|notes	shrine|deity|myth_episode|clan	神在祭、御柱祭、青柴垣神事、火継神事
N10	region	REG	region_master.tsv	地理空間としての地域	国・郡・郷の階層構造	master_id|canonical_name|region_type|era	aliases|parent_region_id|coordinates|bounding_polygon|notes	region|shrine|site|clan|event	出雲国、意宇郡、信濃国諏訪郡
N11	text	TXT	text_master.tsv	一次史料・二次史料・社伝・先行研究などの文献単位	出典の正規化	master_id|canonical_name|document_written_time|text_type	author|era|language|existing_format|notes	全node(mentioned_in)	古事記、日本書紀、出雲国風土記、続日本紀、延喜式
N12	hypothesis	HYP	hypothesis_master.tsv	史料的事実から派生する解釈・仮説	L0〜L5レイヤーで強度区別	master_id|canonical_name|layer|proposer|source_text_ids	aliases|evidence_pro|evidence_con|status|notes	全node(supports/contradicts)	国譲り政治史仮説、ヤマタノオロチ製鉄民説、銅鐸祭祀終焉国譲り対応説
N13	title	TTL	title_master.tsv	個別の神でなく神格・分類カテゴリ	神社・神に対するメタ属性	master_id|canonical_name|title_type	aliases|era|notes	deity|shrine(has_title)	国魂神、一宮、明神大社、八百万神
