ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-089	古代以降の解釈	近代以降の解釈	-	-	ヤマタノオロチ製鉄説:オロチ=斐伊川氾濫×砂鉄文化、目が赤い=溶鉄、尾から草薙剣=精錬鉄	神話エピソード	ヤマタノオロチ神話の読解	-	スサノオ	-	-	-	-	出雲(斐伊川流域)	-	砂鉄、鍛冶遺跡(中世以降)	近代研究(谷川健一、小川光暘 ほか)	近代研究、現代研究	-	4	製鉄民征服譚説 / 河川氾濫説 / 部族対立説 / 単純怪物退治譚説	製鉄を内包する怪物、王権の鉄資源獲得	-	出雲地方の鉄資源を王権が掌握する物語	-	古代の出雲在地製鉄の確実な遺構は乏しい	民俗学・神話学の重要論点	仮説レベル4(大胆な仮説)、断定不可
IZM-090	古代以降の解釈	近代以降	-	-	草薙剣=出雲産鉄剣説:オロチの尾から出る=砂鉄から作る。後の三種神器の鉄剣的起源	神話エピソード	草薙剣縁起	熱田神宮	草薙剣	-	-	-	-	出雲・尾張	-	-	近代研究	近代研究	-	3	出雲産鉄剣説 / 銅剣説 / 後世の創作説	王権の剣、鉄の聖性	三種神器の起源	出雲鉄資源の中央化の象徴	-	-	日本武尊神話、皇位継承儀礼	古代鉄剣の遺物との対応関係は不明確
IZM-091	中世〜近世	中世〜江戸期	CE 1200-1868	鎌倉〜江戸	出雲・伯耆のたたら製鉄。鉄穴流しによる砂鉄採取と高殿たたら炉。江戸期に隆盛	政治事件	-	-	-	-	-	-	山内氏(鉄師)、絲原氏、桜井氏	出雲(奥出雲)、伯耆	菅谷たたら、卜蔵家	高殿、鉄滓、鞴	和鋼博物館資料、奥出雲町史	近世資料、現代研究	A	0	-	-	近世日本鉄産業の中核	松江藩の主要財源	鉄師(製鉄頭領)三家(田部・絲原・桜井)	菅谷たたら(国指定重要有形民俗文化財)	日本刀の砂鉄(玉鋼)供給源	「ヤマタノオロチの末裔」という地域自意識
IZM-092	中世〜現代	中世〜	-	-	奥出雲の砂鉄産地。船通山・鳥髪(ヤマタノオロチ降臨地と一致)	考古遺跡	ヤマタノオロチ神話	-	-	-	-	-	-	出雲(奥出雲町)	-	砂鉄	地学・地質学研究	現代研究	A	1	砂鉄産地と神話降臨地の一致は偶然 / 神話が地理的事実を反映の説	砂鉄の聖地化	-	-	-	花崗岩風化由来の磁鉄鉱(高品質砂鉄)	地理学・神話学のクロスポイント	IZM-019(スサノオ降臨地=鳥髪)と接続
IZM-093	近世	江戸期	CE 1603-1867	江戸期	鉄穴流し:山を崩し砂鉄を比重選鉱。大規模な地形改変を伴う	政治事件	-	-	-	-	-	-	山内氏(鉄師)	出雲(奥出雲)	-	-	近世史料	近世資料	A	0	-	-	砂鉄採取の産業化	藩経済の根幹	-	出雲・伯耆の地形改変痕跡	日本刀供給、近代製鉄業の基盤	環境改変規模は江戸期最大級
IZM-094	古代	古代(史料記述上)	-	-	古代出雲の在地製鉄の確実証拠の不在問題:神話には鉄が頻出するが古墳・遺跡からの製鉄炉跡は乏しい	考古遺跡	ヤマタノオロチ製鉄説への反論	-	-	-	-	-	-	出雲	-	-	大澤正己ほか考古学研究	考古学、現代研究	A	2	古代製鉄実在説 / 全て輸入鉄説 / 神話は中世以降の製鉄記憶を遡及投影説	-	-	製鉄記憶の歴史性に重大問題	-	古代出雲の確実な製鉄炉は未発見	近代神話学のヤマタノオロチ=製鉄説への重要反証	「神話=古代製鉄記憶」説の再考が必要
IZM-095	弥生	弥生中期〜後期	BCE 200-CE 250	-	銅鐸の用途論争:聞く楽器(共同体祭器)、農耕予祝、太鼓的呪具、武器転用 等	祭祀	-	-	-	-	-	-	-	出雲・近畿・東海	加茂岩倉、荒神谷、近畿諸遺跡	銅鐸	佐原真、春成秀爾、難波洋三 ほか	考古学、現代研究	A	1	農耕祭器説(主流) / 武器発祥説 / 楽器転用説	共同体の祭器、農耕予祝	弥生村落祭祀の核	-	-	全国出土500口以上	弥生宗教史の主軸論点	出雲は銅鐸出土の最多地域(加茂岩倉39 + 荒神谷6)
IZM-096	弥生	弥生後期(BCE 1〜CE 2世紀)	BCE 100-CE 200	-	銅鐸が小型「聞く銅鐸」から大型「見る銅鐸」へ転換。共同体祭祀から首長祭祀へ	祭祀	-	-	-	-	-	-	-	近畿・東海・出雲	-	見る銅鐸(高さ1m級)	佐原真ほか	考古学、現代研究	A	1	祭祀発展史的解釈 / 単なる装飾化説	祭祀の階層化、首長権威化	-	弥生後期の社会階層化の物質的反映	-	近畿出土の大型銅鐸群	-	「聞く銅鐸」「見る銅鐸」分類は佐原真による
IZM-097	弥生	弥生中期〜後期	BCE 200-CE 250	-	銅鐸の鋳造地は近畿(東奈良遺跡 等)。出雲は消費・埋納地	考古遺跡	-	-	-	-	-	-	-	近畿(東奈良)、出雲	東奈良遺跡(茨木市)、加茂岩倉	銅鐸鋳型、銅鐸	難波洋三ほか	考古学、現代研究	A	1	近畿一極生産説 / 複数地生産説	-	近畿祭祀文化圏の出雲への展開	近畿—出雲の祭祀ネットワーク	-	近畿銅鐸鋳型の出土	-	加茂岩倉の銅鐸39口は近畿系様式
IZM-098	弥生	弥生終末期(CE 2〜3世紀)	CE 100-300	-	銅鐸の集中埋納:廃棄説 / 一斉破却説 / 隠匿後再使用予定説 / 祭祀転換説 / 国譲り神話対応説	祭祀	国譲り神話(対応可能性)	-	-	-	-	-	-	出雲・近畿・東海	加茂岩倉、荒神谷	銅鐸	佐原真、春成秀爾、岡田精司	考古学、現代研究	A	2	5説併存	祭祀権譲渡のメタファー	共同体祭祀から首長祭祀(古墳)への転換	ヤマト王権による祭祀統制説	-	全国の銅鐸埋納地点	近代神話学・考古学の主要論点	IZM-009(銅鐸祭祀終焉)を深掘り
IZM-099	弥生末〜古墳	CE 2〜4世紀	CE 100-400	-	弥生→古墳の祭祀転換:銅鐸消滅と前方後円墳出現が同時期	祭祀	-	-	-	-	-	-	-	全国	-	銅鐸、前方後円墳	近藤義郎、寺沢薫 ほか	考古学、現代研究	A	2	祭祀転換説 / 政治統合説 / 両者並行説	共同体祭祀の終焉、首長祭祀の確立	-	ヤマト王権の祭祀的統合	-	銅鐸最終期と最古前方後円墳の年代	古代日本の祭祀史最重要画期	国譲り神話の歴史的読解の核
IZM-100	弥生	弥生中期〜後期	BCE 200-CE 250	-	出雲の青銅器集中(加茂岩倉39 + 荒神谷6 + 銅剣358 + 銅矛16):単一首長層の祭祀権か、複数文化圏の交点か	祭祀	-	-	-	-	-	出雲首長層	-	出雲	加茂岩倉、荒神谷	銅鐸、銅剣、銅矛	-	考古学、現代研究	A	2	出雲統合説 / 多文化圏交点説 / 中継拠点説	-	弥生最大級の祭祀拠点	出雲が独自的祭祀政治圏	-	2遺跡の集中性(直線距離3.4km)	-	出雲の弥生時代における特殊性の証左
IZM-101	近世〜現代	江戸期〜	CE 1700-	江戸期〜現代	出雲鉄文化の歌枕化:「ヤマタノオロチの郷」「鉄の郷」としての地域自意識形成	祭祀	ヤマタノオロチ神話	-	スサノオ	-	-	-	山内氏 等	出雲(奥出雲)	菅谷たたら	たたら関連遺構	郷土史料、たたら学会研究	近世資料、現代研究	A	1	-	地域文化の神話的自己定義	-	-	-	-	地域観光・文化政策の核	IZM-091と接続、現代の「日刀保たたら」復元事業
