ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-102	奈良	和銅6年(713)詔	CE 713	和銅6年	元明天皇により諸国風土記撰進の詔。各国に地誌・産物・地名由来・古老伝承の編纂を命じる	政治事件	-	-	-	元明天皇	元明天皇	-	-	全国	-	-	続日本紀	正史	A	0	-	-	国家による地方支配の情報集約	律令国家による地誌編纂事業	-	-	地誌・地名研究の起点	713年詔から各国編纂、出雲は20年後完成
IZM-103	奈良	天平5年(733)成立	CE 733	天平5年	出雲国風土記が成立。現存風土記5本(常陸・出雲・播磨・豊後・肥前)中、唯一ほぼ完本	政治事件	-	-	-	-	-	出雲国造	出雲臣	出雲	-	-	出雲国風土記	風土記	A	0	-	-	地方文化の文字資料化	地方知識の体系化	-	-	古代地方史研究の最重要史料	完本ゆえに記紀との比較が可能
IZM-104	奈良	天平5年(733)	CE 733	天平5年	編者は神宅臣金太理(秋鹿郡人)、国造出雲臣広島が監修	政治事件	-	-	-	神宅臣金太理、出雲臣広島	-	出雲国造	出雲臣、神宅臣	出雲	-	-	出雲国風土記跋文	風土記	A	0	-	-	国造による地方文化の体系化	出雲国造主導の編纂	-	-	出雲国造文化の集大成	出雲国造主導は地方風土記中でも特筆
IZM-105	神代	神話時代を描く	不明	-	国引き神話:八束水臣津野命が新羅・北門・高志から土地を綱で引き寄せ出雲国を造る	神話エピソード	国引き神話	-	八束水臣津野命	-	-	-	-	出雲・新羅・隠岐(北門)・高志	-	-	出雲国風土記(意宇郡)	風土記	C	0	記紀には欠如する出雲独自神話	国土創成、地縛神話、海上ネットワーク	出雲創成の神話的根拠	出雲が新羅・北方・高志と結ぶ広域ネットワーク	-	-	出雲独自神話の最重要例	「八雲立つ」枕詞・「島根」地名の由来説明
IZM-106	奈良	天平5年(733)	CE 733	天平5年	意宇郡(現・松江市東部〜安来市):熊野大社、揖夜神社、出雲国造本拠	政治事件	国引き神話	熊野大社、揖夜神社、神魂神社、八重垣神社	熊野加武呂命(スサノオ)、伊弉冉	-	-	出雲国造	出雲臣	出雲(意宇郡)	-	-	出雲国風土記	風土記	A	0	-	出雲祭祀の本源	-	出雲国造の本拠地	-	山代古墳群、岡田山古墳	「意宇」=出雲祭祀の核	国造神社=熊野大社の認識
IZM-107	奈良	天平5年(733)	CE 733	天平5年	嶋根郡:佐太大神、加賀の潜戸の神話、佐太神社	政治事件	加賀の潜戸神話	佐太神社	佐太大神(キサカヒメの子)	キサカヒメ(母)	-	-	-	出雲(嶋根郡、現松江市北部・島根半島東部)	加賀の潜戸	-	出雲国風土記	風土記	C	0	佐太大神=猿田彦同神視 / 別神	岩戸生まれ、母の名と「金弓」	佐太神社祭祀の起源	-	キサカヒメ=産霊系	-	加賀の潜戸の聖地化	「金弓」放出による洞窟生成神話
IZM-108	奈良	天平5年(733)	CE 733	天平5年	秋鹿郡:神宅臣(風土記編者)の本拠	政治事件	-	-	-	-	-	-	神宅臣	出雲(秋鹿郡、現松江市西部)	-	-	出雲国風土記	風土記	A	0	-	-	-	編者本拠地	神宅臣の祖	-	-	編者の郷土
IZM-109	奈良	天平5年(733)	CE 733	天平5年	楯縫郡:神門臣古禰の伝承、楯縫神戸の由来	政治事件	-	-	-	神門臣古禰	-	神門臣	神門臣	出雲(楯縫郡、現出雲市東部)	-	-	出雲国風土記	風土記	B	0	-	-	-	出雲西部首長層の本拠	神門臣=神門郡の名祖か	-	-	「楯」を作る神事の伝承
IZM-110	奈良	天平5年(733)	CE 733	天平5年	出雲郡:杵築大社、出雲大神(=大国主)、出雲御埼	政治事件	国譲り神話	出雲大社(杵築大社)、日御碕神社	大国主	-	-	出雲国造	出雲臣	出雲(出雲郡、現出雲市)	-	-	出雲国風土記	風土記	A	0	-	出雲祭祀の中心	出雲祭祀の権威化	出雲国造が祭祀権を保持	-	-	「杵築」が古名	出雲大社の杵築の称が確認できる古代史料
IZM-111	奈良	天平5年(733)	CE 733	天平5年	神門郡:神門臣の本拠、須佐郷(スサノオ命名地)	政治事件	スサノオ国土巡行	須佐神社	スサノオ	-	-	神門臣	神門臣	出雲(神門郡、現出雲市西部)	-	-	出雲国風土記	風土記	B	0	-	-	出雲西部祭祀拠点	出雲西部の有力首長	神門臣=出雲西部の在来豪族	-	-	「須佐」=スサノオ自身が命名と風土記に明記
