deity_jp	canonical_buddha	relation_period	primary_shrine	notes
天照大神	大日如来	平安〜中世(両部神道)	伊勢神宮	女神=大日如来の対応は両部神道の中心
天照大神	阿弥陀如来	中世一部	-	浄土系の解釈
八幡神	阿弥陀如来	平安期	宇佐神宮|石清水八幡宮	八幡大菩薩号
熊野家都美御子大神	阿弥陀如来	平安期〜	熊野本宮大社	熊野権現の三所権現の主
熊野速玉大神	薬師如来	平安期〜	熊野速玉大社	新宮の本地
熊野夫須美大神	千手観音	平安期〜	熊野那智大社	那智の本地
大山咋神(山王)	釈迦如来	平安期(山王神道)	日吉大社	延暦寺の山王神道
蔵王権現	釈迦如来|観音|弥勒	平安期(役小角感得)	金峯山寺	三仏が一体、修験の主要本地
木花咲耶姫(浅間)	大日如来	平安〜中世	富士山本宮浅間大社	浅間大菩薩
ククリヒメ(白山)	十一面観音	平安期(泰澄感得)	白山比咩神社	白山妙理大菩薩
タケミカヅチ(春日)	不空羂索観音	平安期	春日大社	春日権現
イチキシマヒメ(宗像)	弁才天	中世	厳島神社|竹生島|江島	日本三大弁才天
スサノオ	牛頭天王	平安末以降	八坂神社	牛頭天王の本地は薬師如来
大国主	大黒天	中世	出雲大社	大黒天との習合
コトシロヌシ	恵比寿	中世以降	美保神社|西宮神社	漁業神
猿田彦	庚申	中世以降	-	庚申信仰との習合
道祖神	地蔵菩薩	中世以降	-	道祖神=塞神の仏教化
カグツチ	愛宕権現	中世以降	愛宕神社	火の神=愛宕権現
カグツチ	秋葉権現	近世	秋葉山本宮秋葉神社	火防の神
吉備津彦	吉備津大明神	中世以降	吉備津神社	温羅退治神格化
菅原道真	天神(雷神=梵天)	平安末以降	太宰府|北野	御霊信仰の代表
平将門	将門大明神	平安末以降	神田明神|築土神社	御霊信仰
天手力雄命	戸隠権現	平安期	戸隠神社	岩戸神格
役小角	神変大菩薩	江戸期(贈号)	-	修験道祖
立山(伊邪那岐)	阿弥陀如来	平安期(佐伯有頼感得)	雄山神社	立山地獄信仰
鳥海山(大物忌)	-	-	鳥海山大物忌神社	山岳神(本地未定説あり)
阿蘇都比古	-	-	阿蘇神社	阿蘇山岳神(本地未定)
出羽月山	阿弥陀如来	平安期(蜂子皇子感得)	月山神社	死後世界
出羽羽黒	観音	平安期	出羽神社	現世
出羽湯殿山	大日如来	弘法大師感得伝	湯殿山神社	未来
彦山(天忍骨命)	阿弥陀如来	平安期	英彦山神宮	九州修験
御嶽(国常立)	-	-	御嶽神社	近世御嶽講、本地は明確化されず
丹生都比売	-	-	丹生都比売神社	高野山との関係(空海)
