shrine_id	extended_summary	history	rituals_culture	primary_sources	external_links
SHR-001	【概要】出雲大社(いずもおおやしろ、近代まで「いずもたいしゃ」とも)、島根県出雲市大社町杵築東に鎮座する出雲国一宮、全国の出雲大社教の総本山。主祭神は大国主大神(大物主・大穴牟遅・所造天下大神等の異名を持つ)。国譲り神話で大国主が高天原に葦原中国を譲る代償として築かれたとされる(『古事記』神代下、『日本書紀』神代下 第九段一書)。【高層神殿伝承】古代には48m級(本殿32丈=約97m説もあり)の高層神殿が存在した可能性(L2)、平安期『口遊』(970年)に「雲太・和二・京三」(雲=出雲、和=大和・東大寺大仏殿、京=平安京・大極殿の順、出雲が最大)と謳われた。2000年に境内発掘で「金輪柱(かなわのみはしら)」=三本巨木を束ねた直径3m級の柱跡が発見(IZM-119/125)、神話的伝承の物質的裏付けとされる。【祭祀】出雲国造家(千家・北島の両家、現千家尊祐は84代目)が古来祭祀継承。本殿は寛文7(1667)年再建で国宝、現高24m、大社造(神社建築の原始形態の一)。【神在月】旧暦10月は全国で「神無月」だが出雲のみ「神在月」、全国の八百万神が出雲に集い縁結び等の議論をする習俗が中世以降定着(『塵添壒嚢鈔』他)。	【創建伝承】崇神朝or垂仁朝の創建伝承を持つ古社。神代の国譲りで大国主が「皇孫の宮を造ってくれれば隠れる」と承諾、それを履行したのが起源とされる(社伝・記紀)。【中世まで】奈良〜平安期に既に大社として朝廷崇敬。鎌倉〜室町期、大社造の社殿が複数回火災で焼失、その度に巨大化縮小を繰り返した可能性。【近世改称】江戸期は「杵築大社(きづきおおやしろ)」と呼称、明治4(1871)年に「出雲大社」と改称。【明治以降】神道大教制度下で千家尊福が出雲大社教を創始、出雲国造家が天皇家以外で最古級の世襲祭祀家として継承。1953年、皇室と出雲国造家の系譜的結合が再確認(高円宮典子内親王と千家国麿の婚姻、2014)。本殿は60年周期の式年遷宮(平成大遷宮=平成20-25年実施)。	【二礼四拍手一礼】参拝作法は全国の通常社(二礼二拍手一礼)と異なり「二礼四拍手一礼」、出雲大社・宇佐神宮で残る古層作法(伊勢神宮も四拍手を用いる神事あり)。【神在祭】旧暦10月10日に稲佐の浜で全国の神々を迎える「神迎祭」、11日〜17日の「神在祭」(神議の期間)、17日「神等去出祭(からさでさい)」で神々を送り出す古祭祀。【大祭礼】5月14-16日、勅使派遣の宮中三大勅祭の一。【神楽・神事】例大祭・古伝新嘗祭(11/22-25)・出雲神楽。	古事記(神代下 国譲り段)|日本書紀(神代下 第九段本文・一書)|出雲国造神賀詞|出雲国風土記|延喜式神名帳|口遊(970年)|金輪造営図	出雲大社公式 https://izumooyashiro.or.jp/ / 出雲国造神賀詞(国学院デジタル史料館)https://k-amc.kokugakuin.ac.jp/ / 出雲国風土記 https://k-amc.kokugakuin.ac.jp/
SHR-002	【概要】皇大神宮(こうたいじんぐう、伊勢神宮内宮=ないくう)、三重県伊勢市宇治館町、五十鈴川上に鎮座。天照大神を祀る皇祖神社、全国神社の本宗(神社本庁の上位独立機関「神宮」)。伊勢神宮は内宮・外宮の二所大神宮を中心に、別宮14社・摂社43社・末社24社・所管社42社の計125社で構成される広大な祭祀組織。神宮の建築様式は「神明造(しんめいづくり)」と呼ばれる最古層の社殿形式(伊勢以外で原型を保つのは数社のみ)。【三種の神器】神宮の御神体は天孫降臨で邇邇芸命が授かった八咫鏡で、宮中賢所の御神鏡(御代の神器の一)と対応する八咫鏡が祀られる。神器は奉斎者以外見ることが禁忌、最高度の機密性で保持。【元伊勢伝承】崇神朝に天照大神が皇居から離れ宮中以外で祀られるようになり(『日本書紀』崇神6年=BC92伝承、L4-L5)、垂仁朝に倭姫命が御杖代として大和→伊賀→近江→美濃→伊勢を巡回(全国20数社の元伊勢候補地)、五十鈴川上に鎮座(『倭姫命世記』)。【宇治橋】参拝はまず外宮、次に内宮の「外宮先祭」が伝統。内宮入口の宇治橋は擬宝珠と内宮側鳥居・宇治橋鳥居で結界化された俗界からの境界。	【鎮座年代】持統4(690)年第1回式年遷宮(社殿造替記録の起点、伝統では第1回は天武朝)。これ以降20年周期で社殿・調度・神宝を完全に新調する世界類例なき祭祀システム。【中世】伊勢神道(度会神道)成立 — 鎌倉期に外宮神官の度会行忠・常昌が『神道五部書』を編纂し、豊受大神=天御中主神同体説の最高神格論を展開、これが後の吉田神道・本居宣長の伊勢神宮研究に多大な影響を与える。【遷宮継続】戦国期も継続したが、応仁の乱以後 1463-1585 の約120年は中断、織田信長・豊臣秀吉・徳川家の支援で再開。第62回(令和5年=2013)、第63回は令和25(2033)年予定。【近代】明治2(1869)年、明治天皇親祭、国家祭祀の最高位に位置づけ。戦後は神社本庁の上位独立機関として継承。	【三節祭】神嘗祭(かんなめさい、10/15-17、その年の新穀を天照に奉る)、月次祭(つきなみさい、6/15-25・12/15-25)、新嘗祭(11/23-29)が中核。神嘗祭は「神宮の正月」と呼ばれる最重要祭。【式年遷宮】20年周期で東西両御敷地を交互に使い、社殿・神宝(714種1576点)・橋まで完全新調、宮大工技術と工芸技術の継承システム。【神饌】毎日朝夕の御饌祭で天照に食事を奉る「日別朝夕大御饌祭」(外宮)、内宮はその後遥拝。	古事記(神代上 岩戸隠れ・天孫降臨)|日本書紀(神代上 第六〜九段・垂仁紀)|延喜式神名帳|皇大神宮儀式帳(延暦23年=804)|倭姫命世記|神道五部書(伊勢神道)|大神宮諸雑事記	伊勢神宮公式 https://www.isejingu.or.jp/ / 皇大神宮儀式帳 https://dl.ndl.go.jp/pid/991103 / 倭姫命世記 https://dl.ndl.go.jp/pid/991096
SHR-003	【概要】豊受大神宮(とようけだいじんぐう、伊勢神宮外宮=げくう)、三重県伊勢市豊川町に鎮座。豊受大神を祀る神宮二所大神宮の一、内宮(皇大神宮)と並ぶ伊勢神宮の中軸。豊受大神は天照大神の食事を司る御饌都神(みけつかみ)で、穀物・食物・養蚕の神。【勧請伝承】雄略22(478頃)年、天照大神が「一所にいるのは食事に不便」との託宣を出し、丹波国(現京都府北部)の比治真名井から豊受大神を伊勢山田原に勧請したと伝わる(『止由気宮儀式帳』、神宮独自の伝承記録)。【外宮先祭】参拝順序は外宮→内宮の「外宮先祭」、日別朝夕大御饌祭(外宮で毎日2回の神饌奉献)が伊勢祭祀の根幹。【度会神道】鎌倉時代に外宮神官の度会(わたらい)氏が「豊受大神=天御中主神=最高神格」とする独自神学を体系化、後世の神道思想史に多大な影響を残す。	【創建】雄略朝の創建伝承(L1)。【中世】鎌倉期に度会行忠・常昌・家行・常昌が『神道五部書』(造伊勢二所太神宮宝基本紀・伊勢二所皇太神宮御鎮座伝記・天照坐伊勢二所皇太神宮御鎮座次第記・豊受皇太神御鎮座本紀・倭姫命世記)を編纂、伊勢神道(度会神道)を確立。室町期に吉田兼倶の吉田神道(唯一神道)が形成され、神道思想の二大流派対立を生む。【近代】明治の祭政一致政策で内外宮一体運営、神宮全125社の祭祀組織として整備。【式年遷宮】内宮と同時、20年周期で完全新調。	【日別朝夕大御饌祭】毎日朝(午前8時頃)夕(午後4時頃)に外宮御饌殿で豊受大神に神饌を奉る神宮最重要日常祭祀、雄略朝以来1500年以上継続。【神嘗祭】10/15(外宮)・16(内宮)・17(両宮)で新穀奉献。【三節祭】神嘗・月次(6月・12月)・新嘗。	止由気宮儀式帳|延喜式神名帳|神道五部書(度会神道)|延暦儀式帳|二所太神宮例文	伊勢神宮 https://www.isejingu.or.jp/about/geku/
SHR-004	【概要】熊野大社(島根県松江市八雲町熊野)、出雲国一宮、意宇郡(おうぐん)の古層祭祀拠点。祭神は「熊野加武呂命(くまののかむろのみこと)」=スサノオの別名(社伝、L2)とされる。古代出雲国造家(現・千家氏/北島氏)はここで「火継神事(古伝新嘗祭・鑽火祭)」を行い、出雲大社よりも古い祭祀格を主張、本殿は意宇平野を見下ろす丘陵に鎮座する独立性の高い古社。【出雲二大社の関係】中世以降、出雲大社(杵築)が出雲の宗教的中心として隆盛するが、出雲国造職継承の根本儀礼=火継神事は近代まで熊野大社で行われ、出雲祭祀の権威源泉として継承。	【古代】出雲国造の本拠は意宇郡(松江盆地南部)で熊野大社を祭祀拠点とした古代国造制度の現場。崇神朝の出雲振根追討伝承(『日本書紀』崇神紀)以前から鎮座。【中世】出雲大社(杵築)の隆盛で勢力は中央から地方化、但し出雲国造火継神事は熊野で実施し続ける(意宇郡から杵築郡へ国造本拠移転後も儀礼地は維持)。【近代】明治の神道国家化で出雲大社・熊野大社両社の機能再編、火継神事は現代も伝承継承。【現代】例祭は10月15日、鑽火祭は10月15日の例祭中で執行。	【鑽火祭(さんかさい)】10/15、ヒノキの板に山桑の杵を擦り合わせて起こす古代発火法で神聖な火を起こす出雲祭祀の根本儀礼。出雲国造の代替わりに行う「火継神事」の中核。【御櫛祭】例祭中の神事、出雲国造家の代替わり時の儀礼の縮小版を毎年実施。【新嘗祭】神在月の出雲大社神在祭と並ぶ古層祭祀。	出雲国風土記|延喜式神名帳|出雲国造神賀詞|出雲国造系図|意宇郡風土記	熊野大社公式 https://www.kumanotaisha.or.jp/
SHR-005	【概要】熊野本宮大社、和歌山県田辺市本宮町本宮、紀伊半島南部の熊野信仰の中心。家都美御子大神(けつみみこのおおかみ、DEI-194)=スサノオ同体説の神を祀る、熊野三山(本宮・速玉・那智)の本宮。中世以降の「蟻の熊野詣」の最終目的地で、上皇・院政期の熊野御幸の終点。本地仏は阿弥陀如来。【大斎原】明治22(1889)年8月の熊野川大洪水で社殿流失するまで、本宮は熊野川の中州「大斎原(おおゆのはら)」に鎮座、現在は流失後の高台(熊野古道沿い)に遷座、旧鎮座地には日本一の大鳥居(33.9m、平成12年建立)が立つ。【熊野三山】本宮・速玉・那智の三社で熊野信仰圏を形成、互いの祭神を主神に他二神を相殿に祀る「熊野三所権現」体系。【世界遺産】2004年「紀伊山地の霊場と参詣道」としてユネスコ世界遺産登録。	【創建】崇神朝勧請伝承(L3、社伝)。【平安院政期】白河上皇(治承元年=1090初の御幸、生涯9回)・鳥羽上皇(21回)・後白河上皇(34回)・後鳥羽上皇(28回)らが頻繁に熊野参詣、王法仏法の融合の精神的中心となる。本地仏は阿弥陀如来で、本宮詣は浄土往生信仰と直結。【中世】「蟻の熊野詣」と称される庶民参詣ブーム、参道(熊野古道)に九十九王子の祭祀点が成立。【明治以降】神仏分離で本地垂迹は公式廃止、明治22年大洪水で大斎原から現地に遷座。【世界遺産】2004年世界遺産登録。	【例大祭】4/15、本宮祭の中核。【八咫烏神事】1/7、神武東征で道案内した八咫烏(熊野の神使)を祀る神事、八咫烏は熊野神社の神紋。【湯登神事】3月、湯峯温泉から本宮へ続く修験道古層神事。【宮渡神事】6月、本宮〜大斎原間の神事。【神紋】八咫烏は2002年FIFAワールドカップ以降サッカー日本代表エンブレム。	熊野権現御垂迹縁起|長寛勘文|諸山縁起|平家物語|玉葉|中世神道五部書|延喜式神名帳	熊野本宮大社 http://www.hongutaisha.jp/ / 紀伊山地の霊場と参詣道(世界遺産)https://www.tb-kumano.jp/
SHR-006	【概要】諏訪大社、長野県諏訪湖を囲む四宮制(上社本宮=諏訪市中洲、上社前宮=茅野市宮川、下社春宮=下諏訪町春宮、下社秋宮=下諏訪町秋宮)で、上社主祭神=建御名方神(タケミナカタ)・下社主祭神=八坂刀売神(ヤサカトメ)。【国譲り神話】古事記国譲り段で唯一抗戦した建御名方が、高天原の使者・タケミカヅチに敗れ諏訪湖まで追われ「ここから出ない」と誓って降伏した終着地、それが諏訪大社の起源(『古事記』神代下、ただし『日本書紀』本文には登場せず一書のみ)。【縄文連続性】諏訪は黒曜石産地で旧石器〜縄文の交易拠点、上社神長官守矢氏(現78代目守矢早苗氏)が縄文以来の在地神=洩矢神の祭祀権を継承する説あり(L3、藤森栄一・古部族研究会)。御頭祭(かつての鹿頭75頭奉納神事)はアニミズム的・狩猟民的祭祀の遺存形態。【大祝制度】中世まで上社で「諏訪大祝(おおほうり)」が現人神(神そのもの)として君臨する独自神政制度、明治祭政分離まで継承。【御柱祭】7年に一度(寅・申年)の式年祭、樹齢150-200年の樅の大木16本を山から伐り出し急斜面を曳き下ろす「木落とし」が圧巻、天下の奇祭。	【創建】神代と称される(『古事記』国譲り段)。【中世】諏訪大祝制度の最盛期、武勇神として源頼朝・武田信玄等武家の崇敬を集めた、特に武田信玄は「諏訪大明神」を信仰し諏訪法性兜を象徴とした。【近世】諏訪藩(高島藩)の崇敬篤く、御柱祭が藩主導で大規模化。【明治】祭政分離で大祝制度廃止、純粋神社化。【現代】御柱祭は2010・2016・2022年実施、観光面でも全国的注目。	【御柱祭】寅・申年(2010, 2016, 2022, 2028…)、4-5月にわたる大祭、上社・下社で各8本ずつ計16本の御柱を山から曳き出し各宮の四隅に建てる。【御頭祭(おんとうさい)】4/15、上社前宮で執行、鹿頭75頭奉納が原型(現在は剥製で代用)、縄文・狩猟民的古層祭祀。【御作田祭】6月、稲作祈願。【御舟祭】下社、神霊を載せた船型山車。	古事記(神代下 国譲り段)|日本書紀(神代下 第九段一書)|諏訪大明神画詞|諏方上社年内神事次第旧記|守矢家文書	諏訪大社 https://suwataisha.or.jp/ / 神長官守矢史料館 https://www.city.chino.lg.jp/site/moriya/
SHR-007	【概要】鹿島神宮、茨城県鹿嶋市宮中、常陸国一宮で東国の中軸社。主祭神は武甕槌大神(タケミカヅチ、DEI-011)=国譲り神話の主役神・剣神。古来から「神宮」号を持つ最古級の社(伊勢・香取と並ぶ、平安期は神宮号社は3社のみ)。藤原氏が氏神として春日大社に勧請(神護景雲2=768)、神鹿に乗って奈良へ遷ったとされる「春日神鹿伝承」、奈良公園の鹿は鹿島神鹿の子孫とされる。【要石】境内に「要石(かなめいし)」と呼ばれる露頭石、地下深くまで続く石とされ、地震を起こす大鯰(なまず)の頭を押さえている — 江戸期、特に安政2(1855)年江戸大地震後に「鯰絵」が大流行、地震除け神格として庶民信仰広まる。香取神宮(下総)とは「鹿島=尾、香取=頭」を押さえる対関係。【国譲り】記紀双方の国譲り神話で武甕槌が主役級として登場、東国経略の精神拠点。	【創建】神武天皇即位元年伝承(『鹿島社縁起』、L3)。【藤原氏化】神護景雲2(768)年春日大社への勧請、藤原氏氏神化が中央政界での地位を確立。【中世】源頼朝・源義家・北条義時・足利尊氏・武田信玄等の武家崇敬、東国経略の精神拠点として軍事祈願の中心。【近世】徳川家光が現本殿造営(元和5=1619)、徳川家の崇敬篤く、水戸藩の主祭神社。【近代】明治の神宮制度で全国の格付け頂点に位置、近代も国家祭祀の中軸。【現代】奈良の鹿(春日鹿)の起源神社、年間参拝者100万人超。	【御船祭(みふねさい)】12年に一度(午年=2014, 2026…)、9月に120隻余の船団で神霊を北浦に移して祭祀、関東最大級の水上祭。【祭頭祭(さいとうさい)】3/9、五穀豊穣・武運長久を祈る勅祭、彩り華やかな祭頭囃で奉幣。【白馬祭】1/7、神馬を奉る古祭。【鹿島踊・鹿島立】民俗習慣の「鹿島踊」(関東〜東北の祭礼舞踊)・「鹿島立(かしまだち)」(東国の旅立ち儀礼)の語源は鹿島神宮。	古事記(神代上 神生み・神代下 国譲り段)|日本書紀(神代下 第九段)|常陸国風土記|鹿島神宮文書|春日大社縁起|延喜式神名帳	鹿島神宮 https://kashimajingu.jp/
SHR-008	【概要】香取神宮、千葉県香取市香取、下総国一宮で鹿島と対をなす東国武神社。主祭神は経津主大神(フツヌシ、DEI-012)=国譲り神話の主役神(日本書紀本文)・剣神。古来から「神宮」号を持つ三社(伊勢・鹿島・香取)の一。物部氏の総氏神とも(社伝、L2)、武器庫・軍事祭祀の側面を持つ。【鹿島との関係】鹿島が常陸国一宮で「東の武神」、香取が下総国一宮で「東の武神」、両宮は利根川を挟んで近接(直線距離約12km)、藤原氏は鹿島・香取・春日・枚岡を四神とした。【祭神異同】『古事記』国譲り段では建御雷(鹿島の祭神)が主役、『日本書紀』本文では経津主が主役で建御雷は副次的、両神は同体の異名とする説もあり(L2)。物部氏の地位の盛衰が書紀編纂期に反映された可能性。	【創建】神武天皇即位18年伝承(社伝、L3)。古代軍事氏族物部氏の祭祀拠点として古層から存在。【奈良〜平安】鹿島と並ぶ古代神宮号社、藤原氏は氏神四神に組み入れ。【中世】源頼朝・源義家らの崇敬、東国経略の精神拠点。【近世】徳川幕府の崇敬篤く、現本殿は元禄13(1700)年5代将軍綱吉の造営、極彩色の権現造で国重文。【近代】明治神宮制度で全国格付け上位。【現代】鹿島・息栖神社と合わせて「東国三社」、伊勢神宮参拝に次ぐ格式と称される。	【神幸祭(じんこうさい)】4/14、御神霊が陸路で利根川河畔まで巡幸、対岸の鹿島神宮御船祭と関連する古代軍事祭祀の遺存。【御田植祭】6月、稲作祈願の宮中三大御田植の一。【団碁祭】11/30、武芸奉納。【式年神幸祭】12年に一度(午年4月)、特に大規模に挙行、艀(はしけ)船で利根川を渡る。	古事記(神代下 国譲り段)|日本書紀(神代下 第九段本文)|香取大神宮造営記|香取神宮文書|延喜式神名帳|常陸国風土記	香取神宮 https://katori-jingu.or.jp/
SHR-009	【概要】宗像大社、福岡県宗像市、玄界灘に浮かぶ三宮制 — 辺津宮(へつみや、田島=本土)・中津宮(なかつみや、大島)・沖津宮(おきつみや、沖ノ島、本土から約60km沖)。主祭神は宗像三女神(田心姫=沖津宮、湍津姫=中津宮、市杵島姫=辺津宮)で、古来から大陸交通の海上守護神として朝廷の崇敬厚し。【沖ノ島】沖ノ島(周囲4km、無人島)は4-9世紀の祭祀遺物8万点(国宝)を残す古代祭祀の宝庫、「海の正倉院」と称される。三角縁神獣鏡・金製指輪・カットグラス碗等、大陸・朝鮮半島由来の貴重遺物多数。【女人禁制・上陸制限】沖ノ島は古来女人禁制、現代も男性のみ年1回(5/27の現地大祭)のみ参拝可、それ以外は上陸禁止。【世界遺産】2017年「神宿る島宗像・沖ノ島と関連遺産群」としてユネスコ世界遺産登録。【宗像氏】古代海人族・宗像氏(現宗像大社宮司家)が代々祭祀継承、応神朝の宗像君徳善の娘・尼子娘が藤原武智麻呂等の母となり皇室外戚化。	【古代】4世紀後半、沖ノ島祭祀開始(磐座祭祀)。形式は4-5世紀=岩上祭祀(I期、磐座上に奉献)、5世紀後半-7世紀=半岩陰祭祀(II期)、7-8世紀=岩陰祭祀(III期)、8-9世紀=半露天祭祀(IV期)、9世紀末=露天祭祀(V期、消滅)と変遷、神社建築への移行過程を考古学的に確認。【中世】辺津宮を中心に大社化、宗像氏が筑前国宗像郡司・宗像神主として中世を通じて社家継承。【近世以降】宗像氏は戦国期に大友氏との対立で衰退、近世は社家継承のみ。【現代】2017年世界遺産登録、辺津宮には「神宝館」で沖ノ島出土の国宝多数を展示。	【みあれ祭】10/1、辺津宮の例大祭、海上神幸で大島・沖ノ島の御神霊を辺津宮に集める三宮一体祭祀、玄界灘を渡る船団祭礼が壮観。【高宮神奈備祭】辺津宮の高宮(神奈備、磐座祭祀地)で執行される古層祭祀。【沖津宮現地大祭】5/27、沖ノ島で年1回挙行、男性のみ参拝可。	古事記(神代上 誓約段)|日本書紀(神代上 第六段)|宗像大社縁起|延喜式神名帳|新撰姓氏録|筑前国風土記	宗像大社 https://munakata-taisha.or.jp/ / 沖ノ島祭祀遺跡(世界遺産)https://www.okinoshima-heritage.jp/
SHR-010	【概要】大神神社(おおみわじんじゃ)、奈良県桜井市三輪、大和国一宮、日本最古層の神社形態。本殿を持たず三輪山(467m、円錐形山容)自体を神体山とする、神社建築以前の磐座・神奈備(かんなび)祭祀の原型を残す稀有な存在。主祭神は大物主大神(DEI-014)で、出雲の大国主と同体視される説あり(L1、『日本書紀』第八段一書「大物主神は則ち大国主神の幸魂奇魂なり」)。【三ツ鳥居】本殿の代わりに三輪山と拝殿の間に立つ「三ツ鳥居」(中央大鳥居の左右に小鳥居を組み合わせた特殊形式)が結界。【崇神朝祟り】疫病大流行(『日本書紀』崇神7年)で大物主の祟りと判明、神の子孫・大田田根子(意富多多泥古)を捜し出して祭主とし疫病平癒、ヤマト王権による在地神祭祀統合の神話的核心。【三輪山入山】三輪山自体への入山は摂社・狭井神社の登拝口から「修行登拝」のみ、写真撮影・飲食・脱帽等禁止の厳格な作法。	【神武東征以前】記紀の神代までさかのぼる超古層神社で、神武東征以前から鎮座とされる。【崇神朝】祟り神話を機に大物主祭祀整備、大田田根子を祭主に立てて疫病平癒、三輪氏(後の大三輪氏)祖。【古代】大三輪氏(現在も社家継承)が祭祀主、酒・薬・農業の神として崇敬篤し。【中世】神道思想の重要拠点、本居宣長『古事記伝』『鈴屋家集』等にも頻出。【近世】御室杉(三輪山の杉)を祭神としての木像化を経て現在の形態。【現代】2008年三輪鳥居前に大鳥居建立。【箸墓古墳】三輪山の麓に倭迹迹日百襲姫命墓伝承の箸墓古墳(墳丘長280m、3世紀後半)、卑弥呼墓説の有力候補(L2-L3、纒向遺跡発掘の進展)。	【大神祭】4/9、社の根幹祭礼。【鎮花祭(はなしずめのまつり)】4/18、薬まつりとも称される、疫病鎮静を祈る古祭、薬業界が業界として奉斎参拝、製薬業の崇敬対象。【おんだ祭(御田祭)】2月、稲作祈願。【三枝祭(さいくさのまつり)】6/17、ササユリの花で祭神を祀る古祭、宮中三大祭の一。【神紋】三本杉(三輪山の御室杉から)。	古事記(中巻 崇神・神武段)|日本書紀(神代上 第八段一書・崇神紀)|大三輪氏系図|延喜式神名帳|大和国風土記	大神神社 https://oomiwa.or.jp/
