relation_id	source_id	source_type	relation_type	target_id	target_type	region	period	confidence_level	hypothesis_layer	source_reference	notes
RLN-100001	DEI-001	deity	primary_deity_of	SHR-001	shrine	出雲	古代〜現代	A	L0	出雲国風土記|延喜式	大国主=出雲大社主祭神
RLN-100002	DEI-002	deity	primary_deity_of	SHR-004	shrine	出雲	古代〜現代	A	L0	出雲国風土記|社伝	スサノオ=熊野大社主祭神(社伝)
RLN-100003	DEI-013	deity	ancestor_deity_of	CLN-001	clan	出雲	神代	B	L1	古事記|神賀詞	アメノホヒ=出雲国造祖神
RLN-100004	CLN-001	clan	performed_at	SHR-001	shrine	出雲	古代〜現代	A	L0	出雲大社社伝	出雲国造の出雲大社祭祀
RLN-100005	CLN-001	clan	performed_at	SHR-004	shrine	出雲	古代	A	L0	社伝	国造の本拠は熊野(意宇)
RLN-100006	MYTH-002	myth_episode	mentioned_in	古事記	text	出雲	成立CE712	A	L0	古事記	国譲り神話=古事記
RLN-100007	MYTH-002	myth_episode	mentioned_in	日本書紀	text	出雲	成立CE720	A	L0	日本書紀	国譲り=書紀
RLN-100008	MYTH-002	myth_episode	mentioned_in	出雲国造神賀詞	text	出雲	霊亀2年以降	A	L0	続日本紀	神賀詞での再構成
RLN-100009	MYTH-001	myth_episode	mentioned_in	出雲国風土記	text	出雲	成立CE733	A	L0	風土記	国引き神話=風土記独自
RLN-100010	IZM-006	event	archaeologically_linked	HYP-003	hypothesis	出雲	弥生中後期	B	L2	発掘報告|学術論文	荒神谷358銅剣→出雲広域連合仮説
RLN-100011	IZM-008	event	archaeologically_linked	HYP-003	hypothesis	出雲	弥生中後期	B	L2	発掘報告|学術論文	加茂岩倉39銅鐸→出雲広域連合
RLN-100012	IZM-009	event	archaeologically_linked	HYP-004	hypothesis	出雲	弥生終末期	B	L2	学術研究	銅鐸祭祀終焉→国譲り政治史対応説
RLN-100013	DEI-022	deity	married_to	DEI-001	deity	出雲・越	神代	C	L0	古事記	ヌナカワヒメ=大国主妻
RLN-100014	DEI-010	deity	parent_of	DEI-022	deity	出雲・越	神代	C	L1	古事記	タケミナカタ=ヌナカワヒメの子
RLN-100015	DEI-001	deity	syncretized_with	DEI-014	deity	出雲・大和	神代	C	L2	古事記|諸研究	大国主大物主同体論争(HYP-005)
RLN-100016	DEI-002	deity	parent_of	DEI-021	deity	出雲	神代	C	L0	古事記	スサノオ=クシナダの夫(配偶)
RLN-100017	MYTH-006	myth_episode	occurred_in	出雲	region	出雲	崇神朝伝	C	L1	書紀崇神紀	出雲振根説話
RLN-100018	IZM-119	event	supports	IZM-125	event	出雲	平安期	A	L0	発掘報告	心御柱発見が高層神殿伝の物的根拠
RLN-100019	DEI-001	deity	enshrined_at	SHR-019	shrine	武蔵	古代〜	B	L1	神田明神社伝	大己貴命=神田明神
RLN-100020	DEI-001	deity	enshrined_at	SHR-122	shrine	越中	古代〜	A	L0	延喜式	大己貴=氣多神社
RLN-100021	IZM-013	event	supports	HYP-006	hypothesis	出雲・越	縄文〜弥生	B	L3	学術研究	出雲翡翠出土→翡翠ロード仮説
RLN-100022	IZM-072	event	supports	HYP-006	hypothesis	諏訪・越	縄文〜弥生	B	L3	学術研究	諏訪縄文遺跡→翡翠ロード
RLN-100023	DEI-024	deity	mentioned_in	出雲国風土記	text	出雲	成立CE733	A	L0	風土記	八束水臣津野=風土記のみ
RLN-100024	MYTH-004	myth_episode	contradicts	出雲国風土記	text	出雲	成立CE733	A	L1	風土記	ヤマタノオロチが風土記に欠落
RLN-100025	IZM-145	event	supports	MYTH-005	myth_episode	出雲	古代	C	L2	諸研究	韓竈神社=スサノオ新羅由来説
RLN-100026	CLN-005	clan	descended_from	DEI-013	deity	出雲〜全国	古墳〜	B	L1	先代旧事本紀	土師氏=アメノホヒ系
RLN-100027	CLN-006	clan	descended_from	DEI-013	deity	大和〜全国	平安	B	L1	続日本紀	菅原氏=土師氏系
RLN-100028	CLN-007	clan	descended_from	DEI-013	deity	大和	平安	B	L1	諸資料	大江氏=土師系
RLN-100029	IZM-078	event	performed_by	CLN-001	clan	出雲・大和	霊亀2年(716)	A	L0	続日本紀	神賀詞奏上=出雲国造果安
RLN-100030	IZM-085	event	politically_linked	CLN-002	clan	出雲	南北朝	A	L0	諸記録	南北朝期分立=千家
RLN-100031	IZM-085	event	politically_linked	CLN-003	clan	出雲	南北朝	A	L0	諸記録	南北朝期分立=北島
RLN-100032	IZM-088	event	politically_linked	DEI-013	deity	出雲〜全国	古墳〜	B	L1	先代旧事本紀	派生氏族(土師・菅原・大江・額田部)
RLN-100033	IZM-091	event	politically_linked	出雲鉄文化	-	出雲(奥出雲)	近世	A	L0	近世史料	たたら製鉄の確実史料
RLN-100034	IZM-094	event	contradicts	HYP-002	hypothesis	出雲	古代	A	L0	学術研究	古代製鉄炉不在→ヤマタノオロチ製鉄説への反証
RLN-100035	DEI-009	deity	parent_of	DEI-001	deity	出雲	神代	C	L0	古事記	コトシロヌシ=大国主の子
RLN-100036	DEI-009	deity	primary_deity_of	SHR-020	shrine	出雲	古代〜	A	L0	出雲国風土記	コトシロヌシ=美保神社
RLN-100037	RIT-008	ritual	performed_at	SHR-020	shrine	出雲	毎年4月	A	L0	美保神社社伝	青柴垣神事
RLN-100038	RIT-009	ritual	performed_at	SHR-020	shrine	出雲	毎年12月	A	L0	美保神社社伝	諸手船神事
RLN-100039	RIT-006	ritual	performed_at	SHR-001|SHR-023|SHR-028	shrine	出雲	旧暦10月	A	L0	出雲大社神事記	神在祭(神有月)
RLN-100040	RIT-007	ritual	performed_at	SHR-004	shrine	出雲	国造代替り	A	L0	出雲国造家文書	火継神事の発祥
RLN-100041	DEI-010	deity	primary_deity_of	SHR-039	shrine	諏訪	古代〜	A	L0	諏訪大社社伝	タケミナカタ=上社本宮
RLN-100042	DEI-010	deity	primary_deity_of	SHR-040	shrine	諏訪	古代〜	A	L0	諏訪大社社伝	タケミナカタ=上社前宮
RLN-100043	DEI-029	deity	primary_deity_of	SHR-041	shrine	諏訪	古代〜	A	L0	諏訪大社社伝	八坂刀売=下社春宮
RLN-100044	DEI-029	deity	primary_deity_of	SHR-042	shrine	諏訪	古代〜	A	L0	諏訪大社社伝	八坂刀売=下社秋宮
RLN-100045	CLN-017	clan	performed_at	SHR-039	shrine	諏訪	古代〜	A	L0	諏訪社伝	諏訪氏=上社大祝
RLN-100046	CLN-018	clan	performed_at	SHR-040	shrine	諏訪	古代〜	A	L0	守矢家文書	守矢氏=神長官
RLN-100047	CLN-019	clan	performed_at	SHR-041|SHR-042	shrine	諏訪	古代〜	A	L0	諏訪社伝	金刺氏=下社大祝
RLN-100048	MYTH-014	myth_episode	mentioned_in	古事記	text	諏訪	成立CE712	A	L0	古事記	タケミナカタ諏訪退避(古事記のみ)
RLN-100049	MYTH-014	myth_episode	contradicts	日本書紀	text	諏訪	成立CE720	A	L0	書紀	書紀には欠落
RLN-100050	THM-001	-	performed_at	SHR-040	shrine	諏訪	縄文〜現代	B	L3	守矢家文書	ミシャグジ=前宮の祭祀核
RLN-100051	THM-002	-	politically_linked	CLN-018	clan	諏訪	縄文〜	B	L3	守矢家文書	洩矢神=守矢氏祖
RLN-100052	RIT-010	ritual	performed_at	SHR-039|SHR-040|SHR-041|SHR-042	shrine	諏訪	7年に一度	A	L0	諏訪大社社伝	御柱祭(寅・申年)
RLN-100053	RIT-011	ritual	performed_at	SHR-040	shrine	諏訪	毎年4月	A	L0	守矢家文書	御頭祭(鹿頭75)
RLN-100054	RIT-012	ritual	performed_at	SHR-039	shrine	諏訪	元日	A	L0	諏訪社伝	蛙狩神事
RLN-100055	IZM-072	event	supports	MYTH-104	myth_episode	諏訪	縄文〜弥生	B	L2	諸研究	翡翠ロード=出雲諏訪同盟
RLN-100056	CLN-017	clan	allied_with	武家政権	-	全国	中世	A	L1	諏訪大明神絵詞	諏訪武家信仰拡散
RLN-100057	MYTH-021	myth_episode	politically_linked	CLN-017	clan	全国	中世	A	L1	武家文書	諏訪信仰の武家化
RLN-100058	IZM-068	event	politically_linked	CLN-017|CLN-018	clan	諏訪	古代〜現代	A	L0	社伝	御柱祭=諏訪共同体結束
RLN-100059	DEI-010	deity	opposed_to	DEI-011	deity	出雲(稲佐の浜)	神代	C	L0	古事記	力競べに敗北
RLN-100060	IZM-071	event	supports	HYP-006	hypothesis	諏訪	縄文期	B	L3	発掘報告	諏訪縄文遺跡群=翡翠ロード傍証
RLN-100061	MYTH-015	myth_episode	mentioned_in	守矢家文書	text	諏訪	中世	B	L3	守矢家文書	タケミナカタ vs 洩矢神
RLN-100062	MYTH-016	myth_episode	politically_linked	CLN-018	clan	諏訪	中世〜近代	A	L1	守矢家文書	77代守矢神長官の継承
RLN-100063	THM-039	-	performed_at	SHR-039|SHR-040|SHR-041|SHR-042	shrine	諏訪	7年周期	A	L0	諏訪社伝	御柱祭の縄文起源説(L3)
RLN-100064	THM-040	-	performed_at	SHR-040	shrine	諏訪	毎年4月	A	L0	守矢家文書	御頭祭の縄文起源説(L3)
RLN-100065	IZM-073	event	politically_linked	CLN-017	clan	全国	中世〜江戸	A	L1	武家記録	諏訪神党全国展開
RLN-100066	諏訪明神	deity	syncretized_with	諏訪大明神	-	全国	中世	B	L1	諏訪大明神絵詞	武家信仰での神格化
RLN-100067	MYTH-018	myth_episode	performed_at	SHR-039	shrine	諏訪	元日	A	L0	諏訪社伝	蛙狩神事
RLN-100068	MYTH-024	myth_episode	performed_at	SHR-043	shrine	諏訪	冬季	A	L0	八剣神社社伝	御渡判定
RLN-100069	MYTH-022	myth_episode	politically_linked	CLN-018	clan	諏訪	縄文〜近代	B	L3	守矢家文書	77代神長官系譜(社家伝)
RLN-100070	IZM-067	event	politically_linked	THM-001	-	諏訪	縄文〜	B	L3	守矢家文書	守矢氏ミシャグジ祭祀
RLN-100071	IZM-067	event	contradicts	タケミナカタ祭祀化	-	諏訪	古代	B	L3	守矢家文書	縄文系信仰のタケミナカタ以前
RLN-100072	DEI-010	deity	syncretized_with	諏訪明神	-	諏訪	中世	A	L1	諏訪大明神絵詞	-
RLN-100073	CLN-018	clan	descended_from	洩矢神	-	諏訪	縄文期〜	B	L3	守矢家文書	-
RLN-100074	DEI-011	deity	primary_deity_of	SHR-007	shrine	常陸	古代〜	A	L0	延喜式|社伝	タケミカヅチ=鹿島
RLN-100075	DEI-012	deity	primary_deity_of	SHR-008	shrine	下総	古代〜	A	L0	延喜式|社伝	フツヌシ=香取
RLN-100076	CLN-008	clan	descended_from	DEI-011	deity	大和〜全国	古墳〜	B	L1	諸記録	藤原(中臣)氏=タケミカヅチ祖神
RLN-100077	CLN-009	clan	descended_from	DEI-012	deity	大和〜全国	古墳〜	B	L1	先代旧事本紀	物部氏=フツヌシ祖神
RLN-100078	MYTH-026	myth_episode	mentioned_in	常陸国風土記	text	常陸	成立CE718	A	L0	風土記	タケミカヅチ鹿島降臨
RLN-100079	MYTH-028	myth_episode	mentioned_in	日本書紀	text	常陸〜出雲	成立CE720	A	L0	書紀	国譲り(鹿島視点)
RLN-100080	MYTH-029	myth_episode	politically_linked	SHR-012	shrine	大和	平安	A	L1	春日大社社伝	神鹿=春日への分霊
RLN-100081	MYTH-030	myth_episode	politically_linked	SHR-012	shrine	常陸〜大和	神護景雲2年	A	L0	春日大社社伝	鹿島香取→春日勧請
RLN-100082	CLN-008	clan	primary_deity_of	SHR-012	shrine	大和	平安〜現代	A	L0	春日大社社伝	藤原氏=春日大社
RLN-100083	MYTH-032	myth_episode	politically_linked	CLN-008	clan	常陸	古代	A	L1	常陸国風土記	タケミカヅチ蝦夷征討
RLN-100084	IZM-052	event	politically_linked	MYTH-028	myth_episode	常陸〜出雲	神代	B	L2	書紀	タケミカヅチ vs フツヌシ祭祀権争い
RLN-100085	MYTH-035	myth_episode	performed_at	SHR-007	shrine	常陸	12年に一度	A	L0	鹿島神宮社伝	鹿島御船祭
RLN-100086	MYTH-031	myth_episode	performed_at	SHR-007|SHR-008	shrine	常陸下総	近世	A	L0	近世記録	要石信仰
RLN-100087	DEI-011	deity	syncretized_with	不空羂索観音	-	大和(春日)	平安	A	L0	春日権現絵巻	-
RLN-100088	DEI-012	deity	syncretized_with	十一面観音	-	下総(香取)	平安	B	L1	諸記録	-
RLN-100089	SHR-052	shrine	primary_deity_of	大己貴命	deity	常陸	古代〜	A	L0	文徳実録	大洗磯前=出雲系祭祀
RLN-100090	SHR-053	shrine	primary_deity_of	少彦名命	deity	常陸	古代〜	A	L0	文徳実録	酒列磯前=出雲系
RLN-100091	SHR-058	shrine	primary_deity_of	大国魂大神	deity	武蔵	古代〜	A	L0	武蔵総社縁起	大國魂神社=武蔵総社
RLN-100092	SHR-057	shrine	primary_deity_of	大山祇神	deity	相模	古代〜	A	L0	大山阿夫利神社社伝	大山阿夫利
RLN-100093	SHR-018	shrine	politically_linked	出雲ルーツ説	-	武蔵	近代	C	L3	諸研究	氷川=斐伊川由来説
RLN-100094	SHR-051	shrine	performed_at	海岸祭祀	-	常陸	古代〜現代	A	L0	大洗社伝	神磯の鳥居
RLN-100095	IZM-053	event	occurred_in	常陸〜出雲	region	常陸〜出雲	神代	B	L2	書紀	国譲り武神派遣の経路
RLN-100096	CLN-008	clan	allied_with	皇統	-	大和	古墳〜現代	A	L0	諸正史	藤原氏=皇統補佐
RLN-100097	CLN-009	clan	opposed_to	CLN-010	clan	大和	飛鳥	A	L0	書紀	物部氏 vs 蘇我氏(丁未の乱587)
RLN-100098	DEI-019	deity	primary_deity_of	SHR-009	shrine	筑前	古代〜	A	L0	延喜式	イチキシマヒメ=辺津宮
RLN-100099	DEI-017	deity	primary_deity_of	SHR-077	shrine	筑前(沖ノ島)	古代〜	A	L0	発掘調査	タギリヒメ=沖津宮
RLN-100100	DEI-018	deity	primary_deity_of	SHR-078	shrine	筑前(大島)	古代〜	A	L0	延喜式	タギツヒメ=中津宮
RLN-100101	CLN-016	clan	performed_at	SHR-077	shrine	筑前(沖ノ島)	古墳〜平安	A	L0	発掘調査	宗像氏=沖ノ島祭祀主体
RLN-100102	CLN-016	clan	served	大和王権	-	筑前	古墳〜奈良	A	L0	書紀	国家祭祀の主体
RLN-100103	MYTH-036	myth_episode	mentioned_in	古事記	text	高天原宗像	成立CE712	A	L0	古事記	誓約による三女神誕生
RLN-100104	MYTH-037	myth_episode	occurred_in	沖ノ島	region	筑前(沖ノ島)	古墳〜平安	A	L0	発掘調査	「海の正倉院」
RLN-100105	MYTH-039	myth_episode	mentioned_in	日本書紀	text	筑前〜朝鮮半島	成立CE720	A	L0	書紀	神功皇后三韓征討
