festival_id	canonical_name	canonical_reading	alternative_names	host_shrine_id	secondary_shrine_ids	related_deity_ids	related_motif_ids	date_pattern	category	founded_period	summary	history	ritual_content	source_reference	hypothesis_layer	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source
FES-001	神嘗祭	かんなめさい	神嘗の祭|神嘗祭典	SHR-002	SHR-003	DEI-003|DEI-081	-	10月15-17日(旧暦9月)	新嘗系	古代	伊勢神宮の新穀感謝祭。皇祖神に当年の初穂を奉献する宮中祭祀と連動した最重要祭儀。	古事記・日本書紀の段階で既に神嘗の語あり。律令体制下の9月17日が原型で、明治改暦で10月17日に固定。両宮(内宮・外宮)で由貴大御饌・奉幣の儀。	由貴の大御饌(暁・夕)、奉幣の儀、神田で刈り取った稲を神前に奉る	延喜式|皇大神宮儀式帳	L0	伊勢神宮の三大祭の一。後年の新嘗祭(11/23)の原型。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-002	式年遷宮	しきねんせんぐう	神宮式年遷宮	SHR-002	SHR-003	DEI-003|DEI-081	-	20年に一度	遷宮	持統天皇4年(690)〜	伊勢神宮の社殿・神宝を20年毎に造り替える祭儀。常若(とこわか)の信仰、社殿建築と祭祀工芸の継承の核。	持統天皇4年に第1回。中世戦乱で120年余中断、近世復活。直近は平成25年(2013)第62回。	内宮・外宮の社殿建替、御船代造、御白石持、遷御の儀	続日本紀|神宮儀式帳	L0	木造建築と祭祀技術を世代継承する装置。次回は令和15年(2033)予定。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-003	神在祭	かみありさい	神在祭|神有月の神事	SHR-001	SHR-023|SHR-020	DEI-001	MOTIF-006	旧暦10月10-17日	参集祭	古代	出雲は神在月(他地方は神無月)。全国の八百万神が出雲大社に集結し縁結びの神議を行うとされる。	出雲国造神賀詞・出雲国風土記に源流。中世以降「神無月」観念と一体化、近世国学で体系化。	神迎祭(10/10、稲佐の浜)、龍蛇神奉迎、上宮で神議、神等去出祭(10/17)	出雲国風土記|出雲国造神賀詞|出雲大社縁起	L0	出雲縁結び信仰の核。佐太神社・万九千神社等にも分祀的祭事あり。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-004	古伝新嘗祭	こでんしんじょうさい	出雲古伝新嘗祭	SHR-001	-	DEI-001|DEI-013	-	11月23日(旧暦)	新嘗系	古代	出雲国造家が古伝に従い斎行する独自の新嘗祭。神饌は古式に則り、出雲国造神賀詞の世界観が現代に残存する貴重な祭儀。	霊亀2年(716)から国造神賀詞奏上が記録される系譜の延長。出雲独自の新嘗祭式の存続。	古伝神饌奉献、新穀感謝、出雲国造による斎主	出雲国造神賀詞|千家家文書	L0	出雲独自の祭祀権を象徴。中央の新嘗祭と並行・独立。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-005	御柱祭	おんばしらさい	式年造営御柱大祭	SHR-006	SHR-369|SHR-370|SHR-371|SHR-372	DEI-010|DEI-029|DEI-132	-	7年毎(寅・申の年、4-6月)	遷宮	平安以前(L1)	諏訪大社四宮の社殿四隅に立てる御柱(モミの巨木)を山から伐り出し、人力で曳行・建立する大祭。日本三大奇祭の一。	延喜式以前から記録、桓武朝に祭祀整備。中世以降民俗化、現在は信濃を挙げての氏子祭。	山出し(木落し・川越し)、里曳き、建御柱の三段階	延喜式|諏訪大明神画詞	L1	縄文期の巨木信仰の継承説あり(L3)。次回は令和10年(2028)寅年。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-006	御頭祭	おんとうさい	酉の祭|鹿頭祭	SHR-370	-	DEI-133	-	4月15日	狩猟祭祀	古代以前(L2)	諏訪上社前宮で行われる狩猟祭祀。古代は鹿頭75頭を奉献していたとされ、現在は剥製で象徴的に再現。	守矢家文書・諏訪大明神画詞に詳細記録。中世まで実際の鹿頭奉献が行われていた。	鹿頭奉献(現代は剥製)、御贄柱、守矢家の祝詞	諏訪大明神画詞|守矢家文書	L0	縄文・弥生期の狩猟祭祀の残存形態仮説(L3)。ミシャグジ祭祀と一体。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-007	御神渡神事	おみわたりしんじ	-	SHR-369	SHR-371	DEI-010|DEI-029	-	冬季(湖面結氷時)	自然神事	古代	諏訪湖の全面結氷時に湖面に走る亀裂を上社男神(タケミナカタ)が下社女神(八坂刀売)を訪ねた跡とする。八剱神社の宮司が御渡注進状を朝廷に奏上する伝統。	室町期から記録あり、江戸期に体系化。近世以降は気候観測の貴重史料。	拝観式、御渡注進、御渡帳記録	諏訪大社旧記|八剱神社御渡帳	L0	歴史的気候変動の科学的価値を持つ唯一無二の祭事(中世以降の連続観測記録)。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-008	春日若宮おん祭	かすがわかみやおんまつり	春日若宮神事	SHR-686	SHR-012	DEI-153	-	12月15-18日	若宮系	長保5年(1003)以来	春日大社摂社・若宮神社の例祭。長保5年(1003)に天下泰平・五穀豊穣を願って始まる。中世から現代まで継続される最古の芸能祭。	長保5年から1023年連続斎行(現存最古の祭礼)。雅楽・田楽・猿楽・能・流鏑馬等の各種芸能が奉納。	お渡り式、御旅所祭、田楽・細男・神楽・舞楽・能楽の奉納	春日大社縁起|諸記録	L0	日本の中世芸能成立を伝える貴重な祭事。世代を超えた継承の典型。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-009	春日祭	かすがまつり	南都の祭|猿楽祭の起源	SHR-012	-	DEI-011|DEI-012|DEI-107|DEI-154	-	3月13日	例大祭	嘉祥3年(850)勅祭	春日大社の例祭。賀茂祭(葵祭)・石清水祭と並ぶ「日本三大勅祭」。藤原氏祖神祭祀。	承和年間に式を整備、嘉祥3年(850)以来勅使を遣わす勅祭となる。藤原摂関期に隆盛。	勅使奉幣、和舞、東遊	延喜式|春日大社縁起	L0	藤原氏の権勢と一体化した中央祭祀の典型。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-010	鎮花祭	はなしずめのまつり	薬まつり|大神の神事	SHR-010	SHR-779	DEI-008|DEI-020	-	4月18日	疫病鎮め	古代	大神神社・狭井神社の祭事。花散る季節に飛び散る疫神を鎮める儀。薬の神(大物主・少彦名)を祀る、日本最古の医薬祭祀。	大宝令に既に規定。三輪山祭祀と医療信仰の結合。	薬草奉献、御神水の薬井、製薬関係者の参列	大宝令|延喜式|大神神社縁起	L0	製薬業界の重要祭事として現代も継承。古代医薬祭祀の貴重な残存。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
