ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-146	古墳〜現代	古墳時代以降	CE 250-	-	大神神社(奈良県桜井市):本殿を持たず三輪山自体を神体とする最古層の神社。祭神は大物主大神	神社創建	大物主神話	大神神社	大物主大神	-	崇神天皇、垂仁天皇	三輪氏(神部氏)	三輪氏、賀茂氏	大和(三輪)	纒向遺跡、三輪山祭祀遺跡	子持勾玉、土製模造品	古事記、日本書紀、延喜式神名帳	神話、社伝	A	0	大物主=大国主同体説 / 別神格説	山岳=神体、最古層神道形態	大和王権の中心祭祀	三輪山祭祀=大和王権の祭祀基盤	崇神朝の神祀り中央化	三輪山麓の祭祀遺物	神道祭祀の祖型	IZM-040と接続、纒向と三輪山の地理関係
IZM-147	古墳	崇神朝(神話的設定)	不明	崇神朝	崇神天皇期にオオモノヌシの祟りを大田田根子(三輪氏祖)が祀ることで鎮める	神話エピソード	崇神朝の祟り神話	大神神社	大物主	大田田根子(三輪氏祖)	崇神天皇	三輪氏	三輪氏	大和(三輪)	纒向遺跡	-	古事記、日本書紀	正史、神話	C	1	崇神朝の歴史的事件説 / 後世の創作説	祟り神=出雲系神格、和魂荒魂	出雲祭神を大和王権が祀る	出雲祭祀権の大和への取込み	三輪氏=大物主祭祀の世襲祭祀者	-	祟り神信仰の原型	IZM-040、IZM-081(出雲振根)と並列の構造
IZM-148	平安〜現代	平安以前〜	-	-	出雲大神宮(京都府亀岡市):丹波国一宮、大国主・三穂津姫を祭る。「元出雲」を称する	神社創建	-	出雲大神宮	大国主、三穂津姫	-	-	-	-	丹波(亀岡市千歳町)	-	-	延喜式神名帳	正史、社伝	B	1	出雲大社より古い「元出雲」社伝 / 後世創作説	-	出雲祭神の畿内展開	-	大国主信仰の畿内拠点	-	「元出雲」呼称	出雲信仰の畿内展開の代表例
IZM-149	平安〜現代	平安以前〜	-	-	気多大社(石川県羽咋市):能登国一宮、大国主	神社創建	大国主の北陸経略	気多大社	大国主	-	-	-	-	能登(石川県羽咋市)	-	-	延喜式神名帳、社伝	正史、社伝	B	1	大国主が能登に来訪し統治説 / 在地神への大国主習合説	-	出雲—北陸の祭祀ネットワーク	-	大国主の北陸進出の社伝	-	北陸の出雲系信仰の中核	「気」=「気多」=神威の地
IZM-150	古代〜現代	古代〜	-	-	気比神宮(福井県敦賀市):越前国一宮、笥飯大神(伊奢沙別命)。古代の海路の要	神社創建	-	気比神宮	伊奢沙別命、仲哀天皇、神功皇后、応神天皇	-	仲哀天皇、神功皇后、応神天皇	-	-	越前(敦賀)	-	-	古事記、日本書紀、延喜式神名帳	正史	A	0	伊奢沙別命=出雲系神格説 / 渡来神説 / 在来神説	海路の守護	-	北陸—大和を結ぶ海路祭祀	応神天皇との名易え神話(古事記)	-	北陸海路と出雲ネットワークの結節	「越」=高志=出雲ネットワークと接続
IZM-151	平安〜現代	天平2年(730)創建伝	CE 730	天平2年	神田明神(東京都千代田区):大己貴命(大国主)、少彦名命、平将門。江戸総鎮守	神社創建	-	神田明神	大己貴命、少彦名命、平将門	平将門	-	-	-	武蔵(現・千代田区)	-	-	神田明神社伝	社伝	B	0	-	-	江戸=東京の祭祀的中心	武蔵への大国主信仰展開	-	-	江戸文化・現代東京の祭祀的核	平将門合祀は江戸期
IZM-152	古代〜現代	孝昭天皇朝(神話的)	不明	-	氷川神社(さいたま市大宮区):武蔵国一宮、スサノオ・クシナダ・大己貴。武蔵総鎮守	神社創建	出雲神話	氷川神社	スサノオ、クシナダヒメ、大己貴命	-	孝昭天皇(社伝)	-	-	武蔵(さいたま市)	-	-	延喜式神名帳、氷川神社社伝	正史、社伝	B	1	出雲族の関東展開説 / 在来神への出雲習合説	-	武蔵総鎮守	出雲祭祀の関東展開	-	-	関東の出雲系信仰の最大拠点	「氷川」=「簸川(=斐伊川)」由来の出雲ルーツ説
IZM-153	古代〜現代	古代	-	-	鹿島神宮(常陸国一宮)・香取神宮(下総国一宮):タケミカヅチ・フツヌシ。国譲り武神	神社創建	国譲り神話	鹿島神宮、香取神宮	タケミカヅチ、フツヌシ	-	-	中臣氏、物部氏	中臣氏(藤原氏)、物部氏	常陸・下総	-	-	古事記、日本書紀、延喜式神名帳	正史	A	0	-	武神、剣神	国家祭祀の東国守護	藤原氏氏神(春日大社へ)、物部氏氏神	タケミカヅチ→中臣、フツヌシ→物部	-	藤原氏の春日大社へ分祀	国譲り側からの出雲ネットワーク
IZM-154	古代〜現代	古代	-	-	宗像大社(福岡県宗像市):宗像三女神(タギリ・タギツ・イチキシマ)。スサノオ誓約所生、大国主の妃	神社創建	誓約神話、宗像三女神	宗像大社	タギリヒメ、タギツヒメ、イチキシマヒメ	-	-	宗像氏	宗像氏	筑前(宗像)	沖ノ島祭祀遺跡	祭祀遺物多数	古事記、日本書紀	正史	A	0	-	海上交通の守護	国家的海路祭祀	出雲—宗像—大和の祭祀ネットワーク	タギリヒメ=大国主の妃(古事記)	沖ノ島祭祀遺物群(国宝)	「海の正倉院」沖ノ島	IZM-017と接続
IZM-155	中世	平安〜南北朝	CE 800-1400	-	先代旧事本紀(平安初期成立、9世紀):物部氏系の偽古文献。出雲国造の系譜・国譲り神話の独自構成	政治事件	-	-	-	-	-	物部氏	物部氏	-	-	-	先代旧事本紀	中世神道、系譜資料	C	2	物部氏家伝説 / 平安初期偽作説 / 独自伝承保存説	-	-	物部氏の祭祀権主張	出雲国造の系譜の補完	-	中世神道思想に大きな影響	「天孫本紀」「国造本紀」が重要
