emperor_id	canonical_name	canonical_reading	dai	era_short	reign_period	related_deity_id	source_reference	hypothesis_layer	confidence_level	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source
EMP-001	神武天皇	じんむてんのう	1	神代	伝 BCE 660-585	DEI-507	古事記|日本書紀	L1	C	初代、神武東征伝	verified	genealogical	2026-05-25T00:00:00	claude	皇統譜・古事記・日本書紀
EMP-002	綏靖天皇	すいぜいてんのう	2	神代	伝 BCE 581-549	DEI-553	古事記|日本書紀	L1	C	欠史八代 第2代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-003	安寧天皇	あんねいてんのう	3	神代	伝 BCE 549-511	DEI-554	古事記|日本書紀	L1	C	欠史八代 第3代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-004	懿徳天皇	いとくてんのう	4	神代	伝 BCE 510-477	DEI-555	古事記|日本書紀	L1	C	欠史八代 第4代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-005	孝昭天皇	こうしょうてんのう	5	神代	伝 BCE 475-393	DEI-556	古事記|日本書紀	L1	C	欠史八代 第5代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-006	孝安天皇	こうあんてんのう	6	神代	伝 BCE 392-291	DEI-557	古事記|日本書紀	L1	C	欠史八代 第6代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-007	孝霊天皇	こうれいてんのう	7	神代	伝 BCE 290-215	DEI-558	古事記|日本書紀	L1	C	欠史八代 第7代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-008	孝元天皇	こうげんてんのう	8	神代	伝 BCE 214-158	DEI-559	古事記|日本書紀	L1	C	欠史八代 第8代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-009	開化天皇	かいかてんのう	9	神代	伝 BCE 158-98	DEI-560	古事記|日本書紀	L1	C	欠史八代 第9代	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-010	崇神天皇	すじんてんのう	10	古墳	3-4C 推定	DEI-561	古事記|日本書紀	L2	B	三輪王権の祖、纒向遺跡対応	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・考古学
EMP-011	垂仁天皇	すいにんてんのう	11	古墳	3-4C 推定	DEI-562	古事記|日本書紀	L2	B	伊勢遷座	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-012	景行天皇	けいこうてんのう	12	古墳	4C 前半推定	DEI-563	古事記|日本書紀	L2	B	ヤマトタケル父	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-013	成務天皇	せいむてんのう	13	古墳	4C 中推定	DEI-564	古事記|日本書紀	L2	C	国造制整備伝	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-014	仲哀天皇	ちゅうあいてんのう	14	古墳	4C 後半伝	DEI-565	古事記|日本書紀	L2	C	神功皇后夫	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-015	応神天皇	おうじんてんのう	15	古墳	4C 末-5C 初推定	DEI-182	古事記|日本書紀	L2	B	八幡神同体説、宇佐神宮祭神	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・宇佐神宮社伝
EMP-016	仁徳天皇	にんとくてんのう	16	古墳	5C 前半伝 313-399	DEI-566	古事記|日本書紀	L2	B	大仙陵古墳被葬伝	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・考古学
EMP-017	履中天皇	りちゅうてんのう	17	古墳	5C 前半伝	DEI-567	古事記|日本書紀	L2	C	倭五王の讃に比定説	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・宋書
EMP-018	反正天皇	はんぜいてんのう	18	古墳	5C 中伝	-	古事記|日本書紀	L2	C	倭五王の珍に比定説	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・宋書
EMP-019	允恭天皇	いんぎょうてんのう	19	古墳	5C 中伝	-	古事記|日本書紀	L2	C	倭五王の済に比定説	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・宋書
EMP-020	安康天皇	あんこうてんのう	20	古墳	5C 後半伝	-	古事記|日本書紀	L2	C	倭五王の興に比定説	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・宋書
EMP-021	雄略天皇	ゆうりゃくてんのう	21	古墳	456-479 推定	DEI-568	古事記|日本書紀|稲荷山鉄剣銘	L0	A	ワカタケル大王、稲荷山鉄剣銘で L0 確証	verified	genealogical	2026-05-25T00:00:00	claude	稲荷山鉄剣銘 (考古 L0)
EMP-022	清寧天皇	せいねいてんのう	22	古墳	5C 後半伝	-	古事記|日本書紀	L2	C	-	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-023	顕宗天皇	けんぞうてんのう	23	古墳	5C 後半伝	-	古事記|日本書紀	L2	C	-	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-024	仁賢天皇	にんけんてんのう	24	古墳	5C 末伝	-	古事記|日本書紀	L2	C	-	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-025	武烈天皇	ぶれつてんのう	25	古墳	5C 末-6C 初伝	-	古事記|日本書紀	L2	C	-	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-026	継体天皇	けいたいてんのう	26	古墳	507-531	DEI-569	古事記|日本書紀	L0	A	王朝交代説 L2、越前出自伝	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-027	安閑天皇	あんかんてんのう	27	古墳	531-535	-	古事記|日本書紀	L1	B	-	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-028	宣化天皇	せんかてんのう	28	古墳	535-539	-	古事記|日本書紀	L1	B	-	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-029	欽明天皇	きんめいてんのう	29	古墳	539-571	DEI-570	古事記|日本書紀	L0	A	仏教公伝 552	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀・上宮聖徳法王帝説
EMP-030	敏達天皇	びだつてんのう	30	飛鳥	572-585	DEI-571	古事記|日本書紀	L0	A	推古夫	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-031	用明天皇	ようめいてんのう	31	飛鳥	585-587	-	古事記|日本書紀	L0	A	聖徳太子父	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-032	崇峻天皇	すしゅんてんのう	32	飛鳥	587-592	-	古事記|日本書紀	L0	A	蘇我馬子に弑殺	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-033	推古天皇	すいこてんのう	33	飛鳥	592-628	-	古事記|日本書紀	L0	A	最初の女帝、聖徳太子摂政	verified	genealogical	2026-05-25T00:00:00	claude	古事記・日本書紀
EMP-034	舒明天皇	じょめいてんのう	34	飛鳥	629-641	-	日本書紀	L0	A	遣唐使派遣	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
EMP-035	皇極天皇	こうぎょくてんのう	35	飛鳥	642-645	-	日本書紀	L0	A	乙巳の変	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
EMP-036	孝徳天皇	こうとくてんのう	36	飛鳥	645-654	-	日本書紀	L0	A	大化改新	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
EMP-037	斉明天皇	さいめいてんのう	37	飛鳥	655-661	-	日本書紀	L0	A	皇極重祚	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
EMP-038	天智天皇	てんじてんのう	38	飛鳥	661-672	-	日本書紀	L0	A	白村江・近江令	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
EMP-039	弘文天皇	こうぶんてんのう	39	飛鳥	672	-	日本書紀	L0	B	壬申の乱で敗北	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
EMP-040	天武天皇	てんむてんのう	40	飛鳥	672-686	-	日本書紀	L0	A	壬申の乱勝利・八色姓・古事記編纂開始	verified	genealogical	2026-05-25T00:00:00	claude	日本書紀
