entry_id	entity_id	canonical_name	medium_type	strength	continuity_window	source_reference	inference_type	notes
PM-001	SHR-001	出雲大社	architecture	strong	古代-現代	延喜式|出雲国造家文書	source_backed	古代高層神殿伝承、現本殿は 1744 年。重要文化財・国宝指定
PM-002	SHR-001	出雲大社	ritual	strong	古代-現代	出雲国造神賀詞|延喜式	source_backed	神在祭・古伝新嘗祭が継承。神在月の civilizational sync
PM-003	SHR-001	出雲大社	lineage	strong	古代-現代	出雲国造家文書|新撰姓氏録	source_backed	千家・北島両家による国造祭祀権 84 代継承 (天穂日命後裔)
PM-004	SHR-001	出雲大社	text	strong	古代-現代	古事記|日本書紀|出雲国風土記	source_backed	国譲り神話の中核文献継承
PM-005	SHR-001	出雲大社	geography	strong	古代-現代	出雲国風土記|考古学	source_backed	杵築の地は古代から不変。神奈備山 (八雲山) 信仰
PM-006	SHR-002	皇大神宮 (伊勢内宮)	architecture	medium	古代-現代	続日本紀|神宮儀式帳	source_backed	式年遷宮 20 年周期で更新、physical persistence ではなく ritual persistence
PM-007	SHR-002	皇大神宮 (伊勢内宮)	ritual	strong	古代-現代	続日本紀|神宮儀式帳	source_backed	式年遷宮 (690-、62 回)、神嘗祭、月次祭。最高度の civilizational sync
PM-008	SHR-002	皇大神宮 (伊勢内宮)	pilgrimage	strong	近世-現代	お蔭参り記録|江戸庶民史	source_backed	伊勢御師制度 (江戸期、明治廃止) → 戦後ツーリズム化
PM-009	SHR-002	皇大神宮 (伊勢内宮)	text	strong	古代-現代	古事記|日本書紀|延喜式	source_backed	倭姫命御杖代巡幸の文献的根拠
PM-010	SHR-002	皇大神宮 (伊勢内宮)	geography	strong	古代-現代	倭姫命世記|考古学	source_backed	内宮地は不変、隣接古墳群と古層接続
PM-011	SHR-006	諏訪大社	architecture	medium	古代-現代	諏訪大明神画詞|神社旧記	source_backed	御柱建立 7 年周期で更新。建築 persistence は cyclic
PM-012	SHR-006	諏訪大社	ritual	strong	古代-現代	諏訪大明神画詞|延喜式	source_backed	御柱祭・御頭祭・御神渡神事。縄文期祭祀の残存仮説 L2-L3
PM-013	SHR-006	諏訪大社	lineage	strong	古代-1871	諏訪大社旧記|諏訪家系図	source_backed	守矢神長官 78 代継承、明治祭政分離まで継続 (現代 BRK-013)
PM-014	SHR-006	諏訪大社	geography	strong	古代-現代	諏訪大明神画詞|考古学	source_backed	諏訪湖周辺の上社・下社配置。守屋山 (神奈備) 信仰
PM-015	SHR-006	諏訪大社	oral	strong	古代-現代	諏訪大明神画詞|地方伝承	inferential	タケミナカタ伝承、御柱祭の口承継承
PM-016	SHR-005	熊野本宮大社	architecture	medium	古代-現代	熊野年代記|和歌山県史	source_backed	1889 大水害で旧社地流失、1891 現本宮地遷座 (BRK-008)
PM-017	SHR-005	熊野本宮大社	ritual	strong	古代-現代	熊野年代記|那智神社縁起	source_backed	那智の扇祭・御燈祭等の周辺ritual ネットワーク
PM-018	SHR-005	熊野本宮大社	pilgrimage	strong	平安-現代	熊野御幸記|平安貴族日記	source_backed	熊野古道 (世界遺産)、平安期から続く巡礼路
PM-019	SHR-005	熊野本宮大社	text	strong	古代-現代	熊野年代記|諸縁起	source_backed	熊野権現信仰、本地仏 (阿弥陀如来) 説体系
PM-020	SHR-005	熊野本宮大社	geography	medium	古代-現代	熊野年代記	source_backed	山岳信仰連環 (熊野三山・大峰山・吉野)
PM-021	SHR-016	宇佐神宮	ritual	strong	古代-現代	八幡宇佐宮御託宣集|延喜式	source_backed	放生会・御神幸祭。八幡神祭祀の祖型 (859 石清水勧請の起点)
PM-022	SHR-016	宇佐神宮	architecture	medium	古代-現代	宇佐神宮旧記	source_backed	弥勒寺廃絶 (1868、BRK-023)、本殿のみ存続
