motif_id	extended_summary	primary_sources	external_links
MOTIF-001	【国譲り神話】葦原中国(地上世界)の主・大国主大神が、高天原(天上世界)の使者の要求に応じて自らの統治権を皇統に譲渡する記紀神話の中核説話。【神話の流れ】高天原のアマテラスが葦原中国の統治を皇孫に委ねる方針を決定、最初に天穂日命を派遣するが大国主に従属し3年帰還せず、次に天稚彦を派遣も同様、最終的に建御雷神(武甕槌)・天鳥船神(古事記)/経津主神(書紀本文)を派遣、出雲の伊那佐之小浜で大国主に国譲りを迫る。大国主は息子の事代主に意見を求め、美保関で釣り中だった事代主は即座に「承諾」して青柴垣に隠れる、もう一人の息子・建御名方は抗戦するが建御雷との力比べに敗れ諏訪へ逃れる。最終的に大国主は「皇孫の宮を立派に造ってくれれば隠れる」を条件に承諾、出雲大社造営の根拠説話となる。【政治神話論】古墳時代後期(5-6世紀)のヤマト政権による出雲統合の歴史を神話化したとする解釈(L2、上田正昭・松前健ら)、出雲祭祀権の朝廷化と出雲国造の従属の神話的正統化。【記紀本文の異同】『古事記』では建御雷+天鳥船が使者で「大国主」が中心、『日本書紀』本文では経津主+武甕槌で「大己貴」、第九段一書では多くの異伝、編纂期の物部・中臣氏の地位の違いを反映。【現代】出雲大社の本殿祭神として大国主が祀られる根拠、出雲国造家(千家・北島)が継承する出雲祭祀の神話的核心。	古事記(神代下 国譲り段)|日本書紀(神代下 第九段本文・一書)|出雲国造神賀詞|出雲国風土記	
MOTIF-002	【天孫降臨】高天原の皇孫・邇邇芸命(ニニギ)が天照大神から葦原中国の統治を委任され、三種の神器と斎庭の稲穂を授かり、五伴緒(天児屋根=中臣祖・太玉=忌部祖・天宇受売=猿女祖・伊斯許理度売=鏡作祖・玉祖=玉作祖)を従えて、日向の高千穂峰に降臨する記紀神話。【神話の構造】天照大神→天忍穂耳→邇邇芸の天孫三代を経て地上に降臨、皇統が「天孫(あまつかみのみまご)」であることの神話的根拠。降臨に際して八咫鏡・八尺瓊勾玉・天叢雲剣(草薙剣)の三種神器を授与、皇位継承の物的根拠。【降臨地論争】降臨地「高千穂峰」については (1) 宮崎県西臼杵郡高千穂町説、(2) 鹿児島県霧島山高千穂峰説の二大候補が古来並存(L2、両説とも社伝)、現代も決着せず両地に降臨伝承神社あり。【天孫降臨の意味】皇統が天上(高天原)から地上に「降臨」する形式は、世界の神話学で「天降神話(あまくだりしんわ)」と呼ばれる類型、朝鮮半島(檀君神話)・モンゴル等の北東アジアに広く分布、騎馬民族系建国神話との比較研究が盛ん(L2-L3、江上波夫・大林太良)。【五伴緒】降臨に随伴した五伴緒は後の中臣・忌部・猿女・鏡作・玉作各氏祖、古代祭祀氏族の起源神話。	古事記(神代下 天孫降臨段)|日本書紀(神代下 第九段本文・一書)|日向国風土記逸文|大隅国風土記逸文	
MOTIF-003	【国生み神話】イザナギ・イザナミの夫婦神が日本列島(大八洲)と諸神を生んだ神話。【神話の流れ】天浮橋に立ち、天沼矛(あめのぬぼこ)で原初の海を撹拌、滴り落ちた塩が積もって淤能碁呂島(おのごろじま、自凝島)成立。二神は淤能碁呂島に天降り、天之御柱を巡る婚姻儀礼(イザナミが先に「あなにえや、えおとこを」と声をかけて失敗し、改めてイザナギが先に声をかけて成功)を経て大八洲を生む。【大八洲】(1)淡道之穂之狭別島=淡路、(2)伊予之二名島=四国、(3)隠岐之三子島=隠岐、(4)筑紫島=九州、(5)伊伎島=壱岐、(6)津島=対馬、(7)佐渡島、(8)大倭豊秋津島=本州 — 8つの大島から成る日本列島の起源(『古事記』神代上)。書紀本文ではさらに多くの島を生む。【神生み】続いて山・海・河・木・野・風・火・水戸等の自然神35柱を生み、最後に火神カグツチを生んだ際にイザナミは焼死、神生み終了。【世界比較】兄妹神による国生み・天柱・原初海の撹拌等の構造は東南アジアの島嶼神話と類似、ポリネシア・台湾原住民の創世神話との比較が論じられる(L2-L3)。【信仰】淤能碁呂島の比定地は淡路島周辺の小島(沼島=ぬしま等)、淡路島自体が「最初に生まれた島」として国生み神話の聖地化。	古事記(神代上 国生み段)|日本書紀(神代上 第四段本文・一書)|淡路国風土記逸文|伊弉諾神宮由緒	
MOTIF-004	【三種の神器】皇位継承の証として歴代天皇が継承する三宝物 — 八咫鏡(やたのかがみ)・天叢雲剣(あめのむらくものつるぎ、別名・草薙剣)・八尺瓊勾玉(やさかにのまがたま)の総称。【起源】天孫降臨時、天照大神が邇邇芸命に授けた三宝(『古事記』『日本書紀』)。八咫鏡=岩戸隠れ時に石凝姥が作った神鏡で天照の御魂を移したもの。天叢雲剣=スサノオが八岐大蛇退治で大蛇尾から得た剣、後にヤマトタケルが東征で草を薙ぎ払って「草薙剣」に改名。八尺瓊勾玉=玉祖が作った玉。【三器の現在の所在】八咫鏡=伊勢神宮内宮(SHR-002)の御神体、宮中賢所には「形代(かたしろ=複製)」が祀られる。天叢雲剣=熱田神宮(尾張、SHR-?)の御神体、宮中には形代。八尺瓊勾玉=宮中賢所(本物)。【見学不可】神器は奉斎者以外見ることが厳禁、即位儀礼(剣璽渡御)でも布で覆って渡される、最高機密の宝物。【神器の象徴論】鏡=天照=知恵・徳、剣=スサノオ=武・勇、玉=高天原原初=慈悲・仁徳の三徳を象徴とする中世以降の解釈(L1、神道思想)。【近代】明治22(1889)年大日本帝国憲法と同時に「皇室典範」で神器継承の法的位置が確定、戦後の象徴天皇制でも継承形式維持。【現代】令和元(2019)年5月1日の皇位継承「剣璽等承継の儀」で本制度継承。	古事記(神代上下)|日本書紀(神代上下)|皇大神宮儀式帳|延喜式|皇室典範	
MOTIF-006	【崇神朝祭祀整備】第10代崇神天皇期(伝統紀年BC97-30、考古学的には3-4世紀)に行われた、ヤマト王権による国家祭祀整備の神話的事跡。【三輪山祟り神話】崇神7年、疫病大流行で人民流亡、占いで「我が子孫・大田田根子を捜し出して祭主とせよ」との大物主の託宣、大田田根子(意富多多泥古、三輪氏祖)を見つけ大物主を祀ったところ疫病平癒(『日本書紀』崇神紀)。大神神社(SHR-010)創建縁起、ヤマト政権による在地神=三輪山祭祀の朝廷化。【天照鎮座移転】崇神6年、天照大神を皇居から外に出して笠縫邑に祀らせる(以後、垂仁朝の倭姫命による元伊勢巡幸→伊勢鎮座へ繋がる)、皇祖神祭祀の独立化。【出雲振根追討】崇神朝に出雲振根を追討、出雲国造の大和朝廷服属の神話的画期(『日本書紀』崇神紀)。【四道将軍】崇神10年、四道将軍 — 大彦命(北陸道)・武渟川別(東海道)・吉備津彦(西道)・丹波道主(丹波道)を派遣、地方経営・国造設置の起点。【ハツクニシラス天皇】崇神の和風諡号「ハツクニシラス天皇」(初めて国を治めた天皇)は神武と同じ、両者を同一実在人物=4世紀の倭王とする学説あり(L2-L4、大山誠一)、実在性が学界で広く認められる最初期の天皇。【意義】崇神朝はヤマト王権の国家祭祀・地方経営・出雲統合の三大課題が同時に進められた画期、考古学的に古墳時代前期(3-4世紀)の王権成立期と対応。	古事記(中巻 崇神段)|日本書紀(崇神紀)|大神神社縁起|延喜諸陵式	
MOTIF-007	【出雲国造神賀詞奏上】新天皇即位時に出雲国造が朝廷で「出雲国造神賀詞(かんよごと)」を奏上する古代国家祭祀儀礼。【内容】出雲国造が「所造天下大神(あめのしたつくらしし)=大国主」を始め、出雲の神々を称え、天皇の御代の平安を祈る祝詞、その「神賀詞」は『延喜式祝詞』に収録されて現存する古代祝詞文学の最高峰。【記録】霊亀2(716)年に初例、寛弘2(1005)年最終例まで約290年間に26例の奏上記録(『出雲国造神賀詞奏上記』、L0)。【祭祀的特殊性】天皇家以外の氏族が天皇即位儀礼に直接関与する古代日本で稀有な事例、出雲国造家の特殊地位の神話的根拠。神話的には「天穂日命=出雲国造祖が大国主に従属した」結果として、出雲祭祀権を出雲国造家が代々継承する正統性、それを天皇即位時に確認する儀礼。【意義】「皇統+出雲国造家」の二元的祭祀体制の確認、ヤマト政権と出雲在地祭祀の連合関係の継続的表現。【現代】平成・令和の皇位継承では奏上行われず形式上は終了、しかし出雲大社では現代も古伝新嘗祭等の継承継続。	延喜式祝詞(出雲国造神賀詞)|出雲国造神賀詞奏上記|新撰姓氏録|出雲国造系図	
MOTIF-008	【出雲振根説話】崇神朝、出雲の有力豪族・出雲振根が朝廷の使者・武渟川別に殺害された伝承(『日本書紀』崇神60年)。【説話の内容】崇神60年、朝廷が出雲の神宝(神宝=ヤマト政権が出雲祭祀を統括するための象徴)を献上させる際、出雲振根が筑紫に出張中、弟・飯入根(いいいりね)が独断で献上、振根は帰国後に怒り、止屋之淵(やまやのふち)で飯入根を木刀に欺かれて殺害、これに対し朝廷が武渟川別(四道将軍の一)を派遣し振根を討つ。【意味論】出雲のヤマト政権服属の物理的画期、地方豪族抑圧と祭祀権の朝廷化の象徴的事件として『日本書紀』が記録した(L0、伝承の歴史的核を持つ可能性、L2-L3)。【出雲神話との関係】神代の国譲り神話(神話的服属)に対し、人代の出雲振根追討は「歴史的服属」の物理的完結、両者で出雲統合の神話・歴史的構造を完成。【意宇郡】出雲の中心が意宇郡(現松江市)から大和の支配下に移行した時期、考古学的には4世紀の出雲西部の古墳分布(出雲西部の四隅突出型墳丘墓終焉、東部=意宇の前方後円墳化)と対応する可能性。	日本書紀(崇神紀)|出雲国造神賀詞|出雲国風土記	
MOTIF-009	【八幡神顕現】豊前国宇佐(現大分県宇佐市)の地で、八幡神(やはたのかみ、はちまんしん)が顕現したとされる神話・伝承。【欽明朝降臨伝承】欽明朝(在位539-571)に宇佐の御許山(おもとさん)に降臨したとされる(『宇佐託宣集』『八幡愚童訓』、L2)、ヤマト政権の九州南進政策と関連した在地神格の朝廷祭祀化。【応神同体視】奈良時代に応神天皇神霊と同体視され「八幡=応神」が定説化、これによって八幡神は皇祖神格の一柱として位置確立。【八幡大菩薩号】天平勝宝元(749)年、東大寺大仏造立への協力託宣を出して上京、聖武天皇から「八幡大菩薩」号授与(『続日本紀』、L0史料記録)、日本初の神への菩薩号、神仏習合の最初の正式例。【道鏡事件】神護景雲3(769)年、和気清麻呂が宇佐神託「皇緒を以て継ぐべし」を奉じて道鏡の皇位簒奪を阻止(L0、史実)、皇統護持神化。【全国展開】貞観元(859)年石清水勧請、康平6(1063)年鶴岡勧請を経て全国八幡社4万余で日本最多神社系統に。【意義】記紀外の在地神が、応神との習合と神仏習合(菩薩号授与)を経て国家神格化した日本独自の発展形態、神道思想史の重要事例。	続日本紀(天平勝宝元年)|宇佐宮御託宣集|八幡愚童訓|石清水八幡宮文書	
MOTIF-010	【神功皇后三韓征討】神功皇后(DEI-183)の新羅・百済・高句麗遠征の伝承的事跡(『日本書紀』神功摂政前紀)。【神話の流れ】仲哀天皇が筑紫橿日宮で熊襲征伐を計画中、神功皇后に憑依した住吉三神(底筒・中筒・表筒)が「西の国(新羅)に黄金・金銀の国あり」と託宣、信じなかった仲哀は急逝。神功は男装し胎中の応神を腰に石を巻いて出産を遅らせ、新羅遠征を敢行、新羅王波沙寝錦(はさむきん)を降伏させ「東に向きて長く西に向くことなし」と誓わせ、百済・高句麗も朝貢を約束。凱旋後、応神を筑紫宇美(うみ=産み)で出産、住吉三神を住吉に祀る。【史実性論争】伝承的紀年(神功摂政=200-269)では中国南朝『宋書』倭国伝の倭の五王時代と接続しないが、4世紀後半の倭の半島出兵の神話化とする説有力(L2-L4)。広開土王碑(414年、好太王碑)の倭の半島出兵記事と関連付ける研究多数。【卑弥呼比定説】書紀編纂者は神功紀に『魏志倭人伝』の卑弥呼関連記事を割注で引用、書紀編纂者の神功=卑弥呼比定意図あり(L2、書紀編纂方針)、しかし実年代は世紀ずれて別人格とするのが学界通説(L4は神功=卑弥呼直接同一性)。【信仰】住吉大社(SHR-015、第四宮神功)・宇佐神宮第三殿・八幡三神の一柱として全国八幡社で祀られる。	日本書紀(仲哀紀・神功摂政紀)|住吉大社神代記|魏志倭人伝(神功紀割注)|広開土王碑文(414年)	
MOTIF-014	【垂仁朝伊勢創建】崇神朝に皇居から外に出された天照大神を、垂仁朝に倭姫命(やまとひめのみこと、DEI-091)が御杖代として奉持し、大和→伊賀→近江→美濃→尾張→伊勢を巡って伊勢国五十鈴川上に鎮座したとされる神話(『日本書紀』垂仁紀、『倭姫命世記』)。【元伊勢伝承】倭姫巡幸は20数ヶ所の元伊勢候補地(籠神社=丹後一宮、伊勢神社=摂津、檜原神社=三輪山麓等)を経たとされる(L2-L3)、各候補地に元伊勢伝承を残す。【鎮座年代】伝統では垂仁26年(BCE5)、考古学的には3-4世紀のヤマト政権の伊勢国制圧との関連(L2-L4)。【斎宮制度の起源】倭姫命の御杖代=神霊の依代を範として、後の皇女斎宮制度(未婚の皇女が伊勢神宮の祭主として奉仕する制度、雄略朝〜南北朝期約700年継続)が確立。【神宮制度】持統4(690)年第1回式年遷宮で20年周期祭祀システムが開始、現代まで62回継承。【意義】皇祖神=天照大神の祭祀拠点が、最初に皇居→宮中外(笠縫邑、崇神朝)→伊勢(垂仁朝)へと段階的に独立化、皇室祭祀の独立確立とヤマト政権の伊勢国経略の神話的画期、全国神社の本宗化の起点。	日本書紀(崇神紀・垂仁紀)|皇大神宮儀式帳|倭姫命世記|延暦儀式帳	
