ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-001	旧石器	約11〜12万年前(後期更新世)	BCE 約120000	-	砂原遺跡(出雲市多伎町)で石器発見。日本最古級と主張されるが年代論争あり	考古遺跡	-	-	-	-	-	-	-	出雲(現・島根県出雲市多伎町)	砂原遺跡	チャート製剥片石器	松藤和人ほか発掘報告(2009-)	考古学	B	1	約12万年前説 / 約4万年前以降説	-	-	-	-	出土石器の層位的検出	日本人類史起源論議に影響	年代決定方法に学術論争あり
IZM-002	縄文	縄文早期〜晩期(約13000〜2500年前)	BCE 約11000-500	-	出雲地方の縄文遺跡群。漁労・採集の定住化	考古遺跡	-	-	-	-	-	-	-	出雲全域(島根県東部)	姫原西遺跡、原山遺跡	縄文土器、石器	島根県教育委員会発掘報告	考古学	A	0	-	-	不明(土偶・石棒等の祭祀的遺物は限定的)	-	-	多数の縄文遺跡からの出土	弥生・古墳期文化の基層	縄文期の出雲は東日本ほど密度高くない
IZM-003	弥生	弥生前期〜中期(BCE 5世紀〜CE 1世紀)	BCE 500-CE 100	-	水田稲作の伝来と弥生集落の形成。斐伊川・神戸川流域に拠点化	考古遺跡	-	-	-	-	-	-	-	出雲(斐伊川・神戸川流域)	田和山遺跡、原田遺跡	弥生土器、木製農具	田和山遺跡発掘報告	考古学	A	0	-	-	田和山遺跡は環濠と宗教施設の可能性	-	-	田和山遺跡の三重環濠	後の出雲首長層の基盤	田和山遺跡の機能解釈は諸説
IZM-004	弥生	弥生後期(CE 1〜3世紀)	CE 50-250	-	山陰〜北陸に展開する四隅突出型墳丘墓が出雲で発達	考古遺跡	-	-	-	-	-	出雲首長層	-	出雲・伯耆・因幡・北陸	西谷墳墓群、宮山墳墓群	四隅突出型墳丘墓、貼石、立柱	近藤義郎ほか研究	考古学	A	0	-	四隅の突出は祭祀的意義の可能性	首長祭祀、葬送儀礼の独自性	山陰の独自的政治圏の存在を示唆	-	30基以上の確認	古墳時代前方後円墳採用前の独自展開	大和の前方後円墳と異なる文化圏を示唆
IZM-005	弥生	弥生後期後半(CE 2〜3世紀)	CE 100-250	-	西谷3号墓は四隅突出型墳丘墓最大級(約40m×30m)。出雲の首長墓	考古遺跡	-	-	-	-	-	出雲首長層	-	出雲(出雲市大津町)	西谷墳墓群(西谷3号墓)	ガラス勾玉、鉄器、土器棺	島根県教育委員会、出雲市発掘報告	考古学	A	0	-	-	首長を頂点とする祭祀儀礼の物質的痕跡	出雲が独立的政治勢力であった証左	-	西谷3号墓の規模と副葬品	大国主神話との対応可能性(仮説)	大量の供献土器(吉備系含む)を伴う
IZM-006	弥生	弥生中期〜後期(BCE 2〜CE 1世紀)	BCE 200-CE 100	-	1984年島根県斐川町で銅剣358本が一括出土。全国出土銅剣総数を凌駕	考古遺跡	-	-	-	-	-	-	-	出雲(出雲市斐川町神庭)	荒神谷遺跡	銅剣358本(中細形c類)	島根県教育委員会発掘報告(1984-1985)	考古学	A	0	-	-	大量埋納の祭祀的意義は議論	出雲を統括する強力な政治権威の存在を示唆	-	358本の銅剣の整然とした埋納	出雲神話再評価の契機	全国の銅剣総数(約300本)を一遺跡で超えた歴史的発見
IZM-007	弥生	弥生中期〜後期(BCE 2〜CE 1世紀)	BCE 200-CE 100	-	荒神谷遺跡で銅剣の隣接地点から銅矛16本・銅鐸6個が出土	考古遺跡	-	-	-	-	-	-	-	出雲	荒神谷遺跡	銅矛16本、銅鐸6個(古い様式)	島根県教育委員会発掘報告	考古学	A	0	-	-	異種青銅器の同時埋納(銅鐸=畿内系、銅矛=九州系)	複数の青銅器祭祀文化圏の交点だった可能性	-	銅剣坑と異なる埋納坑	弥生青銅器祭祀の再考の契機	銅鐸は古式(扁平鈕式)を含む
IZM-008	弥生	弥生中期〜後期(BCE 2〜CE 1世紀)	BCE 200-CE 100	-	1996年雲南市加茂町岩倉で銅鐸39口が一括出土。日本最多	考古遺跡	-	-	-	-	-	-	-	出雲(雲南市加茂町)	加茂岩倉遺跡	銅鐸39口(扁平鈕式・外縁付鈕式 等)	島根県教育委員会、雲南市発掘報告(1996-)	考古学	A	0	-	-	大量埋納の意義は議論	出雲が青銅器祭祀の中枢圏だった可能性	-	39口出土、入れ子構造を含む	出雲考古学の決定的史料	荒神谷から直線距離約3.4km
IZM-009	弥生	弥生終末期(CE 2〜3世紀)	CE 100-300	-	全国で銅鐸祭祀が終焉し古墳祭祀に転換。出雲も同様の動き	祭祀	国譲り神話(対応可能性)	-	-	-	-	-	-	出雲・近畿・東海	-	銅鐸(後期は大型化、見る銅鐸へ)	佐原真ほか研究	現代研究	B	2	廃棄説 / 一斉破却説 / 隠匿後の埋納説 / 国譲り神話対応説	国譲り=祭祀権の移譲のメタファー	共同体祭祀から首長祭祀(古墳)への転換	ヤマト王権による祭祀統制の伸長と関連の可能性	-	銅鐸の集中埋納、3世紀以降の銅鐸消失	古墳時代開始の画期	国譲り神話との対応は仮説的
IZM-010	古墳	古墳前期(CE 3〜4世紀)	CE 250-400	-	出雲は前方後方墳が主流。前方後円墳とは異なる墳形を採用	考古遺跡	-	-	-	-	-	出雲首長層、意宇・神門の地域勢力	-	出雲全域	大寺古墳、神原神社古墳	前方後方墳、三角縁神獣鏡	渡辺貞幸ほか研究	考古学	A	1	前方後方墳=反ヤマト説 / 前方後方墳=ヤマトとの差別化説	-	葬送儀礼の独自性	ヤマト王権との一定の独立性	-	前方後方墳の集中分布	後期に前方後円墳採用へ移行	神原神社古墳から景初3年銘三角縁神獣鏡
IZM-011	古墳	古墳後期(CE 6世紀)	CE 500-600	-	全長約94mの山代二子塚古墳。古墳後期最大級の前方後方墳	考古遺跡	-	-	-	-	-	出雲国造の前身首長層	-	出雲(松江市山代町)	山代二子塚古墳	前方後方墳、須恵器、形象埴輪	島根県教育委員会発掘報告	考古学	A	1	-	-	首長祭祀の最終段階	6世紀に至るも前方後方墳を選択する独自性	後の意宇=出雲国造家との関連の可能性	全長94mの巨大前方後方墳	出雲国造の本拠地化	6世紀後半まで前方後方墳が築造された全国でも稀な地
IZM-012	古墳	古墳前期〜後期(CE 3〜7世紀)	CE 250-700	-	出雲西部(神門・出雲郡)と東部(意宇・嶋根郡)で古墳分布・首長墓に差。後期は東部優位	考古遺跡	-	-	-	-	-	西部:神門臣、東部:意宇氏(後の出雲国造)	神門臣、意宇氏	出雲西部・東部	-	前方後方墳の分布パターン	渡辺貞幸ほか研究	現代研究	B	2	東西別系統説 / 単一首長層の本拠移動説	-	-	西部の杵築(出雲大社)と東部の意宇(国造本拠)の二極構造の起源	出雲国造が東部出身で西部祭祀を統括する後の構造	古墳分布の地理的差	出雲国造の意宇から杵築への移転(8世紀末〜9世紀)	出雲国風土記でも東西の伝承差が見える
