ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-031	神代	神話時代	不明	-	大国主の異名群:大穴牟遅(オオナムチ)、葦原色許男、八千矛、宇都志国玉、大物主、所造天下大神	系譜	出雲神話、大国主神話	出雲大社、大神神社、宗像系、各地国魂神社	大国主、大穴牟遅、葦原色許男、八千矛、宇都志国玉、大物主	-	-	-	-	出雲・大和・全国	-	-	古事記、日本書紀、出雲国風土記	神話、系譜資料	C	1	複数神格の習合説 / 単一神の機能名説 / 大物主は別神説	国土の主、土地神、王権神	出雲祭神の中核	地方神を統合する神格構造	複数地方氏族の祖神化の核	-	「縁結びの神」「国魂神」として全国展開	書紀本文では「所造天下大神」が頻用
IZM-032	神代	神話時代	不明	-	八十神(八十神兄弟)が八上比売を娶ろうと因幡へ向かい、大穴牟遅を従者として使役	神話エピソード	因幡白兎前段	-	大国主(大穴牟遅)、八上比売	八十神	-	-	-	出雲〜因幡	-	-	古事記	神話	C	0	八十神=兄弟神 / 同族の競合者集団	若年王の試練	-	兄弟間の継承競争の神話化	大国主は末弟扱いされる	-	-	古事記独自の伝承(書紀には欠ける)
IZM-033	神代	神話時代	不明	-	因幡の気多前で皮を剥がれた白兎を救い、治療法を授ける(蒲の穂綿)	神話エピソード	因幡の白兎	白兎神社(鳥取市)	大国主、因幡素菟	-	-	-	-	因幡(現・鳥取市白兎海岸)	-	-	古事記	神話	C	0	白兎=和邇(ワニ=サメ)を欺いた由来譚 / 渡来神話起源説	慈悲、医療神、白兎は神の使い	医療神大国主の起源	-	-	-	「日本最古の医薬書」性、現代の医療祈願	古事記のみ。書紀には登場しない
IZM-034	神代	神話時代	不明	-	白兎の予言通り、八上比売が大穴牟遅を選び結婚。八十神に殺意を抱かれる	神話エピソード	因幡白兎、八十神迫害	-	大国主、八上比売	-	-	-	-	因幡・出雲	-	-	古事記	神話	C	0	-	末弟が選ばれる神話的逆転	-	兄弟間継承の逆転	八上比売との間に「木俣神」が生まれる	-	縁結び神話の起点	八上比売は出雲に来ず木俣神を残し因幡へ帰る伝
IZM-035	神代	神話時代	不明	-	八十神の迫害:赤猪と称した熱した岩、木の俣の挟み殺し。母神の蘇生	神話エピソード	八十神迫害、母神の蘇生	-	大国主、母刺国若比売、貝比売・蛤貝比売(蘇生神)	八十神	-	-	-	出雲(伯伎国手間山)	-	-	古事記	神話	C	0	貝比売=赤貝、蛤貝比売=蛤の擬人化	死と再生、母性	医療・蘇生の神話的起源	-	貝比売・蛤貝比売は産霊系統の神	-	医療・薬草伝承の原型	書紀には簡略な異伝のみ
IZM-036	神代	神話時代	不明	-	母神の助言で根の堅州国(スサノオの世界)へ赴き、スセリビメと出会い結婚	神話エピソード	根の国訪問、スセリビメ婚姻	-	大国主、スサノオ、スセリビメ	-	-	-	-	根の堅州国(神話空間)	-	-	古事記	神話	C	0	根の国=黄泉国 / 別世界 / 出雲西部の地名(根の国=島根半島の地)説	冥界訪問、英雄の通過儀礼	-	-	スセリビメは大国主の正妻となる	-	冥界訪問譚の原型	書紀本文には欠如、書紀一書に類話
IZM-037	神代	神話時代	不明	-	スサノオから蛇室・百足蜂室・野焼きの試練を受け、スセリビメの助力で全て突破。生大刀・生弓矢・天詔琴を得て逃走	神話エピソード	根の国の試練	-	大国主、スサノオ、スセリビメ	ネズミ(助力者)	-	-	-	根の堅州国	-	-	古事記	神話	C	0	-	試練と通過儀礼、青年神の成熟	王権の象徴(剣・弓・琴)獲得	出雲祭祀権の継承神話	スサノオから王権の三品を継承	-	「英雄の旅」原型	生大刀・生弓矢・天詔琴は王権神器の原型
IZM-038	神代	神話時代	不明	-	「葦原色許男」の名を授けられ、八十神を平定し、葦原中国の支配者となる	神話エピソード	国の平定	-	大国主	八十神	-	-	-	出雲・葦原中国	-	-	古事記	神話	C	0	-	若年王の凱旋、王権確立	出雲を含む地上世界の王権確立	八十神を制圧	出雲祭祀王の系譜的確立	-	-	-
IZM-039	神代	神話時代	不明	-	海から「天乃羅摩船(ガガイモの船)」に乗り、蛾の皮の衣を着たスクナビコナが来訪。共に国造りを進める	神話エピソード	国造り	-	大国主、少名毘古那(スクナビコナ)、神産巣日神	-	-	-	-	出雲	-	-	古事記、日本書紀	神話	C	0	スクナビコナ=神産巣日神の御子(古事記) / 高皇産霊神の御子(書紀)	小さな神(矮小神)、医療・酒造・農耕の神	出雲祭祀の核、地方開発神話	「国作り」=農地・水利・医薬の整備	大国主の補佐神格	-	医薬・酒造・温泉の祖神化	書紀の系譜伝承では神産日神 vs 高皇産霊で異伝
IZM-040	神代	神話時代	不明	-	スクナビコナが常世国へ去る。代わりに海を照らして来た「光海依来神」が御諸山(三輪山)に祀られる	神話エピソード	スクナビコナ離脱、大物主祭祀	大神神社、三輪山	大国主、少名毘古那、大物主	-	-	-	-	出雲・大和(三輪)	三輪山(信仰対象)	-	古事記、日本書紀	神話	C	1	光海依来神=大物主、大物主=大国主の幸魂奇魂(古事記) / 大物主は別神(書紀の一伝)	幸魂奇魂(さきみたま・くしみたま)、霊魂分有	出雲祭祀の大和への接続	出雲祭祀権の大和への伸長または逆方向の取り込み	大国主と大物主の同体・別体論争の核	三輪山祭祀遺跡(古墳時代以降)	大神神社祭祀、三輪信仰、出雲—大和の連結	出雲神話を皇都(纒向)近郊に位置づける重要記述
IZM-041	神代	神話時代	不明	-	高志国(越)のヌナカワヒメに求婚。「八千矛神」の神語による求婚歌	神話エピソード	ヌナカワヒメ求婚	奴奈川神社(糸魚川)	大国主(八千矛)、ヌナカワヒメ	-	-	-	-	高志国(越、糸魚川)	糸魚川産翡翠の出雲出土	翡翠製勾玉	古事記	神話	C	0	八千矛神=戦争神格 / 大国主の別名	求婚歌の文学性、政治婚	出雲—越の同盟ネットワーク	高志国との連結、後にタケミナカタ(諏訪へ)を生む	翡翠交易の物質的裏付け(出雲・諏訪・越)	出雲遺跡からの糸魚川産翡翠	タケミナカタ諏訪神話の前段	古事記の「神語」(歌物語)として残る、書紀には欠如
IZM-042	神代	神話時代	不明	-	スセリビメの嫉妬と、大国主の歌での宥め(神語)	神話エピソード	正妻問題、神語	-	大国主、スセリビメ	-	-	-	-	出雲	-	-	古事記	神話	C	0	-	夫婦和合、女神の主権性	-	スセリビメ=正妻、八上比売・ヌナカワヒメ=側妻の関係	大国主に多くの子(180神)	-	男女の感情を扱った日本最古級の文学	古事記の神語(歌物語)
