事例	mythic_time	estimated_historical_time	document_written_time	備考
国譲り	神代	不明(対応可能性: CE 200-600 銅鐸祭祀終焉〜古墳期説 L2)	CE 712(古事記)|CE 720(日本書紀)|CE 716以降(出雲国造神賀詞)|CE 927(延喜式)	三層が完全に異なる時間を指す典型例
天孫降臨	神代	不明	CE 712(古事記)|CE 720(日本書紀)	estimated_historical_time が学術的に「不明」と書く重要性
神武東征	神武即位前	不明(諸説 BCE 660皇紀基準/CE 250-400/CE 6世紀 L4-L5)	CE 712(古事記)|CE 720(日本書紀)	皇紀(BCE 660)は document_written_time の世界観
ヤマタノオロチ退治	神代	不明(対応可能性: 弥生後期の出雲首長層形成と砂鉄資源支配 L3)	CE 712(古事記)|CE 720(日本書紀)|CE 733(出雲国風土記には欠如)	風土記欠如は重要な異伝(L1-L2)
出雲国造神賀詞奏上(果安)	-	CE 716	CE 797(続日本紀)	歴史事象、mythic_time は無し
寛文造営(出雲大社)	-	CE 1667	近世造営記録	歴史事象
平成大遷宮(出雲大社)	-	CE 2008-2013	出雲大社平成大遷宮資料	歴史事象、document=現代
崇神朝の出雲振根説話	崇神朝	不明(対応可能性: CE 200-400 ヤマト勢力の出雲服属説 L2)	CE 720(書紀崇神紀60年条)	mythic_time は神武紀年で「崇神朝」、書紀のみ
国引き神話	神代(出雲創成)	不明(出雲—新羅—高志の交易ネットワーク仮説 L3)	CE 733(出雲国風土記)	記紀には欠如する出雲独自神話
銅鐸祭祀の終焉	-	CE 100-300(弥生終末期)	CE 1984-1996(荒神谷・加茂岩倉発見の現代研究)	考古学事象。mythic_time は「神代」の対応可能性のみ仮説的(L2)
