master_id	canonical_name	canonical_reading	old_names	alternative_names	prefecture	address	coordinates	main_deity_ids	secondary_deity_ids	related_clan_ids	shrine_rank_ancient	shrine_rank_modern	founding_year_estimated	founding_legend	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source	coordinates_accuracy	coordinates_source	coordinates_verified_at	visualization_confidence	coordinates_source_url	coordinates_note
SHR-001	出雲大社	いずもおおやしろ	杵築大社|杵築神社	出雲大神宮(古名)	島根県	島根県出雲市大社町杵築東195	35.4020,132.6850	DEI-001	DEI-009|DEI-010	-	名神大社|出雲国造神賀詞奏上社	官幣大社|別表神社	不明(神話時代)	国譲り後にタカミムスビが大国主のために天日隅宮を造営	古代高層神殿伝承(48m級、IZM-119/125連結)。明治4年改称	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%87%BA%E9%9B%B2%E5%A4%A7%E7%A4%BE	
SHR-002	皇大神宮	こうたいじんぐう	伊勢神宮内宮	伊勢神宮(内宮)	三重県	伊勢市宇治館町1	34.4550,136.7252	DEI-003	DEI-091|DEI-092	-	名神大社|二十二社	官幣大社|神宮(本宗)	垂仁天皇25年(BCE 5、伝)	倭姫命の御杖代巡幸の末に鎮座	式年遷宮20年周期。神宮125社の中心	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%9A%87%E5%A4%A7%E7%A5%9E%E5%AE%AE	内宮
SHR-003	豊受大神宮	とようけだいじんぐう	伊勢神宮外宮	伊勢神宮(外宮)	三重県	伊勢市豊川町279	34.4872,136.7029	DEI-081	DEI-005|DEI-006	-	名神大社	官幣大社|神宮	雄略天皇22年(478、伝)	豊受大神を丹波から遷座	豊受大神は deity_master 未登録。次回追加予定	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E8%B1%8A%E5%8F%97%E5%A4%A7%E7%A5%9E%E5%AE%AE	外宮
SHR-004	熊野大社	くまのたいしゃ	熊野坐神社	-	島根県	松江市八雲町熊野2451	35.3732,133.0705	DEI-002	-	CLN-NN(出雲国造)	名神大社|出雲国一宮	国幣大社|別表神社	不明(神話時代)	出雲国造祭祀の本源、火継神事の発祥	祭神「熊野加武呂命」=スサノオ別名(社伝)。出雲国造はここで火継神事を行う(IZM-083, 134)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%86%8A%E9%87%8E%E5%A4%A7%E7%A4%BE	
SHR-005	熊野本宮大社	くまのほんぐうたいしゃ	熊野坐神社|本宮	紀伊熊野三山の本宮	和歌山県	田辺市本宮町本宮1110	33.8402,135.7736	DEI-002	-	-	名神大社	官幣大社|別表神社	崇神天皇65年(伝)	熊野権現降臨伝	祭神「家都美御子大神」=スサノオ同体説。出雲熊野との関係は仮説レベル2-3	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E7%86%8A%E9%87%8E%E6%9C%AC%E5%AE%AE%E5%A4%A7%E7%A4%BE	
SHR-006	諏訪大社	すわたいしゃ	諏訪神社	諏訪明神	長野県	諏訪市・茅野市・下諏訪町(四宮)	35.9985,138.1238	DEI-010	DEI-029|DEI-132|DEI-133	CLN-NN(諏訪氏・守矢氏)	名神大社|信濃国一宮	官幣大社|別表神社	不明	タケミナカタが諏訪へ退避(古事記)	四宮制(上社本宮・前宮、下社春宮・秋宮)。各宮を別レコード化検討中。守矢氏ミシャグジ信仰と重層	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	approximate	manual	2026-05-25T00:00:00	textual		
SHR-007	鹿島神宮	かしまじんぐう	鹿島大神宮	-	茨城県	茨城県鹿嶋市宮中2306-1	35.9689,140.6315	DEI-011	DEI-160	CLN-NN(中臣氏→藤原氏)	名神大社|常陸国一宮	官幣大社|別表神社	神武天皇即位年(伝)	タケミカヅチ鎮座伝承	国譲り武神を祭る東国の中軸社。藤原氏氏神として春日大社に分祀	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%B3%B6%E7%A5%9E%E5%AE%AE	
SHR-008	香取神宮	かとりじんぐう	香取大神宮	-	千葉県	香取市香取1697-1	35.8861,140.5287	DEI-012	DEI-160	CLN-NN(物部氏)	名神大社|下総国一宮	官幣大社|別表神社	神武天皇18年(伝)	フツヌシ鎮座伝承	物部氏氏神。書紀では国譲り主役。鹿島と並ぶ東国武神	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E9%A6%99%E5%8F%96%E7%A5%9E%E5%AE%AE	
SHR-009	宗像大社	むなかたたいしゃ	宗像神社	宗像三女神社	福岡県	宗像市田島2331(辺津宮)	33.8308,130.5142	DEI-019	DEI-017|DEI-018	CLN-NN(宗像氏)	名神大社|筑前国一宮	官幣大社|別表神社	不明(古墳期から祭祀)	誓約で生まれた宗像三女神を奉斎	辺津宮(田島)・中津宮(大島)・沖津宮(沖ノ島)の三宮制。沖ノ島祭祀遺物群=「海の正倉院」(国宝)	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%AE%97%E5%83%8F%E5%A4%A7%E7%A4%BE	辺津宮
SHR-010	大神神社	おおみわじんじゃ	-	三輪明神	奈良県	奈良県桜井市大字三輪1422番	34.5288,135.8530	DEI-014	DEI-008	CLN-NN(三輪氏)	名神大社|大和国一宮	官幣大社|別表神社	崇神天皇朝(神話的)	大物主の神托で大田田根子が祀る	本殿を持たず三輪山自体が神体。最古層神道形態。崇神朝祟り神話の中心	verified	existence	2026-05-25T00:00:00	claude	auto-init: 古代社格保持	exact	wikipedia	2026-05-28T00:00:00	textual	https://ja.wikipedia.org/wiki/%E5%A4%A7%E7%A5%9E%E7%A5%9E%E7%A4%BE	
