motif_id	motif_name	category	summary	related_deities	related_shrines	related_regions	related_clans	related_myths	earliest_sources	symbolic_meaning	ritual_meaning	political_meaning	archaeological_possible_relation	related_folklore	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source
MOTIF-001	国譲り	王権神話	出雲が地上の支配を皇統に譲る神話	DEI-001|DEI-011|DEI-012|DEI-013	SHR-001|SHR-007|SHR-008	出雲・常陸・下総	CLN-001|CLN-008|CLN-009	MYTH-002	古事記|書紀|神賀詞	祭祀権の譲渡	出雲祭祀の朝廷化	ヤマト王権の出雲服属の神話化(L2)	銅鐸祭祀の終焉(IZM-009)	-	HYP-004	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-002	天孫降臨	王権神話	ニニギが高千穂に降臨	DEI-015|DEI-007	SHR-042|SHR-067	日向・大隅	-	MYTH-067	古事記|書紀	皇統の天上起源	皇統の正統化	日向高千穂と霧島高千穂の論争	-	-	高千穂比定論争	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-003	国生み・国産み	王権神話	イザナギ・イザナミによる島々の生成	DEI-005|DEI-006	-	日本列島全体	-	-	古事記|書紀	国土の神聖性起源	全国祭祀の根拠	日本列島=神聖空間化	-	-	列島誕生の神話	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-004	三種神器	王権神話	草薙剣・八咫鏡・八尺瓊勾玉	DEI-003	SHR-002|SHR-126|SHR-011	伊勢・尾張・大和	皇統	-	古事記|書紀	皇位の象徴	皇統正統化	皇統の物質的根拠	古墳出土剣鏡玉	-	皇位継承の中核	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-005	神武東征	王権神話	神武天皇の日向→大和東遷	DEI-051|DEI-016	-	日向〜大和	皇統	MYTH-049|MYTH-050	古事記|書紀	皇統の地理的確立	大和王権成立	弥生人東遷の神話化説(L2-L4)	大和盆地の弥生集落	落人伝承との混同注意	皇紀基準	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-006	崇神朝祭祀整備	王権神話	大物主祟りを大田田根子で鎮める	DEI-014	SHR-010	大和(三輪)	CLN-015	MYTH-059	書紀崇神紀	古層神祇制度の起点	王権祭祀の確立	纒向期祭祀の起源神話	纒向遺跡	-	祟り神信仰の原型	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-007	国造神賀詞奏上	王権神話	出雲国造による朝廷祭祀	DEI-013	SHR-001	出雲・大和	CLN-001	-	続日本紀|延喜式	祭祀朝貢	出雲祭祀の中央化	出雲国造の地位確認	-	-	霊亀2年(716)初奏上	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-008	出雲振根説話	王権神話	崇神朝の出雲神宝献上事件	-	-	出雲	CLN-001	MYTH-006	書紀崇神紀	祭祀権の収奪	出雲のヤマト服属	6世紀史実反映説(L2)	-	-	書紀のみ	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-009	八幡神顕現	王権神話	欽明朝に八幡神宇佐顕現	DEI-035	SHR-016	豊前(宇佐)	-	MYTH-071	宇佐宮御託宣集	皇統との結合	八幡=応神同体	古代北部九州祭祀の神話化	-	-	全国八幡信仰起点	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-010	神功皇后三韓征討	王権神話	神功皇后による朝鮮半島征討伝	-	SHR-073|SHR-009|SHR-015	筑紫・朝鮮半島	CLN-021|CLN-029|CLN-016	MYTH-039	書紀	古代対朝鮮交渉の神話化	八幡信仰の前提	古代国際関係(L2)	-	-	史実性は議論	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
