ID	時代	推定年代	西暦	和暦	出来事	分類	関連神話	関連神社	関連祭神	関連人物	関連皇族	関連豪族	関連氏族	関連地域	関連遺跡	関連考古資料	出典	史料種別	史実性レベル	仮説レベル	複数説	神話的象徴	祭祀的意味	政治的意味	系譜的意味	考古学的根拠	後世への影響	備考
IZM-074	神代	神話時代	不明	-	アメノホヒが出雲国造の祖神。アマテラスの子で、国譲りに派遣されて大国主に懐柔された経緯を持つ	系譜	国譲り、出雲国造の祖	出雲大社	アメノホヒ	-	-	出雲国造	出雲臣、土師氏、菅原氏	出雲	-	-	古事記、日本書紀、出雲国造神賀詞	神話、系譜資料	C	0	国造神賀詞では肯定的に描写、記紀では復命せずと否定的	祖神化、王権から地方への神格分与	出雲祭祀の中央権威付け	出雲国造の血統的正統性	アメノホヒ→建比良鳥命→…→果安	-	出雲国造、土師氏、菅原氏(菅原道真)	アメノホヒからの系譜は出雲国造神賀詞・先代旧事本紀で詳細
IZM-075	古墳〜飛鳥	5〜7世紀	CE 400-700	-	出雲国造の系譜が形成。意宇郡を本拠とする「意宇氏」段階	系譜	-	-	-	出雲国造歴代	-	出雲国造	意宇氏(出雲臣)	出雲(意宇郡)	山代古墳群、岡田山1号墳	岡田山1号墳「額田部臣」銘大刀	先代旧事本紀「国造本紀」	系譜資料、考古学	B	1	意宇氏=出雲国造の前身説 / 別系統合流説	-	意宇神社圏(熊野大社など)の形成	地方首長から国造への昇格	意宇氏=後の出雲臣の祖	岡田山古墳群、山代二子塚古墳	出雲東部勢力の中央化	IZM-015と接続
IZM-076	飛鳥〜奈良	7世紀	CE 600-700	-	意宇郡(現・松江市東部〜安来市)が出雲国造の本拠。熊野大社が国造祭祀の中心	政治事件	-	熊野大社	-	-	-	出雲国造	出雲臣	出雲(意宇郡)	-	-	出雲国風土記、先代旧事本紀	風土記、系譜資料	A	0	-	-	意宇=出雲祭祀の本源	国造制下の地方支配	-	-	出雲国造の本拠が意宇から杵築へ移る前段	「意宇」は「奥」の語源説あり
IZM-077	飛鳥〜奈良	7世紀後半〜8世紀	CE 670-800	-	律令制施行後、出雲国造は国司と並立して祭祀権を保持。律令官人化と祭祀官の二重構造	政治事件	-	-	-	出雲国造果安、広島	天武天皇、文武天皇、元明天皇	出雲国造	出雲臣	出雲	-	-	続日本紀	正史	A	0	-	-	国家的祭祀統合の一環	律令官僚制と古代祭祀職の調整	-	-	全国でも稀な「国造の祭祀職存続」	国造の祭祀職を残したのは出雲国造と紀伊国造のみ
IZM-078	奈良	霊亀2年(716)	CE 716	霊亀2年	出雲国造果安が初めて出雲国造神賀詞を朝廷で奏上	神話エピソード	国譲り、神賀詞奏上	出雲大社	アメノホヒ、フツヌシ、コトシロヌシ、大国主	出雲国造果安、元正天皇	元正天皇	出雲国造	出雲臣	出雲・大和(朝廷)	-	-	続日本紀	正史	A	0	-	祭祀権の中央への朝貢	出雲祭祀の朝廷取込み	地方祭祀官の中央政治儀礼への参入	出雲国造の地位確認儀礼	-	出雲祭祀の国家化	続日本紀霊亀2年2月条
IZM-079	奈良〜平安	716-833	CE 716-833	霊亀2年〜天長10年	神賀詞の本文:アメノホヒが大国主を慰撫し、その御子神(コトシロヌシ・アヂスキタカヒコネ・カヤナルミ)を朝廷の守護神として配置する宣言	神話エピソード	神賀詞、国譲り	出雲大社	大国主、コトシロヌシ、アヂスキタカヒコネ、カヤナルミ	-	-	出雲国造	出雲臣	出雲・大和	-	-	延喜式祝詞	正史、社伝	A	0	記紀との差異:アメノホヒの懐柔が肯定的、御子神を皇都守護に配置	出雲祭神の朝廷化	地方祭祀の中央祭祀への組み込み	出雲御子神を皇都守護に配置=祭祀地理学的同盟	大国主御子神の中央化	-	皇統と出雲祭祀の構造的接続	延喜式に祝詞テキスト残存
IZM-080	平安	承和10年(843)以降	CE 843以降	承和10年〜	神賀詞奏上記録は承和年間で途絶。以降の中央祭祀から後退	政治事件	-	-	-	-	-	出雲国造	出雲臣	出雲	-	-	続日本後紀	正史	A	1	承和10年で公式記録が途絶 / 一部地方記録では以降も継続説	-	-	国造祭祀の朝廷儀礼からの後退	-	-	出雲国造の中央権威の縮小	承和10年(843)が最終公式記録
IZM-081	古墳(神話時代)	崇神朝(神話年代)	不明	-	出雲振根説話:崇神天皇が出雲の神宝を求める。兄振根が筑紫滞在中、弟飯入根が独断で献上、振根が帰国後弟を殺害、朝廷から討伐	神話エピソード	出雲服属、神宝献上	-	-	出雲振根、飯入根	崇神天皇	出雲臣	出雲臣	出雲	-	-	日本書紀(崇神紀60年条)	正史	C	0	崇神朝60年は神話的設定 / 6世紀代の史実反映説	武威、兄弟相剋	出雲祭祀権・神宝の中央への収奪	出雲のヤマト服属の神話化	-	-	出雲祭祀史の重要転換点	書紀に詳述、古事記には欠如
IZM-082	平安	9世紀末〜10世紀	CE 880-950	寛平〜延喜年間	出雲国造の本拠が意宇郡から杵築(出雲大社所在地)へ移る	政治事件	-	出雲大社	-	-	-	出雲国造	出雲臣	出雲	-	-	諸社家文書	社伝	B	1	移転年代諸説(承和年間/寛平年間/延喜年間)	-	祭祀職としての国造への純化	祭祀権を出雲大社中心に集約	-	-	出雲大社の権威確立	律令官僚制下の国司と祭祀官の機能分化
IZM-083	古代〜現代	古代〜	-	-	火継神事(神火相続式):新国造が即位の際、神火を相続し、新たな飯と火を一切人と共にしない	祭祀	-	出雲大社、熊野大社	-	出雲国造歴代	-	出雲国造	千家、北島	出雲	-	-	出雲国造家文書	社伝	A	0	-	神火による神格継承、聖性	国造世襲祭祀の核	血統と神格の連続性	-	-	現代まで継続	即位後百日間は鹿肉食の制限など独自規定
