relation_id	source_id	source_type	relation_type	target_id	target_type	confidence_level	hypothesis_layer	temporal_scope	source_reference	notes
RLN-000019	CLN-021	clan	descended_from	綿津見三神	deity	B	L1	mythic	新撰姓氏録	阿曇氏祖神
RLN-000020	CLN-021	clan	primary_deity_of	SHR-079	shrine	A	L0	document	志賀海神社社伝	阿曇氏本拠社
RLN-000021	CLN-021	clan	located_in	信濃安曇野	region	A	L0	document	地名研究	内陸移住
RLN-000022	CLN-022	clan	descended_from	秦始皇帝	-	C	L3	mythic	新撰姓氏録	伝承的祖
RLN-000023	CLN-022	clan	primary_deity_of	SHR-035	shrine	A	L0	document	伏見稲荷大社社伝	秦氏の伏見稲荷祭祀
RLN-000024	CLN-022	clan	primary_deity_of	SHR-034	shrine	A	L0	document	松尾大社社伝	秦氏の松尾祭祀
RLN-000025	CLN-016	clan	performed_at	SHR-077	shrine	A	L0	document	沖ノ島祭祀遺跡	宗像氏沖ノ島祭祀
RLN-000026	CLN-016	clan	served	大和王権	-	A	L1	document	日本書紀	国家祭祀の主体
RLN-000027	CLN-029	clan	primary_deity_of	SHR-015	shrine	A	L0	document	住吉大社神代記	住吉氏(津守氏)祭祀
RLN-000028	CLN-029	clan	descended_from	住吉三神	deity	B	L1	mythic	住吉大社神代記	-
RLN-000029	CLN-028	clan	primary_deity_of	SHR-085	shrine	A	L0	document	籠神社社伝|海部氏系図	海部氏の籠神社祭祀
RLN-000030	CLN-028	clan	descended_from	彦火明命	deity	B	L1	mythic	海部氏系図(国宝)	-
RLN-000031	CLN-030	clan	primary_deity_of	SHR-126	shrine	A	L0	document	熱田神宮社伝	尾張氏の熱田祭祀
RLN-000032	CLN-030	clan	descended_from	彦火明命	deity	B	L1	mythic	先代旧事本紀	海部氏と同祖
RLN-000033	CLN-021	clan	allied_with	CLN-029	clan	B	L1	document	日本書紀	阿曇・住吉=神功皇后伝承の中軸
RLN-000034	CLN-021	clan	allied_with	CLN-016	clan	B	L1	document	日本書紀	阿曇・宗像=北部九州海人連合
RLN-000035	CLN-016	clan	mentioned_in	日本書紀	text	A	L0	document	日本書紀	-
RLN-000036	CLN-016	clan	mentioned_in	古事記	text	A	L0	document	古事記	-
RLN-000037	CLN-026	clan	located_in	備前備中	region	A	L0	document	続日本紀	-
RLN-000038	CLN-026	clan	descended_from	吉備津彦命	deity	B	L1	mythic	古事記|書紀	-
RLN-000039	CLN-026	clan	allied_with	大和王権	-	B	L1	document	書紀	-
RLN-000040	CLN-036	clan	primary_deity_of	SHR-059	shrine	A	L0	document	阿蘇神社社伝	阿蘇氏の阿蘇神社祭祀
RLN-000041	CLN-036	clan	descended_from	健磐龍命	deity	B	L1	mythic	阿蘇神社社伝	阿蘇都比古との関係
RLN-000042	CLN-037	clan	descended_from	火照命(海幸彦)	deity	C	L2	mythic	日本書紀	隼人=海幸末裔説
RLN-000043	CLN-037	clan	served	大和王権	-	B	L1	document	続日本紀	隼人楯・隼人舞
RLN-000044	CLN-038	clan	opposed_to	大和王権	-	A	L0	document	続日本紀	阿弖流為等の蝦夷抵抗
RLN-000045	出雲製鉄	-	archaeologically_linked	MYTH-095	myth_episode	C	L4	estimated	HYP-002	ヤマタノオロチ製鉄民征服譚説
RLN-000046	吉備製鉄	-	archaeologically_linked	温羅伝承	-	B	L2	estimated	諸学術研究	温羅=渡来製鉄民説
RLN-000047	金山彦神	deity	primary_deity_of	南宮大社	shrine	A	L0	document	南宮大社社伝	金属神総本宮
RLN-000048	金屋子神	deity	located_in	奥出雲	region	A	L0	document	金屋子神社社伝	出雲製鉄神
RLN-000049	天目一箇神	deity	descended_from	高皇産霊神	deity	B	L1	mythic	古語拾遺	忌部氏祖伝の鍛冶神
RLN-000050	CLN-022	clan	allied_with	CLN-040	clan	B	L1	document	諸記録	秦氏と山城賀茂の婚姻関係
RLN-000051	CLN-040	clan	descended_from	賀茂建角身命	deity	B	L1	mythic	古事記|社家文書	山城賀茂氏祖
RLN-000052	CLN-040	clan	primary_deity_of	SHR-013	shrine	A	L0	document	賀茂社家文書	上賀茂祭祀
RLN-000053	CLN-040	clan	primary_deity_of	SHR-014	shrine	A	L0	document	賀茂社家文書	下鴨祭祀
RLN-000054	CLN-014	clan	descended_from	阿遅鉏高日子根神	deity	B	L1	mythic	古事記|社家文書	葛城賀茂氏=出雲系
RLN-000055	CLN-014	clan	primary_deity_of	SHR-105	shrine	A	L0	document	高鴨神社社伝	葛城高鴨祭祀
RLN-000056	CLN-040	clan	opposed_to	CLN-014	clan	C	L2	-	諸研究	山城/葛城賀茂氏の別系統論
RLN-000057	CLN-005	clan	allied_with	CLN-001	clan	B	L1	mythic	先代旧事本紀	アメノホヒ系の同祖
RLN-000058	安曇磯良	deity	primary_deity_of	SHR-079	shrine	A	L0	document	志賀海神社社伝	-
RLN-000059	CLN-021	clan	performed_at	博多	region	A	L1	document	諸記録	阿曇族の博多湾祭祀
RLN-000060	CLN-016	clan	performed_at	沖ノ島	region	A	L0	document	発掘調査	古墳期から平安期まで国家祭祀
