master_id,canonical_name,reading,prefecture,address,main_deity,rank_ancient,rank_modern,current_coordinates,needs_coordinates,needs_detail
SHR-239,大原野神社,おおはらのじんじゃ,京都府,京都市西京区大原野,建御雷之男神、経津主神、天児屋根命、比売大神(春日),二十二社,府社,,Y,N
SHR-240,吉田神社,よしだじんじゃ,京都府,京都市左京区吉田神楽岡町,建御雷之男神、経津主神、天児屋根命、比売大神(春日),二十二社(下八社),官幣中社,,Y,N
SHR-022,日御碕神社,ひのみさきじんじゃ,島根県,出雲市大社町日御碕455,天照大御神,式内社,国幣小社,"35.4296,132.6293",N,Y
SHR-024,八重垣神社,やえがきじんじゃ,島根県,松江市佐草町227,須佐之男命,式内社,-,"35.4290,133.0737",N,Y
SHR-035,砥鹿神社,とがじんじゃ,愛知県,愛知県豊川市一宮町,大国主神,-,三河一宮,"34.8476,137.4212",N,Y
SHR-036,小国神社,おぐにじんじゃ,静岡県,静岡県周智郡森町一宮,大国主神,-,遠江一宮,"34.8475,137.8992",N,Y
SHR-038,浅間神社,あさまじんじゃ,山梨県,山梨県笛吹市,富士浅間大神,-,甲斐一宮,,Y,Y
SHR-043,玉前神社,たまさきじんじゃ,千葉県,千葉県長生郡一宮町,豊玉姫,-,上総一宮,"35.3761,140.3605",N,Y
SHR-048,水無神社,みなしじんじゃ,岐阜県,岐阜県高山市一之宮町,,-,飛騨一宮,"36.0853,137.2519",N,Y
SHR-058,気多神社,けたじんじゃ,富山県,富山県高岡市,大国主神,-,越中一宮,,Y,Y
SHR-060,度津神社,わたつじんじゃ,新潟県,新潟県佐渡市,,-,佐渡一宮,,Y,Y
SHR-065,倭文神社,しとりじんじゃ,鳥取県,鳥取県東伯郡,,-,伯耆一宮,,Y,Y
SHR-067,物部神社,もののべじんじゃ,島根県,島根県大田市,可美真手命,-,石見一宮,,Y,Y
SHR-073,吉備津神社(備後),きびつじんじゃ,広島県,広島県福山市,吉備津彦命,-,備後一宮,,Y,Y
SHR-075,玉祖神社,たまのおやじんじゃ,山口県,山口県防府市,玉祖命,-,周防一宮,,Y,Y
SHR-089,西寒多神社,ささむたじんじゃ,大分県,大分県大分市,,-,豊後一宮,,Y,Y
SHR-090,千栗八幡宮,ちりくはちまんぐう,佐賀県,佐賀県三養基郡,八幡神,-,肥前一宮,,Y,Y
SHR-092,都農神社,つのじんじゃ,宮崎県,宮崎県児湯郡,大国主神,-,日向一宮,,Y,Y
SHR-094,新田神社,にったじんじゃ,鹿児島県,鹿児島県薩摩川内市,邇邇芸命,-,薩摩一宮,,Y,Y
SHR-1001,徳川家康駿府東照宮,するがとうしょうとうしょうぐう,静岡県,静岡市葵区,徳川家康,-,別格官幣社,,Y,Y
SHR-1002,徳川家康久能山東照宮,くのうざんとうしょうとうしょうぐう,静岡県,静岡市駿河区,徳川家康,-,別格官幣社,,Y,Y
SHR-1003,織田信長神社,おだのぶながじんじゃ,京都府,京都市北区紫野,織田信長,-,別格官幣社,,Y,Y
SHR-1006,伊達政宗神社,だてまさむねじんじゃ,宮城県,仙台市青葉区,伊達政宗,-,県社,,Y,Y
SHR-1007,毛利元就神社,もうりもとなりじんじゃ,山口県,山口市天花,毛利元就,-,別格官幣社,,Y,Y
SHR-1008,島津家神社,しまづじんじゃ,鹿児島県,鹿児島市,,-,県社,,Y,Y
SHR-1009,和多都美神社,わたつみじんじゃ,長崎県,対馬市豊玉町仁位,豊玉彦、豊玉姫,式内社,県社,,Y,N
